,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_21_,edit_distance_dict_22_,edit_distance_dict_23_,edit_distance_dict_24_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_21_,edit_distance_unique_dict_22_,edit_distance_unique_dict_23_,edit_distance_unique_dict_24_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,94,115,1118,4,12,43,1.0715372907,309,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,150,54,17,4,2,0,3,0,8,309,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,150,54,17,4,2,0,3,0,32,339,191,52,403,21,504,0,34,0,0.1764705882,3,2001-07-14 00:09:11,4,9,0
1,56,72,420,4,13,20,1.202247191,104,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,57,22,8,3,3,1,0,0,7,104,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,57,22,8,3,3,1,0,0,30,135,40,42,128,63,222,0,32,4,0.15,4,2001-07-14 00:14:11,4,9,0
2,146,63,575,3,13,18,2.0959302326,77,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,64,29,84,9,4,4,0,0,7,77,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,64,29,84,9,4,4,0,0,23,243,31,29,213,44,186,0,30,6,0.0765217391,3,2001-07-14 00:19:11,3,9,0
3,50,188,575,5,17,25,2.7847411444,78,20,0,0,1,1,0,0,0,0,0,88,0,0,0,0,0,39,23,84,15,2,3,1,12,14,78,20,0,0,1,1,0,0,0,0,0,88,0,0,0,0,0,39,23,84,15,2,3,1,12,21,254,27,40,193,39,211,0,46,5,0.067826087,5,2001-07-14 00:24:11,5,9,0
4,74,58,360,7,14,5,3.0163043478,28,20,0,3,0,0,0,0,0,0,0,41,0,0,0,0,0,35,38,9,4,4,2,0,0,12,28,20,0,3,0,0,0,0,0,0,0,41,0,0,0,0,0,35,38,9,4,4,2,0,0,13,136,6,24,102,42,180,4,27,13,0.1166666667,3,2001-07-14 00:29:11,4,11,0
5,76,87,537,3,19,16,1.5811320755,59,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,90,19,9,8,4,1,0,0,7,59,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,90,19,9,8,4,1,0,0,19,160,14,56,256,61,242,0,39,8,0.113594041,3,2001-07-14 00:34:11,3,10,0
6,147,72,452,6,22,23,1.4464831804,65,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,55,21,16,9,2,1,2,0,8,65,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,55,21,16,9,2,1,2,0,23,243,15,23,113,33,175,0,24,5,0.0730088496,3,2001-07-14 00:39:11,6,10,0
7,115,149,996,4,23,133,1.2719033233,230,2,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,133,43,28,13,2,2,1,1,10,230,2,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,133,43,28,13,2,2,1,1,38,361,52,78,315,98,398,0,51,10,0.0983935743,4,2001-07-14 00:44:11,4,10,0
8,80,107,510,5,16,24,2.1756756757,147,3,0,12,0,8,0,0,0,0,0,53,0,0,0,0,0,61,44,17,16,4,2,1,2,14,147,3,0,12,0,8,0,0,0,0,0,53,0,0,0,0,0,61,44,17,16,4,2,1,2,86,176,24,60,111,39,241,0,18,25,0.0764705882,3,2001-07-14 00:49:11,5,10,0
9,60,78,251,6,12,25,2.6076555024,55,20,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,46,14,11,10,9,2,1,0,10,55,20,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,46,14,11,10,9,2,1,0,18,131,9,26,36,24,150,0,25,3,0.0956175299,3,2001-07-14 00:54:11,6,9,0
10,170,84,608,3,15,13,2.1564986737,73,0,0,1,2,0,0,0,0,0,0,84,0,0,0,0,0,100,58,18,17,14,5,4,1,13,73,0,0,1,2,0,0,0,0,0,0,84,0,0,0,0,0,100,58,18,17,14,5,4,1,33,242,19,70,207,70,289,0,40,7,0.1151315789,3,2001-07-14 00:59:11,3,9,0
11,169,163,736,10,16,80,2.6313799622,159,0,0,16,8,4,0,0,0,0,0,100,0,0,0,0,0,69,55,35,36,26,7,14,0,14,159,0,0,16,8,4,0,0,0,0,0,100,0,0,0,0,0,69,55,35,36,26,7,14,0,23,313,36,77,197,55,323,0,39,38,0.0747282609,2,2001-07-14 01:04:11,5,10,0
12,159,243,849,5,20,96,1.912071535,159,0,8,0,0,4,0,0,0,0,0,208,0,0,0,0,0,128,101,8,11,33,5,2,4,14,159,0,8,0,0,4,0,0,0,0,0,208,0,0,0,0,0,128,101,8,11,33,5,2,4,27,468,27,53,172,87,263,0,62,19,0.1024734982,3,2001-07-14 01:09:11,5,9,0
13,154,472,1240,4,16,57,2.1489361702,137,0,0,11,4,0,0,0,0,0,0,274,0,0,0,0,0,200,141,52,37,23,8,3,3,13,137,0,0,11,4,0,0,0,0,0,0,274,0,0,0,0,0,200,141,52,37,23,8,3,3,48,590,27,171,327,66,357,0,73,18,0.0532258065,2,2001-07-14 01:14:11,4,9,0
14,385,376,962,5,23,26,2.270419426,114,0,15,7,6,0,0,0,0,0,0,377,3,2,0,0,0,227,40,21,37,29,7,4,17,21,114,0,15,7,6,0,0,0,0,0,0,377,3,2,0,0,0,227,40,21,37,29,7,4,17,38,652,35,155,52,24,270,0,59,20,0.0249480249,3,2001-07-14 01:19:11,5,10,0
15,129,122,991,8,24,30,2.0740740741,125,0,0,7,4,0,0,0,0,0,0,158,0,0,2,0,0,104,49,57,19,7,5,0,3,22,125,0,0,7,4,0,0,0,0,0,0,158,0,0,2,0,0,104,49,57,19,7,5,0,3,45,341,39,85,347,153,366,0,64,25,0.1543895055,3,2001-07-14 01:24:11,8,11,0
16,136,201,790,8,15,56,2.6932409012,106,1,8,8,7,0,0,0,0,0,2,81,0,0,0,0,0,145,152,13,23,8,4,10,9,19,106,1,8,8,7,0,0,0,0,0,2,81,0,0,0,0,0,145,152,13,23,8,4,10,9,25,323,15,158,28,17,249,0,41,10,0.0215189873,2,2001-07-14 01:29:11,8,10,0
