,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,23,52,820,4,13,98,0.9937694704,227,1,0,0,0,0,0,0,0,0,0,9,0,36,16,11,4,7,7,2,1,10,227,1,0,0,0,0,0,0,0,0,0,9,0,36,16,11,4,7,7,2,1,2,91,28,102,390,0,269,0,28,1,0,0,2001-07-16 00:09:36,4,10,0
1,84,104,949,13,15,33,1.5421686747,118,1,1,0,0,0,0,0,0,0,0,172,0,102,69,23,4,4,4,0,0,11,118,1,1,0,0,0,0,0,0,0,0,172,0,102,69,23,4,4,4,0,0,31,352,38,44,409,65,265,0,39,0,0.0844155844,4,2001-07-16 00:14:36,9,12,0
2,142,166,1025,5,15,17,1.7063829787,101,0,1,0,0,0,0,0,0,0,0,144,0,117,43,47,10,3,4,0,0,11,101,0,1,0,0,0,0,0,0,0,0,144,0,117,43,47,10,3,4,0,0,29,325,40,59,504,44,260,0,44,9,0.0429268293,2,2001-07-16 00:19:36,5,11,0
3,57,301,900,3,14,71,1.9467084639,139,0,0,0,0,0,0,0,0,0,0,131,0,171,77,86,24,2,3,4,1,9,139,0,0,0,0,0,0,0,0,0,0,131,0,171,77,86,24,2,3,4,1,25,390,35,117,243,65,230,0,62,12,0.0722222222,3,2001-07-16 00:24:36,3,9,0
4,279,113,673,3,13,25,2.4698113208,81,2,0,0,0,0,0,0,0,0,0,80,0,140,62,117,26,13,6,2,1,10,81,2,0,0,0,0,0,0,0,0,0,80,0,140,62,117,26,13,6,2,1,17,387,22,79,120,60,240,0,70,18,0.0891530461,4,2001-07-16 00:29:36,3,12,0
5,221,168,874,4,12,35,1.8763358779,119,0,0,0,0,0,0,0,0,0,0,202,0,132,117,46,20,11,2,6,0,8,119,0,0,0,0,0,0,0,0,0,0,202,0,132,117,46,20,11,2,6,0,46,438,22,114,187,65,266,0,84,18,0.0743707094,5,2001-07-16 00:34:36,3,10,0
6,140,373,993,4,15,55,2.1187270502,115,0,6,1,0,0,0,0,0,0,0,200,0,300,48,103,12,8,13,1,10,12,115,0,6,1,0,0,0,0,0,0,0,200,0,300,48,103,12,8,13,1,10,20,510,31,201,160,37,220,0,69,17,0.0372608258,3,2001-07-16 00:39:36,4,10,0
7,120,138,462,8,13,34,1.9036144578,121,3,0,0,0,0,0,0,0,0,0,87,0,70,73,22,21,11,2,4,1,10,121,3,0,0,0,0,0,0,0,0,0,87,0,70,73,22,21,11,2,4,1,42,247,31,61,43,42,186,0,62,24,0.0909090909,3,2001-07-16 00:44:36,5,11,0
8,125,120,710,4,12,26,1.615720524,174,0,0,0,0,0,0,0,0,0,0,79,0,88,67,10,18,12,2,4,4,9,174,0,0,0,0,0,0,0,0,0,0,79,0,88,67,10,18,12,2,4,4,43,224,95,70,201,79,303,0,58,16,0.1112676056,2,2001-07-16 00:49:36,3,8,0
9,96,115,462,5,16,13,2.1785714286,88,5,1,1,0,0,0,0,0,0,0,59,0,105,40,29,17,9,6,2,2,12,88,5,1,1,0,0,0,0,0,0,0,59,0,105,40,29,17,9,6,2,2,34,230,40,47,86,64,230,0,71,15,0.1385281385,3,2001-07-16 00:54:36,4,11,0
