,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,49,82,716,11,14,25,1.3223443223,83,0,65,93,23,5,3,1,0,0,0,6,83,0,65,93,23,5,3,1,0,0,0,11,179,46,12,407,0,220,0,40,3,0.0,0,2001-07-17 00:09:52,4,10,0
1,107,102,693,5,15,30,1.7428571429,127,0,87,66,53,35,5,1,1,0,0,12,127,0,87,66,53,35,5,1,1,0,0,23,210,70,52,297,37,278,0,59,11,0.0902439024,5,2001-07-17 00:14:52,5,11,0
2,732,1024,2991,6,14,383,1.4995864351,607,0,603,813,248,109,16,21,0,0,0,11,607,0,603,813,248,109,16,21,0,0,0,195,1494,24,322,341,61,349,0,101,11,0.0203945169,4,2001-07-17 00:19:52,6,9,0
3,71,114,742,3,20,37,1.4975490196,152,0,80,92,47,18,9,5,0,1,0,14,152,0,80,92,47,18,9,5,0,1,0,64,234,38,35,285,57,319,0,30,1,0.076819407,3,2001-07-17 00:24:52,3,10,0
4,97,155,1125,2,15,44,1.6149635036,180,12,133,115,75,18,4,5,1,0,4,12,180,12,133,115,75,18,4,5,1,0,4,56,337,78,33,505,87,329,0,63,13,0.0773333333,3,2001-07-17 00:29:52,2,10,0
5,230,213,1066,7,13,84,1.5213333333,244,10,200,189,49,24,15,8,1,0,10,10,244,10,200,189,49,24,15,8,1,0,10,92,455,33,86,250,52,296,0,72,9,0.0487804878,3,2001-07-17 00:34:52,7,9,0
6,184,213,736,6,21,32,2.0610328638,149,0,174,124,109,30,9,5,1,0,26,11,149,0,174,124,109,30,9,5,1,0,26,85,372,21,129,80,32,264,0,42,15,0.043478260899999996,2,2001-07-17 00:39:52,6,10,0
7,1065,481,1914,5,13,97,1.7594866071000002,194,0,591,627,248,109,15,3,5,0,0,7,194,0,591,627,248,109,15,3,5,0,0,73,1364,21,237,92,43,322,0,89,10,0.022466039700000003,4,2001-07-17 00:44:52,5,10,0
8,224,232,892,3,16,71,1.6852861035,161,0,239,196,52,36,18,13,14,5,0,8,161,0,239,196,52,36,18,13,14,5,0,68,502,20,73,106,77,390,0,45,3,0.08632287,4,2001-07-17 00:49:52,3,15,0
9,91,87,491,5,15,60,1.8765060241,120,0,52,67,38,10,22,6,3,10,4,9,120,0,52,67,38,10,22,6,3,10,4,46,178,12,36,155,60,211,0,56,11,0.1221995927,4,2001-07-17 00:54:52,5,11,0
10,205,180,926,5,14,31,1.6124314441999998,78,1,217,172,48,6,17,5,0,1,1,11,78,1,217,172,48,6,17,5,0,1,1,34,383,8,91,307,72,323,0,26,11,0.0777537797,3,2001-07-17 00:59:52,5,11,0
11,87,202,708,5,16,14,2.0103519669,88,0,111,140,74,19,38,8,0,1,4,9,88,0,111,140,74,19,38,8,0,1,4,51,283,20,115,187,35,227,0,28,6,0.0494350282,3,2001-07-17 01:04:52,5,9,0
12,89,303,706,3,11,31,1.7171561051,171,0,126,192,51,96,5,3,3,0,0,7,171,0,126,192,51,96,5,3,3,0,0,112,396,23,85,49,21,266,0,42,8,0.0297450425,2,2001-07-17 01:09:52,3,10,0
13,86,301,1219,4,15,11,1.753507014,56,0,168,157,90,21,4,2,1,0,0,7,56,0,168,157,90,21,4,2,1,0,0,14,325,28,121,699,269,333,0,50,9,0.2206726825,2,2001-07-17 01:14:52,4,11,0
14,129,165,1437,4,14,47,1.4045335658000002,128,0,716,135,91,57,10,3,2,3,2,9,128,0,716,135,91,57,10,3,2,3,2,44,946,16,94,209,53,476,0,69,1,0.036882393900000005,4,2001-07-17 01:19:52,4,10,0
15,192,201,970,5,13,77,1.5060240963999998,174,0,241,97,88,34,18,9,3,0,0,7,174,0,241,97,88,34,18,9,3,0,0,55,421,36,75,268,40,331,0,45,2,0.0412371134,2,2001-07-17 01:24:52,5,9,0
16,212,232,748,4,14,16,2.3828756058000002,95,3,123,149,116,72,30,6,5,15,4,11,95,3,123,149,116,72,30,6,5,15,4,65,382,12,144,102,27,284,0,39,6,0.0360962567,3,2001-07-17 01:29:52,4,10,0
17,378,422,1709,3,13,18,2.0085007728,203,0,271,376,362,20,18,17,0,25,2,9,203,0,271,376,362,20,18,17,0,25,2,127,1034,43,72,386,162,363,2,53,3,0.0947922762,3,2001-07-17 01:34:52,3,11,0
18,155,288,1103,3,15,142,1.8986058302000002,255,5,131,96,121,162,10,4,3,1,0,11,255,5,131,96,121,162,10,4,3,1,0,60,476,47,64,234,97,413,0,22,6,0.08794197640000001,5,2001-07-17 01:39:52,3,11,0
19,330,365,1263,5,13,50,2.1994076999,184,8,333,172,120,51,77,11,30,5,18,11,184,8,333,172,120,51,77,11,30,5,18,29,739,47,148,177,56,419,0,52,44,0.0443388757,2,2001-07-17 01:44:52,5,9,0
20,230,291,1186,3,13,50,2.1793179318,164,1,192,214,160,97,56,7,9,3,1,13,164,1,192,214,160,97,56,7,9,3,1,94,578,12,175,254,29,270,0,87,87,0.024451939300000003,3,2001-07-17 01:49:52,3,11,0
