,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,435,496,3415,5,14,117,1.8560558022,180,0,0,0,0,0,0,0,0,0,0,590,392,239,85,64,20,0,7,0,8,180,0,0,0,0,0,0,0,0,0,0,590,392,239,85,64,20,0,7,0,10,1289,40,121,1700,126,929,0,131,11,0.0521091811,4,2001-07-20 00:10:28,5,10,0
1,514,862,2871,4,11,170,1.8212048193,339,0,0,0,0,0,0,0,0,0,0,811,401,204,150,118,23,12,11,6,9,339,0,0,0,0,0,0,0,0,0,0,811,401,204,150,118,23,12,11,6,58,1520,87,240,660,176,848,0,100,2,0.061302682,3,2001-07-20 00:15:28,4,9,0
2,326,434,2490,4,14,175,1.3793103448,527,0,0,0,0,0,0,0,0,0,0,532,250,78,63,78,25,7,1,5,9,527,0,0,0,0,0,0,0,0,0,0,532,250,78,63,78,25,7,1,5,45,873,270,203,858,127,711,0,107,13,0.0510040161,3,2001-07-20 00:20:28,4,8,0
3,562,394,2514,8,12,70,1.4359897172,377,2,0,0,0,0,0,0,0,0,0,887,431,105,62,59,8,3,2,9,10,377,2,0,0,0,0,0,0,0,0,0,887,431,105,62,59,8,3,2,9,59,1501,239,76,542,152,676,0,146,18,0.0604614161,4,2001-07-20 00:25:28,8,8,0
4,422,545,6705,3,17,140,1.4794871795,397,0,0,0,0,0,0,0,0,0,0,583,286,154,58,44,30,5,3,0,8,397,0,0,0,0,0,0,0,0,0,0,583,286,154,58,44,30,5,3,0,85,978,134,223,5083,802,1625,0,157,3,0.1195943931,3,2001-07-20 00:30:28,3,9,0
5,302,2400,7012,3,17,89,1.6185963115,583,0,0,18,0,0,0,0,0,0,0,1700,814,484,236,44,17,7,1,0,12,583,0,0,18,0,0,0,0,0,0,0,1700,814,484,236,44,17,7,1,0,391,3217,81,126,2898,157,1473,1,189,44,0.0223901882,2,2001-07-20 00:35:28,3,10,0
6,238,392,2316,4,12,73,1.274556213,759,0,0,0,0,0,0,0,0,0,0,362,247,186,39,57,7,7,26,0,8,759,0,0,0,0,0,0,0,0,0,0,362,247,186,39,57,7,7,26,0,599,766,48,204,537,39,645,0,62,19,0.0168393782,5,2001-07-20 00:40:28,4,9,0
7,306,401,1694,4,15,69,1.6266666667,358,1,1,1,0,0,0,0,0,0,0,442,231,152,80,59,10,2,3,10,12,358,1,1,1,0,0,0,0,0,0,0,442,231,152,80,59,10,2,3,10,207,853,49,172,274,29,524,0,50,22,0.0171192444,2,2001-07-20 00:45:28,4,11,0
8,442,751,3858,6,17,212,1.5230263158,929,2,0,0,0,0,0,0,0,0,0,486,504,175,183,57,41,40,13,2,10,929,2,0,0,0,0,0,0,0,0,0,486,504,175,183,57,41,40,13,2,623,1397,85,115,1353,61,932,3,105,69,0.0158072039,3,2001-07-20 00:50:28,6,12,0
9,1006,1012,3428,5,16,71,1.9155513066,463,0,3,0,3,0,0,0,0,0,0,658,1218,505,176,76,18,11,2,5,13,463,0,3,0,3,0,0,0,0,0,0,658,1218,505,176,76,18,11,2,5,266,2327,109,365,255,27,841,17,106,34,0.0078763127,3,2001-07-20 00:55:28,5,12,0
10,284,452,1427,5,12,87,2.3339285714,229,0,0,0,0,0,0,0,0,0,0,240,149,152,191,126,19,5,4,5,9,229,0,0,0,0,0,0,0,0,0,0,240,149,152,191,126,19,5,4,5,75,779,53,126,278,24,504,1,85,23,0.0168185004,4,2001-07-20 01:00:28,5,11,0
11,472,475,2110,7,15,303,1.8241698421,449,1,0,5,0,3,0,0,0,0,0,456,549,130,70,57,99,11,4,3,14,449,1,0,5,0,3,0,0,0,0,0,456,549,130,70,57,99,11,4,3,87,1224,42,181,255,35,703,9,68,11,0.0165876777,2,2001-07-20 01:05:28,5,11,0
12,444,816,2395,10,13,209,2.3887130802,330,0,0,0,0,0,0,0,0,0,0,401,412,326,133,95,83,107,9,0,8,330,0,0,0,0,0,0,0,0,0,0,401,412,326,133,95,83,107,9,0,82,1317,25,263,453,37,660,17,125,11,0.0154488518,2,2001-07-20 01:10:28,6,9,0
13,207,260,1135,4,23,51,1.7732426304,196,0,1,0,0,0,0,2,0,0,1,282,215,71,39,49,12,10,2,2,19,196,0,1,0,0,0,0,2,0,0,1,282,215,71,39,49,12,10,2,2,54,572,78,127,239,40,487,2,53,18,0.0352422907,3,2001-07-20 01:15:28,4,13,0
