,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,309,457,5078,7,15,59,1.4770704997,519,1,3,0,0,0,0,0,0,0,211,487,140,52,21,6,8,12,1,11,519,1,3,0,0,0,0,0,0,0,211,487,140,52,21,6,8,12,1,35,909,411,47,3557,0,1414,0,277,75,0,0,2001-07-23 00:13:32,6,10,0
1,167,2148,65721,6,16,11256,0.467771024,12207,2,3,0,0,0,0,0,0,0,302,1168,1007,215,27,11,11,9,9,11,12207,2,3,0,0,0,0,0,0,0,302,1168,1007,215,27,11,11,9,9,68,2719,862,66,50601,0,18153,14,1733,63,0,0,2001-07-23 00:18:32,6,14,0
2,391,482,9383,3,16,3167,0.5666233042,4137,21,10,5,0,0,0,0,0,0,523,343,199,50,18,15,23,11,26,12,4137,21,10,5,0,0,0,0,0,0,523,343,199,50,18,15,23,11,26,73,1189,854,98,3941,0,3745,3,362,78,0,0,2001-07-23 00:23:32,3,13,0
3,374,349,2239,4,13,281,1.1392742796,899,0,3,0,0,0,0,0,0,0,440,210,199,61,17,10,25,9,1,11,899,0,3,0,0,0,0,0,0,0,440,210,199,61,17,10,25,9,1,158,900,422,113,328,0,1003,0,209,55,0,0,2001-07-23 00:28:32,4,10,0
4,253,342,1905,5,16,143,1.3582402235,602,8,6,1,0,0,0,0,0,0,353,222,124,48,30,12,13,4,9,12,602,8,6,1,0,0,0,0,0,0,353,222,124,48,30,12,13,4,9,99,676,323,191,406,0,871,11,184,74,0,0,2001-07-23 00:33:32,5,13,0
5,510,556,3276,12,16,259,1.4304051344,1120,5,3,1,1,0,0,0,0,0,454,355,177,216,117,13,18,7,6,13,1120,5,3,1,1,0,0,0,0,0,454,355,177,216,117,13,18,7,6,180,1261,652,141,727,0,1078,0,230,42,0,0,2001-07-23 00:38:32,7,11,0
6,468,470,2934,5,16,285,1.1713830211,1226,5,6,0,3,0,0,0,0,0,489,412,213,80,17,17,16,12,13,13,1226,5,6,0,3,0,0,0,0,0,489,412,213,80,17,17,16,12,13,190,1101,711,222,403,0,1161,0,296,76,0,0,2001-07-23 00:43:32,5,11,0
7,688,833,3637,5,17,260,1.2685327592,1241,12,7,4,0,1,0,0,0,0,682,1056,119,45,28,27,12,5,12,14,1241,12,7,4,0,1,0,0,0,0,682,1056,119,45,28,27,12,5,12,99,1898,840,154,352,0,891,0,171,216,0,0,2001-07-23 00:48:32,5,13,0
8,356,296,1633,5,17,104,1.7848275862,546,18,39,11,3,0,0,0,0,0,348,220,159,52,27,7,10,2,8,13,546,18,39,11,3,0,0,0,0,0,348,220,159,52,27,7,10,2,8,108,795,312,131,163,0,922,0,112,40,0,0,2001-07-23 00:53:32,5,14,0
9,442,621,3489,5,13,270,1.159586682,1159,8,4,0,0,0,0,0,0,0,541,576,223,52,10,16,13,0,11,11,1159,8,4,0,0,0,0,0,0,0,541,576,223,52,10,16,13,0,11,184,1271,652,236,782,0,1293,0,154,91,0,0,2001-07-23 00:58:32,5,11,0
