;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
0;326;361;2912;3;14;0;117;1.2799495586380831;641;0;0;0;0;0;0;0;0;0;0;376;297;146;60;40;11;4;11;0;8;641;0;0;0;0;0;0;0;0;0;0;376;297;146;60;40;11;4;11;0;33;873;466;97;1266;119;1246;8;66;48;0.06220595922634605;4;2001-09-15 00:01:34;1000512094;3;11
1;618;491;4679;5;14;0;190;1.1587197909862834;1290;12;3;0;0;0;0;0;0;0;0;886;500;166;92;67;23;16;5;2;11;1290;12;3;0;0;0;0;0;0;0;0;886;500;166;92;67;23;16;5;2;63;1472;939;398;1390;303;1678;15;125;81;0.06475742680059841;4;2001-09-15 00:06:34;1000512394;5;10
2;406;352;2843;3;12;0;79;1.0936051899907322;972;0;0;0;0;0;0;0;0;0;0;592;274;196;64;24;12;10;12;2;9;972;0;0;0;0;0;0;0;0;0;0;592;274;196;64;24;12;10;12;2;88;983;742;266;619;51;1304;4;173;63;0.017938797045374603;4;2001-09-15 00:11:34;1000512694;3;10
3;1169;1136;8819;4;20;0;146;1.5831134564643798;1950;1;2;0;0;0;0;0;0;1;0;917;939;306;262;361;139;43;5;1;18;1950;1;2;0;0;0;0;0;0;1;0;917;939;306;262;361;139;43;5;1;114;2727;1526;414;3584;250;2776;0;184;68;0.028347885247760517;4;2001-09-15 00:16:34;1000512994;4;10
4;572;916;3789;3;17;0;213;1.728950016772895;1192;6;2;0;0;0;0;0;0;0;0;469;436;350;177;205;81;47;11;5;11;1192;6;2;0;0;0;0;0;0;0;0;469;436;350;177;205;81;47;11;5;133;1645;783;207;751;43;1329;4;78;52;0.011348640802322512;3;2001-09-15 00:21:34;1000513294;3;11
5;503;436;2550;7;17;0;125;1.4988484569322893;900;2;3;1;0;0;0;0;0;0;0;421;310;309;84;57;26;24;30;4;12;900;2;3;1;0;0;0;0;0;0;0;421;310;309;84;57;26;24;30;4;97;1031;621;297;304;50;1447;0;83;17;0.0196078431372549;2;2001-09-15 00:26:34;1000513594;4;9
6;579;1946;5919;4;13;0;263;1.8334756618274979;1440;1;0;0;0;0;0;0;0;0;0;1002;757;519;521;284;127;27;4;2;10;1440;1;0;0;0;0;0;0;0;0;0;1002;757;519;521;284;127;27;4;2;169;2543;784;925;653;76;1861;18;186;96;0.012840006757898294;2;2001-09-15 00:31:34;1000513894;4;10
7;663;667;3523;4;17;0;123;1.6912139992708712;981;1;8;3;0;0;0;0;0;0;0;635;411;332;100;107;92;30;32;11;12;981;1;8;3;0;0;0;0;0;0;0;635;411;332;100;107;92;30;32;11;100;1535;695;290;703;146;1678;45;116;66;0.04144195288106727;3;2001-09-15 00:36:34;1000514194;4;11
8;495;588;2427;5;13;0;121;1.3753315649867375;776;1;1;0;0;0;0;0;0;0;0;761;366;120;108;50;27;27;21;4;11;776;1;1;0;0;0;0;0;0;0;0;761;366;120;108;50;27;27;21;4;87;1152;533;369;141;42;1154;0;93;54;0.0173053152039555;2;2001-09-15 00:41:34;1000514494;5;9
9;547;479;2968;4;16;0;94;1.4027210884353742;875;5;9;0;0;0;0;0;0;0;0;593;283;245;81;29;37;29;15;4;11;875;5;9;0;0;0;0;0;0;0;0;593;283;245;81;29;37;29;15;4;70;1075;591;375;685;203;1315;10;84;100;0.06839622641509434;3;2001-09-15 00:46:34;1000514794;4;10
