;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
0;168;106;1568;4;15;0;68;0.9943630214205186;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;101;41;42;4;4;12;8;0;8;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;101;41;42;4;4;12;8;0;65;350;328;76;645;28;938;0;64;20;0.0492091388400703;5;2001-09-16 00:03:12;1000598592;4;13
1;359;276;2170;3;15;0;113;1.5463414634146342;543;0;0;0;0;3;0;0;0;0;0;0;0;0;0;361;230;110;87;19;24;31;9;18;10;543;0;0;0;0;3;0;0;0;0;0;0;0;0;0;361;230;110;87;19;24;31;9;18;110;767;269;176;607;52;986;0;261;36;0.023963133640552997;3;2001-09-16 00:08:12;1000598892;3;13
2;1310;687;5906;4;17;0;241;1.7925944458343759;1117;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1022;511;776;270;206;33;37;2;20;10;1117;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1022;511;776;270;206;33;37;2;20;218;2315;580;643;1820;77;1251;0;298;80;0.01303758889265154;3;2001-09-16 00:13:12;1000599192;4;15
3;496;1741;5491;4;17;0;222;1.6635012386457473;1501;0;0;0;0;4;3;3;0;0;0;0;0;0;0;1207;990;533;225;166;126;40;17;29;12;1501;0;0;0;0;4;3;3;0;0;0;0;0;0;0;1207;990;533;225;166;126;40;17;29;221;2112;982;1307;510;144;1162;0;257;105;0.02622473137861956;4;2001-09-16 00:18:12;1000599492;4;11
4;316;467;2355;4;15;0;158;1.3005547150781644;828;0;0;0;0;3;4;0;1;0;0;0;0;0;0;561;244;172;76;28;21;18;12;15;13;828;0;0;0;0;3;4;0;1;0;0;0;0;0;0;561;244;172;76;28;21;18;12;15;188;984;398;255;294;74;1018;0;77;6;0.031422505307855626;3;2001-09-16 00:23:12;1000599792;4;13
5;1525;456;4031;4;16;0;377;1.495164410058027;1191;0;0;0;0;1;0;0;0;0;0;0;0;0;0;800;635;743;199;26;8;4;8;4;10;1191;0;0;0;0;1;0;0;0;0;0;0;0;0;0;800;635;743;199;26;8;4;8;4;119;2127;641;355;381;228;1116;4;66;39;0.05656164723393699;4;2001-09-16 00:28:12;1000600092;4;14
6;388;380;2108;6;15;0;127;1.4513023782559455;705;0;0;0;0;0;6;2;1;0;0;0;0;0;0;435;278;158;42;63;46;14;6;10;13;705;0;0;0;0;0;6;2;1;0;0;0;0;0;0;435;278;158;42;63;46;14;6;10;153;816;359;311;305;106;1054;0;60;25;0.05028462998102467;4;2001-09-16 00:33:12;1000600392;6;10
7;527;987;3976;5;20;0;220;1.9659926470588236;1163;0;0;0;0;0;45;118;0;27;1;0;0;0;0;670;654;333;209;6;16;8;8;6;15;1163;0;0;0;0;0;45;118;0;27;1;0;0;0;0;670;654;333;209;6;16;8;8;6;221;1132;658;1033;678;126;990;0;98;47;0.03162650602409638;3;2001-09-16 00:38:12;1000600692;5;11
8;594;351;3016;2;13;0;279;1.5705470999588647;1015;0;0;0;0;0;0;1;0;0;0;0;0;0;0;594;189;247;22;206;134;14;8;1;12;1015;0;0;0;0;0;0;1;0;0;0;0;0;0;0;594;189;247;22;206;134;14;8;1;122;1103;571;356;483;44;918;0;135;51;0.014588859416445624;2;2001-09-16 00:43:12;1000600992;2;9
9;693;773;4516;4;16;0;391;1.1576668364747835;1413;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1269;754;372;55;17;9;14;15;5;10;1413;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1269;754;372;55;17;9;14;15;5;124;2036;837;538;572;241;1106;0;129;67;0.05336581045172719;3;2001-09-16 00:48:12;1000601292;4;13
