;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_23_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_23_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
0;920;1140;9931;5;16;0;349;1.274297707458831;3287;1;54;12;0;0;0;0;0;0;0;1138;0;0;0;578;395;284;247;101;90;4;3;12;3287;1;54;12;0;0;0;0;0;0;0;1138;0;0;0;578;395;284;247;101;90;4;3;98;2676;2723;348;3450;192;2522;0;388;135;0.021490933512424447;3;2001-09-19 00:07:59;1000858079;5;10
1;772;1077;7565;5;23;0;294;1.1745850028620493;2776;6;1;1;0;0;0;0;0;0;0;957;0;0;0;663;254;254;156;59;71;6;37;12;2776;6;1;1;0;0;0;0;0;0;0;957;0;0;0;663;254;254;156;59;71;6;37;139;2016;2217;575;2079;195;2555;0;259;52;0.025749372771688896;3;2001-09-19 00:12:59;1000858379;5;14
2;1343;1618;11299;3;22;0;576;1.1329559748427673;3962;9;2;4;0;0;0;0;0;0;0;1563;0;0;0;1173;565;363;209;35;18;13;34;12;3962;9;2;4;0;0;0;0;0;0;0;1563;0;0;0;1173;565;363;209;35;18;13;34;262;3204;2946;962;2973;364;3262;11;437;99;0.032206689081578484;3;2001-09-19 00:17:59;1000858679;3;15
3;1943;3096;23394;5;21;0;613;1.3181248433191275;6771;45;13;32;6;0;0;0;0;0;0;4355;0;0;0;2635;892;338;204;141;96;66;362;13;6771;45;13;32;6;0;0;0;0;0;0;4355;0;0;0;2635;892;338;204;141;96;66;362;331;8367;5362;1283;6593;113;4258;0;530;529;0.004830298367102676;4;2001-09-19 00:22:59;1000858979;5;13
4;1651;1928;10525;10;21;0;477;1.6129141311697093;4260;61;36;40;2;0;0;0;0;0;0;1616;0;0;0;1266;515;241;169;96;136;153;283;13;4260;61;36;40;2;0;0;0;0;0;0;1616;0;0;0;1266;515;241;169;96;136;153;283;299;3917;3192;989;1418;50;3208;0;470;187;0.004750593824228029;3;2001-09-19 00:27:59;1000859279;4;12
5;2072;5080;20611;5;21;0;692;1.5208926261319535;5635;33;15;1;0;0;0;0;0;0;0;3545;0;0;0;3714;1117;425;240;199;77;82;377;12;5635;33;15;1;0;0;0;0;0;0;0;3545;0;0;0;3714;1117;425;240;199;77;82;377;402;8933;4283;1150;4931;300;4403;4;805;219;0.014555334530105284;4;2001-09-19 00:32:59;1000859579;5;12
6;1877;1791;12735;7;21;0;515;1.0783612867748145;5411;1;18;1;0;0;0;0;0;0;0;2285;0;0;0;1799;655;362;150;145;51;24;9;12;5411;1;18;1;0;0;0;0;0;0;0;2285;0;0;0;1799;655;362;150;145;51;24;9;330;4555;4357;1154;1658;192;3368;0;448;145;0.015076560659599529;3;2001-09-19 00:37:59;1000859879;7;12
7;1782;1897;11258;7;21;0;670;1.0566114031540639;5017;15;4;1;0;0;0;0;0;0;0;1871;0;0;0;1687;704;314;174;48;5;28;24;12;5017;15;4;1;0;0;0;0;0;0;0;1871;0;0;0;1687;704;314;174;48;5;28;24;491;3984;3546;1201;1161;129;3030;0;424;114;0.011458518386924854;4;2001-09-19 00:42:59;1000860179;4;10
8;1764;1899;11037;4;16;0;438;1.6967686447966581;3605;92;10;1;0;0;0;0;0;0;0;1559;0;0;0;1078;705;383;126;98;44;62;376;12;3605;92;10;1;0;0;0;0;0;0;0;1559;0;0;0;1078;705;383;126;98;44;62;376;424;3663;2554;1060;2745;165;2983;0;452;107;0.014949714596357706;4;2001-09-19 00:47:59;1000860479;4;11
9;2112;1723;12452;4;21;0;652;1.4717695300178741;4218;43;1;0;0;0;0;0;0;0;0;2185;0;0;0;1251;688;334;264;124;82;57;264;11;4218;43;1;0;0;0;0;0;0;0;0;2185;0;0;0;1251;688;334;264;124;82;57;264;391;4669;2901;898;2888;82;3008;0;561;258;0.006585287504015419;4;2001-09-19 00:52:59;1000860779;4;11
10;1198;1573;8588;4;21;0;591;1.2022301762114538;3431;3;2;0;0;0;0;0;0;0;0;1561;0;0;0;1128;529;235;146;100;61;32;36;11;3431;3;2;0;0;0;0;0;0;0;0;1561;0;0;0;1128;529;235;146;100;61;32;36;378;3140;2270;885;1205;169;2737;1;400;100;0.01967862133209129;3;2001-09-19 00:57:59;1000861079;4;10
11;1572;1482;10454;3;21;0;556;1.1106941838649156;4734;15;2;0;0;0;0;0;0;0;0;1718;0;0;0;1134;623;482;151;100;72;20;10;11;4734;15;2;0;0;0;0;0;0;0;0;1718;0;0;0;1134;623;482;151;100;72;20;10;295;3799;3710;701;1277;125;3054;0;366;193;0.011956001912960305;3;2001-09-19 01:02:59;1000861379;3;10
12;2108;2694;13806;3;21;0;954;1.426952364087126;5192;6;49;0;0;0;0;0;0;0;0;1911;0;0;0;1690;1078;522;461;194;128;28;35;11;5192;6;49;0;0;0;0;0;0;0;0;1911;0;0;0;1690;1078;522;461;194;128;28;35;634;4889;3183;1634;2056;133;3374;0;480;111;0.00963209733487833;3;2001-09-19 01:07:59;1000861679;3;12
13;1950;2214;10675;4;21;0;552;1.5807798025043265;4393;76;92;92;2;0;0;0;0;0;0;1825;0;0;0;1474;943;398;149;164;95;42;78;13;4393;76;92;92;2;0;0;0;0;0;0;1825;0;0;0;1474;943;398;149;164;95;42;78;579;4312;3068;1312;700;92;2994;12;422;128;0.008618266978922717;2;2001-09-19 01:12:59;1000861979;4;12
14;3527;2353;14428;3;17;0;882;1.731947568447995;5399;4;57;84;3;3;0;0;0;0;0;2092;0;0;0;2053;1087;800;763;178;137;24;209;14;5399;4;57;84;3;3;0;0;0;0;0;2092;0;0;0;2053;1087;800;763;178;137;24;209;828;6153;3130;1900;1390;92;3251;52;532;154;0.00637649015802606;3;2001-09-19 01:17:59;1000862279;3;10
15;2291;1931;10863;3;20;0;640;1.671172524281566;4275;56;22;4;0;0;0;0;0;0;0;2104;0;0;0;1457;655;421;260;194;45;52;442;12;4275;56;22;4;0;0;0;0;0;0;0;2104;0;0;0;1457;655;421;260;194;45;52;442;532;4915;2815;1085;670;82;3430;12;361;125;0.007548559329835221;3;2001-09-19 01:22:59;1000862579;3;10
16;2088;2627;11338;3;21;0;615;1.4705072748721981;4167;16;33;57;1;0;0;0;0;0;0;2585;0;0;0;1352;789;501;275;170;161;29;36;13;4167;16;33;57;1;0;0;0;0;0;0;2585;0;0;0;1352;789;501;275;170;161;29;36;546;4991;2686;1334;1029;59;3170;0;483;166;0.0052037396366202155;2;2001-09-19 01:27:59;1000862879;3;13
17;1670;1788;9694;4;21;0;551;1.3681446195187492;3569;0;69;97;0;0;0;0;0;0;0;1949;0;0;0;1361;593;223;161;49;96;15;5;12;3569;0;69;97;0;0;0;0;0;0;0;1949;0;0;0;1361;593;223;161;49;96;15;5;522;3576;2221;1317;1326;388;2912;0;387;97;0.04002475758200949;3;2001-09-19 01:32:59;1000863179;4;10
18;2561;2003;11452;6;17;0;611;1.3358662613981762;4555;20;10;0;0;0;0;0;0;0;0;2505;0;0;0;1545;856;368;306;98;148;88;29;11;4555;20;10;0;0;0;0;0;0;0;0;2505;0;0;0;1545;856;368;306;98;148;88;29;573;5127;3027;1190;827;76;3186;0;564;133;0.006636395389451624;2;2001-09-19 01:37:59;1000863479;3;11
19;2595;2029;12538;3;21;0;796;1.291823224190374;5244;3;22;0;0;0;0;0;0;0;0;2052;0;0;0;1810;1039;435;229;123;74;85;62;11;5244;3;22;0;0;0;0;0;0;0;0;2052;0;0;0;1810;1039;435;229;123;74;85;62;657;4815;3429;1481;1194;79;3460;5;417;140;0.006242591860924536;2;2001-09-19 01:42:59;1000863779;3;13
20;1915;2155;10475;3;21;0;445;1.522790202342918;3994;18;24;10;0;0;0;0;0;0;0;2022;0;0;0;1189;967;399;288;179;152;72;76;12;3994;18;24;10;0;0;0;0;0;0;0;2022;0;0;0;1189;967;399;288;179;152;72;76;503;4250;2839;1353;1030;204;2933;0;334;118;0.019254365266635206;4;2001-09-19 01:47:59;1000864079;3;11
21;4197;1880;372028;5;22;0;10914;0.9321246959982312;14439;38;14;8;1;0;0;0;0;0;0;1643;0;0;0;3559;1589;566;306;247;65;82;58;13;14439;38;14;8;1;0;0;0;0;0;0;1643;0;0;0;3559;1589;566;306;247;65;82;58;731;7327;2542;1101;349344;3241;121590;323;14607;109;0.008710094410865983;4;2001-09-19 01:52:59;1000864379;5;11
22;2765;3474;13346;5;15;0;532;1.611947547353084;3021;1;0;5;0;0;0;0;0;0;0;1509;0;0;0;3054;2243;288;72;64;25;9;4;12;3021;1;0;5;0;0;0;0;0;0;0;1509;0;0;0;3054;2243;288;72;64;25;9;4;507;6690;1789;777;2760;6;3641;2;337;94;0.0004495729057395474;1;2001-09-19 01:57:59;1000864679;5;11
23;2720;3328;13320;7;18;0;810;1.7891870560378849;5187;46;55;24;6;3;0;0;0;0;0;2042;0;0;0;1908;963;856;986;252;219;57;66;14;5187;46;55;24;6;3;0;0;0;0;0;2042;0;0;0;1908;963;856;986;252;219;57;66;637;6391;3442;1390;564;0;3649;0;404;157;0.0;0;2001-09-19 02:02:59;1000864979;4;10
24;1554;5919;14788;3;20;0;1085;1.8421569367872517;4339;10;1;0;2;0;0;0;0;0;0;2397;0;0;0;1469;2414;1989;303;148;68;66;35;13;4339;10;1;0;2;0;0;0;0;0;0;2397;0;0;0;1469;2414;1989;303;148;68;66;35;274;8273;2840;769;1460;15;4926;4;464;183;0.0010143359480659995;1;2001-09-19 02:07:59;1000865279;3;12
25;1890;34416;43279;5;21;0;724;2.622018348623853;4689;11;10;6;2;1;0;0;0;0;0;3462;0;0;0;6451;19909;6081;1254;284;180;49;121;14;4689;11;10;6;2;1;0;0;0;0;0;3462;0;0;0;6451;19909;6081;1254;284;180;49;121;603;37008;3089;1086;678;8;12429;12;990;315;0.0001848258016819148;1;2001-09-19 02:12:59;1000865579;3;11
26;3447;2609;15022;3;17;0;951;1.5231681786461968;6592;30;16;9;0;0;5;0;0;0;0;2430;0;0;0;1922;978;792;930;369;184;17;56;15;6592;30;16;9;0;0;5;0;0;0;0;2430;0;0;0;1922;978;792;930;369;184;17;56;585;6604;4800;1390;636;2;4041;0;605;114;0.00013313806417254693;1;2001-09-19 02:17:59;1000865879;3;12
27;2324;1476;9137;3;16;0;529;1.3609287054409005;3693;10;18;5;0;4;0;0;0;0;0;2060;0;0;0;1224;534;247;469;156;76;7;25;14;3693;10;18;5;0;4;0;0;0;0;0;2060;0;0;0;1224;534;247;469;156;76;7;25;301;4297;2740;661;579;0;3085;0;499;118;0.0;0;2001-09-19 02:22:59;1000866179;3;15
28;1590;1782;8951;2;17;0;588;1.155688622754491;4382;0;0;0;0;0;1;0;0;0;0;1645;0;0;0;1233;644;313;228;84;150;4;0;15;4382;0;0;0;0;0;1;0;0;0;0;1645;0;0;0;1233;644;313;228;84;150;4;0;442;3593;3194;867;216;0;2550;0;502;63;0.0;0;2001-09-19 02:27:59;1000866479;2;10
29;2488;2230;10936;2;17;0;622;1.4964775323686215;4344;2;1;6;0;0;0;0;0;0;0;2100;0;0;0;1785;843;431;507;334;78;49;24;12;4344;2;1;6;0;0;0;0;0;0;0;2100;0;0;0;1785;843;431;507;334;78;49;24;306;5483;3222;871;402;3;3166;0;700;223;0.00027432333577176297;1;2001-09-19 02:32:59;1000866779;2;11
30;1783;2054;9563;3;20;0;565;1.3717371737173718;3888;0;0;4;2;2;0;2;0;0;0;1833;0;0;0;1404;621;443;457;155;57;12;8;16;3888;0;0;4;2;2;0;2;0;0;0;1833;0;0;0;1404;621;443;457;155;57;12;8;401;4375;2719;828;622;3;3193;1;253;142;0.00031354515050167225;1;2001-09-19 02:37:59;1000867079;3;11
31;1852;1815;8672;4;21;0;467;1.4523780709185525;3554;0;10;0;0;0;3;0;0;3;0;1374;0;0;0;1413;843;530;372;97;27;21;16;18;3554;0;10;0;0;0;3;0;0;3;0;1374;0;0;0;1413;843;530;372;97;27;21;16;335;4134;2564;763;369;7;2797;0;224;88;0.0008071955719557196;2;2001-09-19 02:42:59;1000867379;4;12
32;1220;1017;5980;7;21;0;380;1.3054668086616967;2520;3;6;5;0;1;2;0;6;0;0;1225;0;0;0;951;442;147;84;166;27;34;15;17;2520;3;6;5;0;1;2;0;6;0;0;1225;0;0;0;951;442;147;84;166;27;34;15;211;2724;1767;552;314;0;2633;0;225;94;0.0;0;2001-09-19 02:47:59;1000867679;5;11
33;2189;1754;9947;6;14;0;599;1.4320377925703243;4164;5;0;0;0;0;0;0;0;0;0;1858;0;0;0;1418;583;321;542;246;60;98;19;10;4164;5;0;0;0;0;0;0;0;0;0;1858;0;0;0;1418;583;321;542;246;60;98;19;440;4431;2891;953;596;6;3051;1;405;275;0.0006031969438021514;1;2001-09-19 02:52:59;1000867979;6;10
