;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_25_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_25_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
0;653;786;7851;4;17;0;199;1.1930141523637459;1387;2;2;0;0;5;0;0;0;0;0;727;0;0;0;0;0;0;687;391;68;25;17;6;1;3;14;1387;2;2;0;0;5;0;0;0;0;0;727;0;0;0;0;0;0;687;391;68;25;17;6;1;3;26;1856;1090;150;4439;275;1877;0;252;44;0.04013426736719206;8;2001-09-20 00:09:35;1000944575;4;11
1;1024;829;9954;5;16;0;216;1.1139896373056994;2720;1;0;0;0;1;0;0;0;0;0;1208;0;0;0;0;0;0;680;283;187;187;89;33;4;11;14;2720;1;0;0;0;1;0;0;0;0;0;1208;0;0;0;0;0;0;680;283;187;187;89;33;4;11;92;2472;2257;367;4211;815;3452;0;240;93;0.0818766325095439;4;2001-09-20 00:14:35;1000944875;3;11
2;1384;1268;9110;7;16;0;439;1.4070431472081217;2368;16;2;1;1;0;0;0;0;0;0;1915;0;0;0;0;0;0;659;649;289;213;117;49;8;17;13;2368;16;2;1;1;0;0;0;0;0;0;1915;0;0;0;0;0;0;659;649;289;213;117;49;8;17;161;3569;1560;575;2588;191;2551;0;264;125;0.02096597145993414;4;2001-09-20 00:19:35;1000945175;4;12
3;951;949;6307;5;17;0;320;1.554480980012895;2004;21;3;0;0;1;6;0;0;0;0;997;0;0;0;0;0;0;497;503;207;176;112;43;42;41;15;2004;21;3;0;0;1;6;0;0;0;0;997;0;0;0;0;0;0;497;503;207;176;112;43;42;41;144;2196;1311;682;1420;168;2332;0;234;43;0.026637069922308545;3;2001-09-20 00:24:35;1000945475;5;9
4;736;2266;7419;4;16;0;386;1.654445165476963;2340;3;0;0;1;0;0;0;0;0;0;1372;0;0;0;0;0;0;745;495;585;362;190;60;1;10;13;2340;3;0;0;1;0;0;0;0;0;0;1372;0;0;0;0;0;0;745;495;585;362;190;60;1;10;233;2983;1501;1061;663;128;1986;0;282;114;0.017252999056476613;3;2001-09-20 00:29:35;1000945775;4;9
5;1431;1190;6323;9;15;0;158;1.9716366423917209;1575;65;12;3;0;0;0;0;0;0;0;1436;0;0;0;0;0;0;688;547;220;298;191;56;34;93;12;1575;65;12;3;0;0;0;0;0;0;0;1436;0;0;0;0;0;0;688;547;220;298;191;56;34;93;148;3203;1198;511;1024;270;2580;0;268;158;0.04270124940692709;3;2001-09-20 00:34:35;1000946075;4;11
6;1115;1292;5980;5;13;0;302;1.828225362451826;1967;3;9;3;0;0;0;0;0;0;0;1280;0;0;0;0;0;0;861;277;220;343;263;87;42;94;12;1967;3;9;3;0;0;0;0;0;0;0;1280;0;0;0;0;0;0;861;277;220;343;263;87;42;94;173;3152;1288;534;471;109;2110;0;186;79;0.01822742474916388;2;2001-09-20 00:39:35;1000946375;3;11
7;473;570;4911;3;15;0;268;0.885492089031912;1750;1;0;0;0;0;0;0;0;0;0;1308;0;0;0;0;0;0;385;130;69;36;20;5;12;13;10;1750;1;0;0;0;0;0;0;0;0;0;1308;0;0;0;0;0;0;385;130;69;36;20;5;12;13;149;1734;1241;337;1140;152;1716;0;227;22;0.030950926491549582;3;2001-09-20 00:44:35;1000946675;3;11
8;978;950;6302;3;17;0;249;1.3158651870119193;1969;1;2;0;0;1;0;0;0;0;0;1356;0;0;0;0;0;0;626;345;261;200;73;27;2;3;14;1969;1;2;0;0;1;0;0;0;0;0;1356;0;0;0;0;0;0;626;345;261;200;73;27;2;3;198;2451;1395;573;1292;200;1911;0;206;63;0.031735956839098696;3;2001-09-20 00:49:35;1000946975;3;11
9;1179;1065;8186;3;16;0;222;1.6583303980274744;1504;12;2;0;2;0;0;0;0;0;0;2078;0;0;0;0;0;0;972;421;209;137;100;133;61;47;13;1504;12;2;0;2;0;0;0;0;0;0;2078;0;0;0;0;0;0;972;421;209;137;100;133;61;47;170;3834;1014;438;2354;615;2827;0;229;77;0.07512826777424872;3;2001-09-20 00:54:35;1000947275;3;11
