,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max
0,784,666,5710,3,18,0,156,1.3763272954403498,1300,2,669,521,393,192,73,28,6,14,2,12,1300,2,669,521,393,192,73,28,6,14,2,44,1646,972,384,2271,297,1885,0,359,148,0.06304393971555933,4,2001-09-21 00:11:11,1001031071,3,10
1,786,979,7066,4,16,0,262,1.2493317132442283,1731,0,905,912,292,111,71,47,15,5,1,13,1731,0,905,912,292,111,71,47,15,5,1,150,2115,1236,352,2732,480,2299,0,393,97,0.06793093688083783,5,2001-09-21 00:16:11,1001031371,4,12
2,562,644,4338,3,16,0,211,1.0642988364972443,1397,0,924,602,185,90,31,21,5,4,0,13,1397,0,924,602,185,90,31,21,5,4,0,157,1615,974,309,994,336,1445,1,196,140,0.07745504840940526,4,2001-09-21 00:21:11,1001031671,3,9
3,1155,646,6610,6,14,0,427,1.0677083333333333,2266,3,1140,759,336,165,70,33,15,3,9,11,2266,3,1140,759,336,165,70,33,15,3,9,137,2154,1643,439,1723,227,1705,0,340,64,0.03434190620272315,3,2001-09-21 00:26:11,1001031971,6,10
4,347,776,3364,5,17,0,123,1.0260586319218241,1354,0,545,558,153,116,4,15,6,9,3,9,1354,0,545,558,153,116,4,15,6,9,3,260,1035,819,526,549,189,1386,0,149,120,0.05618311533888228,4,2001-09-21 00:31:11,1001032271,5,10
5,397,539,5315,6,17,0,122,1.1901736552308344,996,4,603,432,185,62,33,18,11,9,5,11,996,4,603,432,185,62,33,18,11,9,5,72,1203,764,200,2913,746,1753,0,248,98,0.14035747883349012,3,2001-09-21 00:36:11,1001032571,6,11
6,312,627,4717,4,12,0,124,1.2011529126213591,1152,1,1126,646,157,79,95,23,9,4,4,10,1152,1,1126,646,157,79,95,23,9,4,4,93,1991,885,203,1382,310,1806,0,215,52,0.06571973712105153,4,2001-09-21 00:41:11,1001032871,4,10
7,797,1042,5812,4,15,0,221,1.22277523392395,2102,3,1060,1170,401,88,127,29,18,7,16,11,2102,3,1060,1170,401,88,127,29,18,7,16,145,2759,1663,235,671,96,2350,0,229,83,0.016517549896765314,3,2001-09-21 00:46:11,1001033171,4,10
8,1450,1009,9232,5,15,0,206,0.9931980766975492,4024,0,2425,929,727,237,108,40,21,14,2,9,4024,0,2425,929,727,237,108,40,21,14,2,146,4246,3600,329,575,109,2819,0,214,38,0.011806759098786828,2,2001-09-21 00:51:11,1001033471,5,10
9,439,423,2949,14,17,0,137,1.3343478260869566,1013,20,566,308,173,103,32,50,14,9,3,11,1013,20,566,308,173,103,32,50,14,9,3,121,1030,691,321,590,79,1443,0,235,136,0.026788741946422515,3,2001-09-21 00:56:11,1001033771,9,14
