,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
0,6657,15,1236,1878,2769,0,2001-09-23 00:14:10,1001204050
1,10155,15,4034,1101,2512,0,2001-09-23 00:19:10,1001204350
2,5244,17,2401,824,1913,0,2001-09-23 00:24:10,1001204650
3,7212,18,3779,1049,2407,0,2001-09-23 00:29:10,1001204950
4,3956,15,1802,823,1778,3,2001-09-23 00:34:10,1001205250
5,4335,16,1612,711,1374,0,2001-09-23 00:39:10,1001205550
6,2148,14,716,565,941,0,2001-09-23 00:44:10,1001205850
7,6240,17,3240,1002,1973,0,2001-09-23 00:49:10,1001206150
8,3163,14,1636,594,1447,0,2001-09-23 00:54:10,1001206450
9,5269,16,2334,1022,1429,0,2001-09-23 00:59:10,1001206750
10,3347,16,1298,484,1449,1,2001-09-23 01:04:10,1001207050
11,2160,11,896,514,1182,0,2001-09-23 01:09:10,1001207350
12,2855,11,1194,566,1204,1,2001-09-23 01:14:10,1001207650
13,2314,14,743,623,1062,0,2001-09-23 01:19:10,1001207950
14,2713,14,1530,545,1093,4,2001-09-23 01:24:10,1001208250
15,2217,12,979,503,1004,27,2001-09-23 01:29:10,1001208550
16,1456,12,709,338,816,0,2001-09-23 01:34:10,1001208850
17,2511,12,875,511,1192,0,2001-09-23 01:39:10,1001209150
18,3523,17,1462,711,1495,0,2001-09-23 01:44:10,1001209450
19,2861,12,1017,511,1108,2,2001-09-23 01:49:10,1001209750
20,2730,12,1224,510,1297,0,2001-09-23 01:54:10,1001210050
21,1817,15,761,371,1083,0,2001-09-23 01:59:10,1001210350
22,2690,15,1459,573,1228,0,2001-09-23 02:04:10,1001210650
23,2446,12,983,544,951,1,2001-09-23 02:09:10,1001210950
24,5363,17,3069,837,1518,0,2001-09-23 02:14:10,1001211250
25,2081,17,950,365,1095,0,2001-09-23 02:19:10,1001211550
26,2634,15,1500,430,1135,0,2001-09-23 02:24:10,1001211850
27,2706,14,1149,497,1043,0,2001-09-23 02:29:10,1001212150
28,2217,12,1085,574,1052,1,2001-09-23 02:34:10,1001212450
29,1815,13,824,383,944,0,2001-09-23 02:39:10,1001212750
30,2588,13,1261,618,1104,0,2001-09-23 02:44:10,1001213050
31,4214,14,2118,909,1275,0,2001-09-23 02:49:10,1001213350
32,3715,13,2168,708,1389,0,2001-09-23 02:54:10,1001213650
33,1409,12,561,326,842,0,2001-09-23 02:59:10,1001213950
34,2559,14,1075,418,1065,0,2001-09-23 03:04:10,1001214250
35,3160,25,1440,567,988,18,2001-09-23 03:09:10,1001214550
36,3546,26,1570,793,1238,0,2001-09-23 03:14:10,1001214850
37,3119,13,1507,345,1127,0,2001-09-23 03:19:10,1001215150
38,2097,16,1116,420,988,0,2001-09-23 03:24:10,1001215450
39,1958,16,990,432,1013,14,2001-09-23 03:29:10,1001215750
40,2771,12,1478,490,1057,0,2001-09-23 03:34:10,1001216050
41,2670,12,1619,455,1122,0,2001-09-23 03:39:10,1001216350
42,2215,13,1117,518,1076,0,2001-09-23 03:44:10,1001216650
43,5051,14,2519,468,1968,1,2001-09-23 03:49:10,1001216950
44,5256,15,2784,870,1693,0,2001-09-23 03:54:10,1001217250
45,2284,12,1148,513,1109,0,2001-09-23 03:59:10,1001217550
46,2521,17,1093,709,1198,0,2001-09-23 04:04:10,1001217850
47,2953,17,1349,725,1332,0,2001-09-23 04:09:10,1001218150
48,8231,16,3648,1073,1859,2,2001-09-23 04:14:10,1001218450
49,5363,13,3370,713,1296,0,2001-09-23 04:19:10,1001218750
50,2599,15,1059,541,1222,12,2001-09-23 04:24:10,1001219050
51,2596,17,957,721,952,0,2001-09-23 04:29:10,1001219350
52,1739,10,677,422,871,0,2001-09-23 04:34:10,1001219650
53,2597,16,1450,480,1349,1,2001-09-23 04:39:10,1001219950
54,2187,12,1011,429,910,0,2001-09-23 04:44:10,1001220250
55,1958,15,944,416,979,1,2001-09-23 04:49:10,1001220550
56,4635,15,2331,349,1353,0,2001-09-23 04:54:10,1001220850
57,4029,13,1683,996,974,0,2001-09-23 04:59:10,1001221150
58,3484,13,1445,850,1086,0,2001-09-23 05:04:10,1001221450
59,2628,13,1082,605,1084,0,2001-09-23 05:09:10,1001221750
60,1471,19,690,304,769,0,2001-09-23 05:14:10,1001222050
61,4351,18,2332,548,1721,0,2001-09-23 05:19:10,1001222350
62,2662,15,1398,445,1329,0,2001-09-23 05:24:10,1001222650
63,4062,15,2183,519,2011,0,2001-09-23 05:29:10,1001222950
64,1918,13,1245,248,658,0,2001-09-23 05:34:10,1001223250
65,2754,18,1296,477,1252,0,2001-09-23 05:39:10,1001223550
66,1919,15,864,409,879,22,2001-09-23 05:44:10,1001223850
67,2438,11,1218,596,1119,0,2001-09-23 05:49:10,1001224150
68,1722,12,775,440,879,0,2001-09-23 05:54:10,1001224450
69,2054,16,886,430,1128,0,2001-09-23 05:59:10,1001224750
70,2230,17,971,505,1056,0,2001-09-23 06:04:10,1001225050
71,5347,12,2482,1002,1514,0,2001-09-23 06:09:10,1001225350
72,4057,17,1892,754,1585,0,2001-09-23 06:14:10,1001225650
73,3277,18,1483,646,1573,1,2001-09-23 06:19:10,1001225950
74,2266,14,1092,465,1136,0,2001-09-23 06:24:10,1001226250
75,2091,15,934,506,1023,0,2001-09-23 06:29:10,1001226550
76,3152,17,1431,622,1363,13,2001-09-23 06:34:10,1001226850
77,4229,17,1894,906,1518,9,2001-09-23 06:39:10,1001227150
78,2661,13,1337,632,975,9,2001-09-23 06:44:10,1001227450
79,1791,15,919,278,934,8,2001-09-23 06:49:10,1001227750
80,1695,17,772,309,880,6,2001-09-23 06:54:10,1001228050
81,2205,13,1061,549,948,0,2001-09-23 06:59:10,1001228350
82,4319,13,2105,1061,858,2,2001-09-23 07:04:10,1001228650
83,2183,13,1112,436,1064,0,2001-09-23 07:09:10,1001228950
84,2005,14,986,387,952,0,2001-09-23 07:14:10,1001229250
85,3241,20,1419,944,1368,0,2001-09-23 07:19:10,1001229550
86,2505,15,1185,749,1154,0,2001-09-23 07:24:10,1001229850
87,2578,13,1328,671,1211,0,2001-09-23 07:29:10,1001230150
88,3730,15,2005,538,1124,0,2001-09-23 07:34:10,1001230450
89,3189,12,1592,773,1350,0,2001-09-23 07:39:10,1001230750
90,2858,13,1369,590,1076,0,2001-09-23 07:44:10,1001231050
91,5446,18,1492,1594,1722,9,2001-09-23 07:49:10,1001231350
92,2038,15,933,448,1215,0,2001-09-23 07:54:10,1001231650
93,2361,14,979,507,1402,0,2001-09-23 07:59:10,1001231950
94,4533,12,1996,807,1256,4,2001-09-23 08:04:10,1001232250
95,3411,14,1871,704,1082,13,2001-09-23 08:09:10,1001232550
96,3649,15,1701,922,1139,0,2001-09-23 08:14:10,1001232850
97,3119,13,1814,478,1182,0,2001-09-23 08:19:10,1001233150
98,1937,18,899,413,1005,15,2001-09-23 08:24:10,1001233450
99,3780,15,986,750,974,2,2001-09-23 08:29:10,1001233750
100,3657,13,1775,832,1048,0,2001-09-23 08:34:10,1001234050
101,3941,14,1359,640,1010,0,2001-09-23 08:39:10,1001234350
102,3956,16,2022,620,960,0,2001-09-23 08:44:10,1001234650
103,5856,17,2276,1191,1578,0,2001-09-23 08:49:10,1001234950
104,5584,17,3197,1258,1879,0,2001-09-23 08:54:10,1001235250
105,4367,20,2536,644,1421,0,2001-09-23 08:59:10,1001235550
