;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_25_;edit_distance_dict_26_;edit_distance_dict_27_;edit_distance_dict_29_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_25_;edit_distance_unique_dict_26_;edit_distance_unique_dict_27_;edit_distance_unique_dict_29_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
0;820;361;3996;2;14;0;208;1.5016849199663016;617;0;0;0;0;0;0;0;0;0;0;680;0;0;0;0;0;0;0;0;0;580;335;107;46;3;4;2;0;8;617;0;0;0;0;0;0;0;0;0;0;680;0;0;0;0;0;0;0;0;0;580;335;107;46;3;4;2;0;36;1619;344;167;1549;55;1164;0;173;309;0.018351685018351684;3;2001-09-26 00:04:07;1001462647;2;9
1;263;410;2504;4;16;0;204;1.1464864864864865;914;3;3;0;0;0;0;0;0;0;0;328;0;0;0;0;0;0;0;0;0;223;274;70;31;2;1;1;0;11;914;3;3;0;0;0;0;0;0;0;0;328;0;0;0;0;0;0;0;0;0;223;274;70;31;2;1;1;0;81;704;568;293;589;177;1252;0;91;64;0.07068690095846646;4;2001-09-26 00:09:07;1001462947;4;9
2;560;442;2508;3;14;0;176;1.9559597893729057;709;25;12;0;0;0;0;0;0;0;0;425;0;0;0;0;0;0;0;0;0;261;348;141;57;25;16;28;42;11;709;25;12;0;0;0;0;0;0;0;0;425;0;0;0;0;0;0;0;0;0;261;348;141;57;25;16;28;42;78;1206;409;220;386;167;1239;0;100;92;0.06658692185007975;4;2001-09-26 00:14:07;1001463247;3;12
3;474;364;2316;6;18;0;197;1.5704449152542372;702;1;2;0;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;278;299;114;40;33;12;9;9;11;702;1;2;0;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;278;299;114;40;33;12;9;9;79;1040;376;196;395;149;1199;0;199;89;0.06433506044905009;3;2001-09-26 00:19:07;1001463547;6;12
4;549;575;3632;7;17;0;207;1.7597097737942808;888;2;10;9;21;0;0;0;0;0;0;491;0;0;0;0;0;0;0;0;0;363;255;129;50;66;21;21;17;13;888;2;10;9;21;0;0;0;0;0;0;491;0;0;0;0;0;0;0;0;0;363;255;129;50;66;21;21;17;85;1148;509;394;1188;145;1440;1;176;83;0.03992290748898678;3;2001-09-26 00:24:07;1001463847;4;10
5;385;468;3106;7;13;0;326;1.2072920934043425;1104;0;0;0;0;0;0;0;0;0;0;565;0;0;0;0;0;0;0;0;0;334;266;57;39;51;15;8;2;9;1104;0;0;0;0;0;0;0;0;0;0;565;0;0;0;0;0;0;0;0;0;334;266;57;39;51;15;8;2;96;1133;633;253;624;126;1261;1;165;76;0.04056664520283323;3;2001-09-26 00:29:07;1001464147;5;10
6;483;571;3462;8;18;0;159;1.4713328369322412;1029;9;22;17;3;3;0;0;0;0;0;666;0;0;0;0;0;0;0;0;0;481;259;132;29;12;14;3;7;14;1029;9;22;17;3;3;0;0;0;0;0;666;0;0;0;0;0;0;0;0;0;481;259;132;29;12;14;3;7;169;1406;610;342;728;158;1385;0;200;83;0.04563835932986713;3;2001-09-26 00:34:07;1001464447;5;11
7;514;542;8481;3;17;0;164;1.7163375224416517;725;15;7;4;0;0;0;0;0;0;0;458;0;0;0;0;0;0;0;0;0;399;355;178;51;10;15;3;8;12;725;15;7;4;0;0;0;0;0;0;0;458;0;0;0;0;0;0;0;0;0;399;355;178;51;10;15;3;8;93;1168;428;375;6188;593;2567;4;378;98;0.06992099988208937;4;2001-09-26 00:39:07;1001464747;3;11
8;633;638;9224;3;13;0;4510;0.6440618820518785;5585;2;4;0;0;0;0;0;0;0;0;1656;0;0;0;0;0;0;0;0;0;713;389;134;54;25;13;21;1;11;5585;2;4;0;0;0;0;0;0;0;0;1656;0;0;0;0;0;0;0;0;0;713;389;134;54;25;13;21;1;111;2715;897;364;511;53;2754;4;342;121;0.005745880312228968;2;2001-09-26 00:44:07;1001465047;3;10
9;582;867;3639;14;16;0;200;1.790041782729805;948;6;9;6;1;0;0;0;0;0;0;579;0;0;0;0;0;0;0;0;0;559;355;149;56;183;7;14;0;13;948;6;9;6;1;0;0;0;0;0;0;579;0;0;0;0;0;0;0;0;0;559;355;149;56;183;7;14;0;146;1540;517;469;636;26;1275;0;161;106;0.007144820005496016;3;2001-09-26 00:49:07;1001465347;4;12
