,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max
0,80,93,549,6,14,0,13,1.9462809917,43,0,56,81,27,20,6,6,0,1,2,9,43,0,56,81,27,20,6,6,0,1,2,8,186,19,16,291,0,248,0,38,0,0,0,2001-07-13 00:08:59,6,10
1,57,114,512,7,14,0,16,2.2015810277,47,0,63,61,25,26,6,18,4,0,3,9,47,0,63,61,25,26,6,18,4,0,3,17,192,9,19,229,10,224,0,25,1,0.1612903226,4,2001-07-13 00:13:59,6,9
2,122,208,788,4,21,0,25,2.2344689379,104,1,131,81,81,38,38,11,3,2,1,18,104,1,131,81,81,38,38,11,3,2,1,33,366,41,34,268,72,285,0,57,10,0.0913705584,5,2001-07-13 00:18:59,4,9
3,76,108,441,5,17,0,52,2.3676012461,99,1,45,68,42,21,3,14,0,8,14,13,99,1,45,68,42,21,3,14,0,8,14,17,207,24,21,111,41,226,0,31,5,0.0929705215,4,2001-07-13 00:23:59,5,11
4,55,67,577,6,18,0,27,1.2685714286,182,1,46,43,32,34,5,6,0,0,1,10,182,1,46,43,32,34,5,6,0,0,1,14,142,108,59,205,85,221,0,21,0,0.1473136915,4,2001-07-13 00:28:59,6,9
5,42,73,394,6,12,0,8,1.9468599034,41,0,74,25,19,26,15,6,1,0,0,7,41,0,74,25,19,26,15,6,1,0,0,15,127,16,41,179,76,225,0,14,0,0.1914357683,3,2001-07-13 00:33:59,5,7
6,55,57,371,5,14,0,3,1.8685121107,42,0,133,30,36,25,9,12,0,0,0,11,42,0,133,30,36,25,9,12,0,0,0,22,227,15,22,75,20,200,0,13,0,0.0539083558,3,2001-07-13 00:38:59,5,9
7,75,123,420,4,10,0,24,1.7324840764,76,0,93,71,28,25,6,10,5,0,0,7,76,0,93,71,28,25,6,10,5,0,0,24,215,22,29,100,19,220,0,36,0,0.0452380952,2,2001-07-13 00:43:59,3,9
8,197,148,735,6,16,0,7,2.7535641548,63,1,158,82,43,20,47,21,11,38,4,11,63,1,158,82,43,20,47,21,11,38,4,30,381,18,55,192,40,330,0,44,0,0.0544217687,3,2001-07-13 00:48:59,6,9
9,226,191,1119,9,15,0,28,1.9677002584,178,1,187,182,135,20,19,15,16,13,6,11,178,1,187,182,135,20,19,15,16,13,6,104,538,34,70,239,48,455,5,92,2,0.0428954424,4,2001-07-13 00:53:59,5,9
10,276,320,1038,5,14,0,27,2.3064876957,173,8,233,147,120,110,39,29,14,13,2,11,173,8,233,147,120,110,39,29,14,13,2,100,584,28,155,77,57,421,0,62,7,0.0549132948,3,2001-07-13 00:58:59,5,10
11,57,82,614,6,16,0,133,1.3713527851,187,0,54,69,24,13,2,19,4,2,0,11,187,0,54,69,24,13,2,19,4,2,0,24,162,24,34,228,40,200,0,37,0,0.0651465798,3,2001-07-13 01:03:59,5,9
12,290,104,910,4,14,0,31,2.844606947,96,1,103,59,64,113,37,39,28,4,0,12,96,1,103,59,64,113,37,39,28,4,0,28,398,29,61,340,98,355,0,28,7,0.1076923077,4,2001-07-13 01:08:59,4,10
13,91,107,521,3,19,0,23,2.1620111732,110,0,87,47,38,23,7,16,5,10,12,11,110,0,87,47,38,23,7,16,5,10,12,13,199,67,56,108,29,230,0,19,7,0.0556621881,3,2001-07-13 01:13:59,3,16
14,281,225,840,5,16,0,29,2.2816500711,103,2,210,135,77,88,49,19,11,4,2,13,103,2,210,135,77,88,49,19,11,4,2,42,508,21,103,113,32,306,0,19,2,0.0380952381,3,2001-07-13 01:18:59,5,10
15,55,296,785,4,14,0,51,1.8848396501,249,2,88,126,105,37,43,20,2,9,3,11,249,2,88,126,105,37,43,20,2,9,3,105,223,63,244,93,30,258,0,27,0,0.0382165605,3,2001-07-13 01:23:59,3,9
16,374,192,1127,4,15,0,44,2.187654321,122,0,235,186,97,97,21,15,18,10,7,11,122,0,235,186,97,97,21,15,18,10,7,33,540,21,172,230,21,329,0,55,3,0.0186335404,2,2001-07-13 01:28:59,4,10
17,135,197,820,4,14,0,39,1.7272727273,133,2,130,209,35,37,5,12,4,3,2,10,133,2,130,209,35,37,5,12,4,3,2,51,385,35,62,209,80,306,0,35,0,0.0975609756,4,2001-07-13 01:33:59,4,9
18,246,170,985,5,15,0,35,2.0650289017,80,3,209,175,153,32,9,20,5,3,2,11,80,3,209,175,153,32,9,20,5,3,2,24,481,15,137,286,38,239,0,46,83,0.0385786802,2,2001-07-13 01:38:59,5,9
19,123,273,944,4,14,0,21,2.1764705882,122,0,95,182,61,96,5,17,5,5,5,11,122,0,95,182,61,96,5,17,5,5,5,52,402,35,85,291,87,280,0,32,3,0.0921610169,3,2001-07-13 01:43:59,4,9
20,182,288,1155,4,15,0,47,1.8481613286,272,0,105,214,112,70,37,25,3,2,0,15,272,0,105,214,112,70,37,25,3,2,0,66,438,110,182,250,48,339,14,41,28,0.0415584416,4,2001-07-13 01:48:59,4,11
21,176,138,668,9,14,0,28,2.0492091388,184,4,92,101,79,44,31,14,3,2,11,11,184,4,92,101,79,44,31,14,3,2,11,38,306,89,108,81,60,325,13,25,10,0.0898203593,3,2001-07-13 01:53:59,9,11
22,147,142,742,6,14,0,68,1.613559322,200,0,133,106,83,24,20,13,8,2,0,12,200,0,133,106,83,24,20,13,8,2,0,57,305,54,106,146,78,373,0,55,12,0.1051212938,2,2001-07-13 01:58:59,6,10
23,114,226,609,6,11,0,17,2.0961145194,75,0,137,135,70,16,18,22,10,4,1,11,75,0,137,135,70,16,18,22,10,4,1,32,320,12,108,95,33,326,0,43,8,0.0541871921,2,2001-07-13 02:03:59,6,10
24,155,133,532,5,15,0,25,2.0907079646,68,2,125,115,71,33,16,16,4,1,0,13,68,2,125,115,71,33,16,16,4,1,0,26,348,15,38,76,37,251,0,41,8,0.0695488722,4,2001-07-13 02:08:59,5,9
25,112,115,447,4,15,0,24,1.8779069767,60,0,112,86,31,25,15,12,2,1,0,8,60,0,112,86,31,25,15,12,2,1,0,31,229,4,56,102,34,213,0,31,2,0.0760626398,2,2001-07-13 02:13:59,3,10
26,106,92,439,6,12,0,38,2.0536277603,79,0,74,68,25,40,5,8,14,1,3,9,79,0,74,68,25,40,5,8,14,1,3,25,182,15,57,114,40,190,0,46,6,0.0911161731,2,2001-07-13 02:18:59,5,12
27,80,112,361,4,14,0,16,2.082278481,72,1,60,75,44,36,15,7,4,1,1,10,72,1,60,75,44,36,15,7,4,1,1,26,178,21,75,37,40,200,0,50,9,0.1108033241,3,2001-07-13 02:23:59,4,11
28,195,100,688,6,10,0,19,1.7365384615,56,1,253,99,47,33,23,5,1,1,1,10,56,1,253,99,47,33,23,5,1,1,1,16,429,11,45,157,24,175,5,21,0,0.0348837209,2,2001-07-13 02:28:59,6,9
29,113,273,1180,6,12,0,16,2.0471869328,139,1,56,132,125,85,3,6,1,2,1,10,139,1,56,132,125,85,3,6,1,2,1,104,255,15,161,521,64,278,0,20,4,0.0542372881,3,2001-07-13 02:33:59,6,9
30,92,346,1165,6,14,0,21,1.7306763285,118,0,285,297,50,32,17,21,5,1,0,11,118,0,285,297,50,32,17,21,5,1,0,37,677,52,41,321,39,274,0,38,2,0.0334763948,2,2001-07-13 02:38:59,6,9
31,128,86,383,5,19,0,22,2.2368421053,69,3,63,95,56,21,14,5,6,5,4,12,69,3,63,95,56,21,14,5,6,5,4,12,237,19,52,28,30,242,0,18,0,0.0783289817,2,2001-07-13 02:43:59,5,10
32,96,77,440,4,15,0,9,1.8012232416,109,0,55,83,25,20,16,8,8,2,0,13,109,0,55,83,25,20,16,8,8,2,0,28,180,56,54,108,54,226,0,24,0,0.1227272727,3,2001-07-13 02:48:59,4,8
33,66,99,372,5,14,0,11,1.9543973941,105,1,34,90,23,18,11,12,6,4,1,13,105,1,34,90,23,18,11,12,6,4,1,50,147,39,60,55,31,206,0,11,0,0.0833333333,1,2001-07-13 02:53:59,5,10
34,125,92,510,5,14,0,51,1.6163069544,131,0,101,86,34,41,14,7,1,2,0,8,131,0,101,86,34,41,14,7,1,2,0,40,263,34,29,72,64,274,0,28,1,0.1254901961,2,2001-07-13 02:58:59,5,9
35,95,128,479,9,10,0,38,2.1387434555,85,0,89,76,36,43,32,16,4,0,0,12,85,0,89,76,36,43,32,16,4,0,0,24,275,16,29,69,25,209,0,55,0,0.0521920668,2,2001-07-13 03:03:59,4,9
36,130,52,641,6,14,0,7,1.2646370023,192,0,103,34,52,29,7,8,2,0,0,7,192,0,103,34,52,29,7,8,2,0,0,25,206,158,31,208,32,184,0,12,0,0.0499219969,2,2001-07-13 03:08:59,6,9
37,130,93,454,4,14,0,20,1.9245283019,100,2,70,79,75,24,4,6,7,2,0,12,100,2,70,79,75,24,4,6,7,2,0,38,224,31,58,52,33,225,0,27,2,0.0726872247,3,2001-07-13 03:13:59,3,9
38,141,135,774,6,11,0,69,1.2322580645,280,0,143,82,37,60,8,4,6,0,0,7,280,0,143,82,37,60,8,4,6,0,0,138,267,62,84,119,56,238,0,28,0,0.0723514212,4,2001-07-13 03:18:59,5,9
39,131,144,593,5,12,0,29,1.8115942029,154,0,70,114,75,25,29,8,5,3,0,8,154,0,70,114,75,25,29,8,5,3,0,70,268,47,69,101,40,266,0,44,8,0.0674536256,2,2001-07-13 03:23:59,5,9
40,156,196,787,3,12,0,56,1.6228209192,159,0,169,173,74,25,16,7,3,1,4,9,159,0,169,173,74,25,16,7,3,1,4,58,398,36,83,124,33,361,0,38,0,0.041931385,4,2001-07-13 03:28:59,3,8
41,135,101,436,5,11,0,18,1.897574124,71,0,101,93,65,12,8,17,1,2,1,9,71,0,101,93,65,12,8,17,1,2,1,26,238,25,64,38,30,214,0,43,10,0.0688073394,2,2001-07-13 03:33:59,5,9
42,76,58,361,5,10,0,13,1.7007874016,64,0,71,60,24,18,9,6,0,2,0,8,64,0,71,60,24,18,9,6,0,2,0,28,165,20,28,82,30,208,0,29,1,0.0831024931,3,2001-07-13 03:38:59,3,8
43,160,122,585,6,20,0,23,1.7216494845,122,0,108,129,77,32,11,2,1,0,1,15,122,0,108,129,77,32,11,2,1,0,1,42,311,48,61,96,25,274,0,47,1,0.0427350427,3,2001-07-13 03:43:59,6,9
44,135,147,634,4,18,0,43,1.968503937,143,1,115,119,51,30,15,10,9,1,5,15,143,1,115,119,51,30,15,10,9,1,5,43,308,47,67,118,44,355,0,26,10,0.0694006309,3,2001-07-13 03:48:59,4,10
45,249,152,810,7,14,0,15,1.8906942393,179,2,164,196,41,12,10,35,35,1,1,11,179,2,164,196,41,12,10,35,35,1,1,70,436,77,79,96,65,331,0,56,10,0.0802469136,2,2001-07-13 03:53:59,7,10
46,90,187,667,5,21,0,32,2.101910828,153,0,96,66,55,54,11,20,3,1,0,17,153,0,96,66,55,54,11,20,3,1,0,42,225,72,100,185,83,327,0,40,3,0.1244377811,3,2001-07-13 03:58:59,5,9
47,144,289,1433,5,15,0,33,1.7611940299,143,0,393,143,72,50,31,12,16,8,1,15,143,0,393,143,72,50,31,12,16,8,1,28,670,66,74,535,251,530,0,34,4,0.174912892,3,2001-07-13 04:03:59,5,10
48,523,594,4371,6,15,0,82,2.335347432,209,0,406,430,159,298,72,47,17,8,0,12,209,0,406,430,159,298,72,47,17,8,0,40,1357,67,109,2566,575,1394,5,116,9,0.1315488447,3,2001-07-13 04:08:59,4,9
49,422,656,3386,4,19,0,203,2.095709571,282,3,274,592,164,99,34,11,20,11,1,17,282,3,274,592,164,99,34,11,20,11,1,30,1153,40,89,1840,206,1168,1,114,13,0.0608207854,2,2001-07-13 04:13:59,3,10
50,505,1582,4425,7,22,0,99,1.9781544256,221,0,333,1564,426,72,26,4,2,6,1,9,221,0,333,1564,426,72,26,4,2,6,1,23,2366,90,77,1760,138,1068,0,106,17,0.0311864407,2,2001-07-13 04:18:59,6,17
51,2172,1917,7040,5,15,0,958,1.5954123963,1214,0,918,3547,293,91,30,11,25,13,2,15,1214,0,918,3547,293,91,30,11,25,13,2,44,4889,195,61,883,76,1624,0,126,25,0.0107908562,2,2001-07-13 04:23:59,5,10
52,2465,1530,5064,5,14,0,161,1.9259743087,245,0,413,3680,96,84,43,4,18,9,0,12,245,0,413,3680,96,84,43,4,18,9,0,42,4295,35,60,456,51,1085,0,84,20,0.01007109,3,2001-07-13 04:28:59,5,10
53,2767,2445,6591,15,21,0,426,1.8761670762,505,0,374,4869,224,64,17,40,7,5,0,8,505,0,374,4869,224,64,17,40,7,5,0,31,5546,35,67,467,68,1736,1,128,14,0.0103170991,2,2001-07-13 04:33:59,5,9
54,8428,9627,20720,5,15,0,248,2.2479438922,378,1,291,14234,4119,696,49,17,2,24,2,14,378,1,291,14234,4119,696,49,17,2,24,2,93,19331,24,123,890,126,5355,14,399,119,0.0060799074,2,2001-07-13 04:38:59,5,9
55,10286,12639,25883,6,20,0,840,2.2089528878,991,0,286,17894,5367,906,58,42,4,5,1,18,991,0,286,17894,5367,906,58,42,4,5,1,85,24515,47,69,314,145,6338,16,458,169,0.005601267,2,2001-07-13 04:43:59,6,8
