,ann_to_longer,ann_to_shorter,announcements,dups,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,origin_0_,origin_1_,origin_2_,origin_changes
0,80,93,549,13,8,186,19,16,291,248,0,38,0
1,57,114,512,16,17,192,9,19,229,224,0,25,1
2,122,208,788,25,33,366,41,34,268,285,0,57,10
3,76,108,441,52,17,207,24,21,111,226,0,31,5
4,55,67,577,27,14,142,108,59,205,221,0,21,0
5,42,73,394,8,15,127,16,41,179,225,0,14,0
6,55,57,371,3,22,227,15,22,75,200,0,13,0
7,75,123,420,24,24,215,22,29,100,220,0,36,0
8,197,148,735,7,30,381,18,55,192,330,0,44,0
9,226,191,1119,28,104,538,34,70,239,455,5,92,2
10,276,320,1038,27,100,584,28,155,77,421,0,62,7
11,57,82,614,133,24,162,24,34,228,200,0,37,0
12,290,104,910,31,28,398,29,61,340,355,0,28,7
13,91,107,521,23,13,199,67,56,108,230,0,19,7
14,281,225,840,29,42,508,21,103,113,306,0,19,2
15,55,296,785,51,105,223,63,244,93,258,0,27,0
16,374,192,1127,44,33,540,21,172,230,329,0,55,3
17,135,197,820,39,51,385,35,62,209,306,0,35,0
18,246,170,985,35,24,481,15,137,286,239,0,46,83
19,123,273,944,21,52,402,35,85,291,280,0,32,3
20,182,288,1155,47,66,438,110,182,250,339,14,41,28
21,176,138,668,28,38,306,89,108,81,325,13,25,10
22,147,142,742,68,57,305,54,106,146,373,0,55,12
23,114,226,609,17,32,320,12,108,95,326,0,43,8
24,155,133,532,25,26,348,15,38,76,251,0,41,8
25,112,115,447,24,31,229,4,56,102,213,0,31,2
26,106,92,439,38,25,182,15,57,114,190,0,46,6
27,80,112,361,16,26,178,21,75,37,200,0,50,9
28,195,100,688,19,16,429,11,45,157,175,5,21,0
29,113,273,1180,16,104,255,15,161,521,278,0,20,4
30,92,346,1165,21,37,677,52,41,321,274,0,38,2
31,128,86,383,22,12,237,19,52,28,242,0,18,0
32,96,77,440,9,28,180,56,54,108,226,0,24,0
33,66,99,372,11,50,147,39,60,55,206,0,11,0
34,125,92,510,51,40,263,34,29,72,274,0,28,1
35,95,128,479,38,24,275,16,29,69,209,0,55,0
36,130,52,641,7,25,206,158,31,208,184,0,12,0
37,130,93,454,20,38,224,31,58,52,225,0,27,2
38,141,135,774,69,138,267,62,84,119,238,0,28,0
39,131,144,593,29,70,268,47,69,101,266,0,44,8
40,156,196,787,56,58,398,36,83,124,361,0,38,0
41,135,101,436,18,26,238,25,64,38,214,0,43,10
42,76,58,361,13,28,165,20,28,82,208,0,29,1
43,160,122,585,23,42,311,48,61,96,274,0,47,1
44,135,147,634,43,43,308,47,67,118,355,0,26,10
45,249,152,810,15,70,436,77,79,96,331,0,56,10
46,90,187,667,32,42,225,72,100,185,327,0,40,3
47,144,289,1433,33,28,670,66,74,535,530,0,34,4
48,523,594,4371,82,40,1357,67,109,2566,1394,5,116,9
