,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,0,0,127,3,8,0,4,0.0,115,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,16,80,0,80,15,11,44,0,34,0,7,0,0.0,0,2001-04-03 22:17:07,986336227,3,5,41,98
1,1,0,72,3,9,0,0,0.03333333333333333,59,0,0,1,0,0,0,0,0,0,0,2,59,0,0,1,0,0,0,0,0,0,0,16,35,1,34,9,12,34,0,28,0,0,0,0.0,0,2001-04-03 22:22:07,986336527,3,5,23,56
2,0,0,62,4,5,0,0,0.0,56,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,40,0,40,15,6,22,0,26,0,4,1,0.0,0,2001-04-03 22:27:07,986336827,3,5,8,21
3,3,1,31,5,10,0,0,0.4827586206896552,25,0,0,0,3,0,1,0,0,0,0,5,25,0,0,0,3,0,1,0,0,0,0,0,22,2,20,7,2,10,0,24,0,2,1,0.0,0,2001-04-03 22:32:07,986337127,5,6,10,25
4,13,15,78,2,11,0,0,2.453333333333333,47,0,0,0,3,0,0,0,25,0,0,7,47,0,0,0,3,0,0,0,25,0,0,7,46,13,33,22,3,27,0,38,0,3,0,0.0,0,2001-04-03 22:37:07,986337427,2,7,27,58
5,4,0,32,7,10,0,0,0.3,23,6,0,0,1,0,0,0,0,0,0,3,23,6,0,0,1,0,0,0,0,0,0,1,19,3,16,10,2,11,0,19,0,4,0,0.0,0,2001-04-03 22:42:07,986337727,6,6,7,17
6,3,4,136,9,11,0,0,0.3615384615384615,123,0,0,0,0,0,1,0,6,0,0,7,123,0,0,0,0,0,1,0,6,0,0,10,68,0,68,52,6,64,0,37,0,7,6,0.0,0,2001-04-03 22:47:07,986338027,3,6,106,223
7,0,0,54,2,10,0,2,0.0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,16,28,0,28,4,4,22,0,26,0,12,0,0.0,0,2001-04-03 22:52:07,986338327,2,6,52,104
8,0,0,32,6,10,0,0,0.0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,14,0,14,15,2,17,0,18,0,4,0,0.0,0,2001-04-03 22:57:07,986338627,6,6,13,29
9,0,0,222,4,9,0,2,0.013824884792626729,214,3,0,0,0,0,0,0,0,0,0,1,214,3,0,0,0,0,0,0,0,0,0,41,120,0,120,54,4,107,0,85,0,15,0,0.0,0,2001-04-03 23:02:07,986338927,4,6,30,65
