,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,70,70,271,4,17,0,48,1.7125506072874497,57,74,0,40,44,27,2,2,1,0,0,7,57,74,0,40,44,27,2,2,1,0,0,8,176,176,0,15,24,158,0,102,0,22,6,0.0,0,2001-10-04 20:13:18,1002226398,4,8,0,56
1,84,70,306,5,12,0,23,1.3639575971731448,42,158,0,47,22,10,0,2,0,2,0,8,42,158,0,47,22,10,0,2,0,2,0,12,229,223,6,19,21,179,0,118,0,18,6,0.0,0,2001-10-04 20:18:18,1002226698,5,10,0,18
2,46,37,137,4,13,0,13,1.5801526717557253,16,56,0,31,23,5,0,0,0,0,0,4,16,56,0,31,23,5,0,0,0,0,0,3,103,103,0,12,5,80,0,78,2,10,0,0.0,0,2001-10-04 20:23:18,1002226998,4,11,0,37
3,134,38,299,6,14,0,66,1.0596491228070175,83,141,0,40,12,4,3,1,0,1,0,8,83,141,0,40,12,4,3,1,0,1,0,9,198,190,8,12,14,223,5,80,1,12,2,0.35714285714285715,2,2001-10-04 20:28:18,1002227298,6,10,0,38
4,134,142,530,6,18,0,223,2.5028462998102468,234,57,0,20,12,18,16,163,5,1,0,13,234,57,0,20,12,18,16,163,5,1,0,4,284,277,7,16,3,299,49,108,0,12,4,0.09245283018867924,4,2001-10-04 20:33:18,1002227598,4,10,0,114
5,147,131,432,12,16,0,13,1.6973995271867612,41,231,0,58,57,16,6,3,0,11,0,8,41,231,0,58,57,16,6,3,0,11,0,21,268,261,7,121,9,310,37,110,0,28,1,0.08564814814814815,4,2001-10-04 20:38:18,1002227898,9,9,0,83
6,149,157,536,3,16,0,10,2.9546313799621933,17,228,0,78,14,18,1,169,0,0,1,13,17,228,0,78,14,18,1,169,0,0,1,4,495,492,3,20,7,213,24,96,0,11,2,0.04477611940298507,3,2001-10-04 20:43:18,1002228198,3,9,0,29
7,61,28,184,5,9,0,13,1.5786516853932584,22,60,0,79,6,10,1,0,0,0,0,5,22,60,0,79,6,10,1,0,0,0,0,5,155,151,4,5,6,95,11,61,0,10,2,0.059782608695652176,2,2001-10-04 20:48:18,1002228498,4,9,0,17
8,109,120,304,2,7,0,14,1.372093023255814,22,158,0,111,7,3,0,0,0,0,0,4,22,158,0,111,7,3,0,0,0,0,0,6,255,253,2,26,3,163,14,69,0,17,2,0.046052631578947366,2,2001-10-04 20:53:18,1002228798,2,7,0,29
9,80,51,211,4,9,0,36,1.4066985645933014,44,86,0,55,5,16,2,0,0,0,1,9,44,86,0,55,5,16,2,0,0,0,1,5,159,156,3,9,2,109,35,94,0,18,2,0.16587677725118485,3,2001-10-04 20:58:18,1002229098,4,8,0,120
10,76,51,166,11,11,0,0,1.7115384615384617,5,103,0,13,13,14,7,0,0,1,0,8,5,103,0,13,13,14,7,0,0,1,0,4,144,143,1,8,10,102,24,53,0,7,2,0.14457831325301204,3,2001-10-04 21:03:18,1002229398,7,7,0,7
11,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 21:08:18,1002229698,0,0,0,0
12,92,84,586,5,14,0,115,1.3304347826086955,139,309,2,19,46,42,16,2,0,0,0,10,139,309,2,19,46,42,16,2,0,0,0,13,342,334,8,105,11,382,30,140,0,16,0,0.05119453924914676,3,2001-10-04 21:13:18,1002229998,5,10,9,151
13,290,454,980,3,10,0,20,1.8862704918032789,33,608,0,164,27,7,28,107,2,0,0,7,33,608,0,164,27,7,28,107,2,0,0,13,889,889,0,54,4,445,29,112,0,21,0,0.029591836734693882,3,2001-10-04 21:18:18,1002230298,3,7,0,60
