,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
3911,27,31,62,6,8,0,0,3.4032258064516134,0,6,0,6,9,39,2,0,0,0,0,5,0,6,0,6,9,39,2,0,0,0,0,0,39,39,0,23,0,36,0,17,0,2,0,0.0,0,2001-10-07 13:24:18,1002461058,6,8,0,4
3912,1,4,15,5,7,0,1,1.6666666666666667,1,9,0,1,3,0,1,0,0,0,0,5,1,9,0,1,3,0,1,0,0,0,0,0,14,14,0,0,0,12,0,9,0,0,0,0.0,0,2001-10-07 13:25:18,1002461118,5,7,0,35
3913,15,3,21,5,10,0,0,4.571428571428571,2,1,0,4,2,1,0,0,11,0,0,7,2,1,0,4,2,1,0,0,11,0,0,2,8,8,0,11,0,20,0,9,0,2,0,0.0,0,2001-10-07 13:26:18,1002461178,5,6,0,18
3914,14,17,70,4,9,0,0,1.6142857142857143,37,7,0,5,10,0,0,11,0,0,0,6,37,7,0,5,10,0,0,11,0,0,0,35,30,28,2,5,0,68,1,12,0,6,1,0.014285714285714284,1,2001-10-07 13:27:18,1002461238,4,8,0,10
3915,15,4,32,8,10,0,1,1.25,11,11,0,4,5,0,0,1,0,0,0,6,11,11,0,4,5,0,0,1,0,0,0,10,18,18,0,3,0,30,0,13,0,0,0,0.0,0,2001-10-07 13:28:18,1002461298,5,9,0,3
3916,12,9,24,7,8,0,0,2.958333333333333,1,6,0,1,7,3,6,0,0,0,0,5,1,6,0,1,7,3,6,0,0,0,0,1,13,13,0,10,0,24,0,13,0,1,0,0.0,0,2001-10-07 13:29:18,1002461358,5,8,0,9
3917,17,28,60,5,12,0,0,2.533333333333333,1,12,0,12,27,6,1,1,0,0,0,6,1,12,0,12,27,6,1,1,0,0,0,0,54,53,1,6,0,49,0,25,0,2,0,0.0,0,2001-10-07 13:30:18,1002461418,5,9,0,7
3918,17,7,31,9,15,0,0,2.3870967741935485,1,8,0,11,6,1,3,0,1,0,0,7,1,8,0,11,6,1,3,0,1,0,0,1,29,29,0,1,0,24,0,9,0,4,0,0.0,0,2001-10-07 13:31:18,1002461478,8,11,0,2
3919,13,2,23,5,10,0,0,1.6956521739130437,3,11,0,4,0,5,0,0,0,0,0,4,3,11,0,4,0,5,0,0,0,0,0,1,19,17,2,3,0,21,0,11,0,2,0,0.0,0,2001-10-07 13:32:18,1002461538,5,9,0,8
3920,14,0,27,5,14,0,0,1.2222222222222223,13,5,0,3,3,2,1,0,0,0,0,5,13,5,0,3,3,2,1,0,0,0,0,11,15,13,2,1,0,25,0,11,0,1,0,0.0,0,2001-10-07 13:33:18,1002461598,5,9,1,19
