,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,0,0,3,7,8,0,2,0.0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0.0,0,2001-10-04 20:13:18,1002226398,5,5,0,2
1,0,0,1,4,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0,2001-10-04 20:18:18,1002226698,8,4,0,0
2,0,0,1,4,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0,2001-10-04 20:23:18,1002226998,8,4,0,1
3,0,0,7,3,3,0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,1,0,0,0,0.0,0,2001-10-04 20:28:18,1002227298,3,3,0,20
4,1,0,15,3,4,0,1,0.06666666666666668,14,1,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,12,1,1,0,1,0,15,0,5,0,0,0,0.0,0,2001-10-04 20:33:18,1002227598,3,4,0,12
5,0,1,29,3,12,0,8,0.047619047619047616,20,1,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,5,6,1,5,2,8,22,0,6,0,2,0,0.0,0,2001-10-04 20:38:18,1002227898,3,5,0,4
6,2,2,16,9,9,0,0,0.75,12,0,0,0,4,0,0,0,0,0,3,12,0,0,0,4,0,0,0,0,0,12,2,2,0,2,0,14,0,5,0,0,0,0.0,0,2001-10-04 20:43:18,1002228198,5,5,0,9
7,0,0,2,4,3,0,1,0.0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0.0,0,2001-10-04 20:48:18,1002228498,4,3,0,1
8,0,0,3,8,6,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0.0,0,2001-10-04 20:53:18,1002228798,4,4,0,1
9,0,0,2,5,4,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0,2001-10-04 20:58:18,1002229098,6,4,0,4
10,0,0,1,4,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0,2001-10-04 21:03:18,1002229398,8,4,0,25
11,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 21:08:18,1002229698,0,0,0,0
