,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
2900,4,1,50,3,10,0,32,0.34,43,2,0,3,1,0,0,1,0,0,0,6,43,2,0,3,1,0,0,1,0,0,0,5,11,5,6,2,0,44,0,19,0,1,1,0.0,0,2004-12-24 00:20:08,1103847608,3,7,1,6
2901,2,6,28,5,7,0,11,1.2857142857142858,16,3,0,4,3,0,0,0,1,0,1,9,16,3,0,4,3,0,0,0,1,0,1,2,11,8,3,4,0,19,0,22,0,2,1,0.0,0,2004-12-24 00:21:08,1103847668,5,7,1,4
2902,7,2,24,5,12,0,3,1.4583333333333333,13,3,0,3,1,2,0,1,0,0,1,9,13,3,0,3,1,2,0,1,0,0,1,3,15,8,7,3,0,15,0,22,0,0,1,0.0,0,2004-12-24 00:22:08,1103847728,5,7,1,8
2903,2,2,77,4,6,0,66,0.2987012987012987,70,3,0,2,0,0,0,0,1,0,1,9,70,3,0,2,0,0,0,0,1,0,1,1,10,7,3,0,0,42,0,15,0,2,0,0.0,0,2004-12-24 00:23:08,1103847788,4,6,0,4
2904,2,3,19,2,10,0,2,0.6842105263157895,14,2,0,1,1,0,0,1,0,0,0,6,14,2,0,1,1,0,0,1,0,0,0,4,11,3,8,2,0,13,0,17,0,0,0,0.0,0,2004-12-24 00:24:08,1103847848,2,6,2,7
2905,2,9,94,3,6,0,41,0.5638297872340425,80,3,0,4,1,0,0,3,3,0,0,7,80,3,0,4,1,0,0,3,3,0,0,30,18,9,9,5,0,46,0,24,0,2,0,0.0,0,2004-12-24 00:25:08,1103847908,3,6,0,35
2906,14,4,48,12,12,0,3,1.875,13,18,0,7,2,1,0,3,3,0,1,9,13,18,0,7,2,1,0,3,3,0,1,3,40,33,7,2,0,33,6,29,0,2,1,0.125,2,2004-12-24 00:26:08,1103847968,5,7,0,7
2907,8,3,91,4,8,0,66,0.4065934065934066,77,5,0,6,0,1,0,0,1,0,1,9,77,5,0,6,0,1,0,0,1,0,1,3,16,8,8,6,0,50,3,24,0,2,1,0.03296703296703297,1,2004-12-24 00:27:08,1103848028,4,6,1,12
2908,8,11,42,12,12,0,9,1.238095238095238,19,9,0,8,4,0,0,1,0,0,1,9,19,9,0,8,4,0,0,1,0,0,1,4,20,14,6,9,0,32,2,25,0,2,1,0.047619047619047616,1,2004-12-24 00:28:08,1103848088,5,7,1,17
2909,7,9,99,6,12,0,62,0.3333333333333333,75,20,0,2,1,0,0,1,0,0,0,6,75,20,0,2,1,0,0,1,0,0,0,1,28,16,12,8,0,51,0,20,0,3,1,0.0,0,2004-12-24 00:29:08,1103848148,4,6,2,14
2910,8,4,39,5,12,0,8,1.3846153846153846,19,8,0,8,0,0,0,2,0,0,2,9,19,8,0,8,0,0,0,2,0,0,2,0,19,9,10,12,0,20,0,34,0,0,0,0.0,0,2004-12-24 00:30:08,1103848208,5,6,0,7
2911,3,5,26,4,9,0,6,1.2692307692307692,13,4,0,6,0,2,0,0,0,0,1,9,13,4,0,6,0,2,0,0,0,0,1,2,16,11,5,2,0,18,4,20,0,0,0,0.15384615384615385,2,2004-12-24 00:31:08,1103848268,4,7,0,3
2912,10,8,32,11,12,0,2,1.78125,9,7,0,11,3,0,0,0,1,0,0,12,9,7,0,11,3,0,0,0,1,0,0,2,22,17,5,6,0,23,5,22,1,0,6,0.15625,3,2004-12-24 00:32:08,1103848328,5,7,0,6
2913,18,3,109,6,12,0,62,0.6788990825688074,71,20,0,11,4,1,0,0,1,0,1,9,71,20,0,11,4,1,0,0,1,0,1,4,37,32,5,6,0,66,3,32,0,2,9,0.027522935779816515,1,2004-12-24 00:33:08,1103848388,6,8,2,18
2914,6,5,26,2,12,0,4,1.7307692307692308,13,3,0,4,2,1,0,1,0,0,2,9,13,3,0,4,2,1,0,1,0,0,2,2,18,11,7,2,0,17,0,22,0,2,1,0.0,0,2004-12-24 00:34:08,1103848448,2,6,0,40
2915,5,7,59,4,12,0,4,0.7627118644067796,45,2,0,8,1,0,0,1,0,0,2,9,45,2,0,8,1,0,0,1,0,0,2,33,19,11,8,3,0,50,5,26,0,1,0,0.0847457627118644,1,2004-12-24 00:35:08,1103848508,4,8,1,12
2916,9,12,60,5,12,0,8,1.4745762711864407,26,10,0,9,9,2,0,1,0,0,2,9,26,10,0,9,9,2,0,1,0,0,2,1,47,30,17,3,1,31,1,37,0,1,2,0.016666666666666666,1,2004-12-24 00:36:08,1103848568,5,6,0,10
2917,2,5,42,4,12,0,6,0.9285714285714286,25,9,0,4,1,1,0,1,0,0,1,9,25,9,0,4,1,1,0,1,0,0,1,9,26,16,10,1,0,33,2,29,0,0,0,0.047619047619047616,1,2004-12-24 00:37:08,1103848628,4,6,1,6
2918,8,4,31,4,12,0,6,1.4666666666666666,14,3,0,8,2,1,0,1,0,0,1,9,14,3,0,8,2,1,0,1,0,0,1,1,19,12,7,4,1,19,0,27,0,3,3,0.0,0,2004-12-24 00:38:08,1103848688,4,7,0,6
2919,5,3,26,2,10,0,3,1.1538461538461535,13,8,0,3,0,0,0,0,1,0,1,9,13,8,0,3,0,0,0,0,1,0,1,3,20,13,7,0,0,20,0,18,0,3,3,0.0,0,2004-12-24 00:39:08,1103848748,2,7,0,2
2920,6,5,67,4,13,0,35,0.582089552238806,52,4,0,8,0,1,0,1,0,0,1,9,52,4,0,8,0,1,0,1,0,0,1,2,26,12,14,4,0,48,0,28,0,5,1,0.0,0,2004-12-24 00:40:08,1103848808,3,8,1,11
