,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,63,157,352,4,17,0,58,1.9970501474926252,102,20,4,152,20,11,0,1,29,0,0,10,102,20,4,152,20,11,0,1,29,0,0,25,241,223,18,15,13,191,0,113,0,41,18,0.0,0,2001-07-17 00:50:50,995331050,4,14,0,57
1,60,35,355,4,12,0,87,1.4227405247813412,149,20,0,120,29,8,0,13,1,3,0,8,149,20,0,120,29,8,0,13,1,3,0,20,216,174,42,20,12,129,0,136,0,16,0,0.0,0,2001-07-17 01:00:50,995331650,4,12,0,59
2,54,38,397,4,11,0,43,1.798469387755102,61,3,0,299,16,11,1,0,1,0,0,7,61,3,0,299,16,11,1,0,1,0,0,8,326,319,7,15,5,168,11,93,0,32,4,0.10476190476190476,4,2001-07-17 01:10:50,995332250,4,9,0,35
3,67,51,274,4,10,0,39,1.9662921348314608,71,4,0,135,15,29,4,1,0,8,0,8,71,4,0,135,15,29,4,1,0,8,0,20,197,185,12,11,7,100,31,108,0,34,0,0.11313868613138685,3,2001-07-17 01:20:50,995332850,4,9,0,44
4,167,163,419,4,11,0,47,1.861985472154964,73,4,0,264,57,10,4,1,0,0,0,6,73,4,0,264,57,10,4,1,0,0,0,19,327,321,6,20,6,187,26,90,0,24,1,0.06205250596658711,4,2001-07-17 01:30:50,995333450,4,9,0,40
5,129,133,417,4,13,0,17,2.3143564356435644,59,6,0,226,59,25,3,9,8,6,3,9,59,6,0,226,59,25,3,9,8,6,3,27,341,330,11,19,13,191,50,169,0,35,3,0.11990407673860913,7,2001-07-17 01:40:50,995334050,4,11,0,55
6,79,74,423,4,12,0,152,1.3792270531400963,196,4,0,103,94,14,1,0,0,0,2,9,196,4,0,103,94,14,1,0,0,0,2,15,215,187,28,32,9,168,24,147,0,23,1,0.056737588652482275,2,2001-07-17 01:50:50,995334650,4,12,0,81
7,33,32,124,4,14,0,23,2.178861788617886,42,0,1,38,20,12,1,2,2,4,0,11,42,0,1,38,20,12,1,2,2,4,0,14,69,67,2,17,1,57,12,63,0,18,1,0.0967741935483871,2,2001-07-17 02:00:50,995335250,4,8,0,16
8,29,33,121,4,14,0,27,1.8666666666666667,42,5,0,31,19,21,0,0,0,2,0,8,42,5,0,31,19,21,0,0,0,2,0,4,71,60,11,18,1,47,0,45,0,27,0,0.0,0,2001-07-17 02:10:50,995335850,4,9,0,30
9,96,105,256,7,15,0,10,1.901639344262295,31,1,0,196,2,9,1,4,0,0,0,6,31,1,0,196,2,9,1,4,0,0,0,12,208,199,9,14,12,132,17,64,0,15,2,0.06640625,3,2001-07-17 02:20:50,995336450,7,12,0,26
