,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
726,52,35,181,5,14,0,14,1.7374301675977657,20,92,0,34,14,5,9,1,2,0,0,12,20,92,0,34,14,5,9,1,2,0,0,4,144,142,2,17,2,91,1,90,0,12,4,0.0055248618784530384,1,2001-07-19 13:20:50,995548850,5,10,0,28
727,143,137,481,4,12,0,38,1.698717948717949,40,215,0,118,66,10,11,6,1,1,0,8,40,215,0,118,66,10,11,6,1,1,0,2,403,403,0,25,13,217,0,155,0,31,12,0.0,0,2001-07-19 13:25:50,995549150,4,9,0,17
728,138,124,369,6,19,0,7,2.4889502762430937,14,128,0,90,33,31,38,19,7,1,1,9,14,128,0,90,33,31,38,19,7,1,1,4,313,311,2,38,7,169,0,133,0,27,4,0.0,0,2001-07-19 13:30:50,995549450,5,9,0,22
729,174,163,754,5,17,0,50,1.966532797858099,116,265,0,160,96,48,12,25,15,1,9,9,116,265,0,160,96,48,12,25,15,1,9,63,564,564,0,70,7,385,0,238,0,25,9,0.0,0,2001-07-19 13:35:50,995549750,5,12,0,165
730,116,91,518,5,15,0,8,1.8128654970760236,95,219,0,59,80,13,19,12,5,0,11,9,95,219,0,59,80,13,19,12,5,0,11,81,306,303,3,118,5,330,0,157,0,23,13,0.0,0,2001-07-19 13:40:50,995550050,5,8,0,207
731,64,86,765,5,11,0,17,2.21455938697318,31,80,0,72,22,23,16,9,4,2,2,9,31,80,0,72,22,23,16,9,4,2,2,8,194,189,5,42,504,662,0,140,0,16,8,0.0,0,2001-07-19 13:45:50,995550350,4,10,0,23
732,188,299,1658,5,15,0,29,2.581967213114754,86,174,7,210,85,19,91,40,5,1,5,18,86,174,7,210,85,19,91,40,5,1,5,33,592,569,23,78,926,1392,0,319,0,32,53,0.0,0,2001-07-19 13:50:50,995550650,5,8,0,88
733,69,62,252,4,14,0,11,1.9510204081632652,17,109,0,67,21,10,9,5,5,0,0,11,17,109,0,67,21,10,9,5,5,0,0,4,217,215,2,13,7,147,0,145,0,16,4,0.0,0,2001-07-19 13:55:50,995550950,4,9,0,31
734,1850,1377,10558,4,14,0,90,1.940161104718067,336,887,1,2428,454,50,95,49,33,5,1,11,336,887,1,2428,454,50,95,49,33,5,1,220,3901,3881,20,134,6213,8704,0,960,0,65,58,0.0,0,2001-07-19 14:00:50,995551250,4,11,0,454
735,2066,2151,5859,6,14,0,203,1.9560983942603347,549,1117,8,3093,666,224,86,67,27,8,5,11,549,1117,8,3093,666,224,86,67,27,8,5,308,5205,5173,32,138,5,2732,0,1077,0,103,43,0.0,0,2001-07-19 14:05:50,995551550,6,13,0,509
