,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
3230,20,122,566,12,12,0,1,2.962897526501767,12,50,0,37,370,52,37,7,0,1,0,8,12,50,0,37,370,52,37,7,0,1,0,0,537,526,11,28,0,477,2,128,0,14,30,0.00353356890459364,1,2015-06-12 05:55:00,1434088500,8,8,0,25
3231,426,50,1068,6,14,0,0,1.7003745318352061,202,407,0,94,277,67,9,9,2,0,1,9,202,407,0,94,277,67,9,9,2,0,1,2,1062,862,200,4,0,768,10,243,17,10,25,0.009363295880149813,1,2015-06-12 05:56:00,1434088560,5,8,0,27
3232,215,213,771,6,15,0,0,2.4280155642023344,134,108,0,141,180,141,32,31,0,4,0,8,134,108,0,141,180,141,32,31,0,4,0,7,729,625,104,35,0,492,4,229,7,13,64,0.005188067444876783,1,2015-06-12 05:57:00,1434088620,5,9,0,36
3233,151,130,861,6,18,0,16,2.203252032520325,172,179,16,202,155,41,69,15,6,6,0,10,172,179,16,202,155,41,69,15,6,6,0,48,744,665,79,53,0,547,29,227,2,11,22,0.03368176538908246,2,2015-06-12 05:58:00,1434088680,5,9,0,228
3234,37,81,353,7,13,0,0,1.8101983002832864,66,111,0,99,29,11,33,2,1,0,0,15,66,111,0,99,29,11,33,2,1,0,0,14,313,278,35,26,0,243,16,130,0,12,13,0.0453257790368272,2,2015-06-12 05:59:00,1434088740,5,8,0,70
3235,436,346,959,7,13,0,0,3.6944734098018768,87,17,0,32,122,606,43,12,8,1,22,15,87,17,0,32,122,606,43,12,8,1,22,1,953,867,86,5,0,521,23,228,0,34,60,0.023983315954118872,1,2015-06-12 06:00:00,1434088800,4,9,0,30
3236,234,125,554,7,12,0,0,2.4990958408679926,24,118,0,122,194,39,55,0,1,0,0,7,24,118,0,122,194,39,55,0,1,0,0,5,522,506,16,26,1,387,12,160,0,11,6,0.021660649819494584,2,2015-06-12 06:01:00,1434088860,7,10,0,44
3237,79,209,597,7,14,0,0,2.1959798994974875,66,111,2,229,110,33,32,8,1,0,5,10,66,111,2,229,110,33,32,8,1,0,5,4,464,403,61,129,0,234,1,222,1,19,36,0.0016750418760469012,1,2015-06-12 06:02:00,1434088920,6,8,0,33
3238,113,247,755,7,18,0,0,2.304635761589404,63,230,2,252,62,42,50,27,21,1,0,13,63,230,2,252,62,42,50,27,21,1,0,4,638,584,54,113,0,478,5,188,4,15,10,0.006622516556291391,1,2015-06-12 06:03:00,1434088980,6,8,0,90
3239,38,118,371,6,14,0,0,2.035040431266846,26,147,0,137,7,20,2,8,18,5,1,9,26,147,0,137,7,20,2,8,18,5,1,5,332,312,20,34,0,283,10,92,0,6,5,0.026954177897574125,2,2015-06-12 06:04:00,1434089040,5,8,0,6
3240,51,48,271,10,13,0,0,2.2619926199261995,38,99,0,27,62,20,15,2,0,1,1,15,38,99,0,27,62,20,15,2,0,1,1,0,262,225,37,9,0,158,8,98,0,21,6,0.029520295202952032,1,2015-06-12 06:05:00,1434089100,6,9,0,9
3241,30,219,433,8,18,0,0,2.004618937644342,39,121,0,155,74,15,22,4,3,0,0,7,39,121,0,155,74,15,22,4,3,0,0,9,382,352,30,42,0,333,1,78,1,11,32,0.002309468822170901,1,2015-06-12 06:06:00,1434089160,6,10,0,15
3242,55,71,270,8,16,0,0,2.317164179104477,53,68,0,32,40,45,7,19,0,2,0,12,53,68,0,32,40,45,7,19,0,2,0,0,260,208,52,8,2,135,1,92,1,16,47,0.003703703703703704,1,2015-06-12 06:07:00,1434089220,6,9,0,26
3243,47,83,208,6,13,0,0,2.6730769230769234,17,56,0,45,25,29,0,34,1,1,0,8,17,56,0,45,25,29,0,34,1,1,0,1,201,185,16,6,0,109,0,67,0,11,20,0.0,0,2015-06-12 06:08:00,1434089280,5,7,0,20
3244,163,48,295,8,11,0,1,2.4372881355932203,41,19,0,108,95,12,8,6,1,1,0,15,41,19,0,108,95,12,8,6,1,1,0,4,289,253,36,1,0,199,3,73,0,24,47,0.010169491525423728,1,2015-06-12 06:09:00,1434089340,4,7,0,19
3245,61,356,958,10,25,0,0,3.54070981210856,130,223,0,197,169,36,89,1,6,0,0,20,130,223,0,197,169,36,89,1,6,0,0,20,895,785,110,43,0,515,0,136,0,21,11,0.0,0,2015-06-12 06:10:00,1434089400,8,9,0,63
3246,58,199,341,6,18,0,4,2.8058823529411763,20,65,0,85,84,9,39,31,6,1,0,8,20,65,0,85,84,9,39,31,6,1,0,1,303,288,15,32,1,233,2,91,0,13,4,0.0058651026392961885,1,2015-06-12 06:11:00,1434089460,5,9,0,34
3247,24,202,454,6,13,0,0,2.462555066079295,67,33,0,188,42,43,80,0,0,0,0,11,67,33,0,188,42,43,80,0,0,0,0,45,384,363,21,25,0,242,5,78,0,18,65,0.011013215859030838,1,2015-06-12 06:12:00,1434089520,5,8,0,5
