,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,3,3,35,4,19,0,0,1.4814814814814814,6,3,0,17,1,0,0,0,0,0,0,3,6,3,0,17,1,0,0,0,0,0,0,4,21,19,2,2,8,19,0,27,0,2,0,0.0,0,2005-05-23 00:00:09,1116806409,4,6,0,9
1,13,12,72,5,19,0,0,2.4647887323943656,2,46,0,6,1,0,1,0,14,0,0,11,2,46,0,6,1,0,1,0,14,0,0,1,69,68,1,1,1,20,0,21,0,6,0,0.0,0,2005-05-23 00:01:09,1116806469,5,7,0,2
2,14,8,60,5,14,0,0,3.5853658536585367,6,7,0,9,0,2,1,7,7,0,2,9,6,7,0,9,0,2,1,7,7,0,2,3,38,35,3,0,19,39,0,14,0,10,0,0.0,0,2005-05-23 00:02:09,1116806529,5,8,0,3
3,18,10,58,7,14,0,0,3.2105263157894735,2,21,1,10,3,4,6,3,2,0,5,10,2,21,1,10,3,4,6,3,2,0,5,1,51,50,1,5,1,17,0,46,0,5,4,0.0,0,2005-05-23 00:03:09,1116806589,7,8,0,10
4,2,14,33,7,19,0,0,1.9,3,13,0,1,10,3,0,0,0,0,0,4,3,13,0,1,10,3,0,0,0,0,0,1,28,26,2,1,3,20,0,15,0,1,0,0.0,0,2005-05-23 00:04:09,1116806649,5,7,0,3
5,16,7,52,4,7,0,0,1.3653846153846154,9,28,0,12,1,0,0,0,0,2,0,8,9,28,0,12,1,0,0,0,0,2,0,4,43,38,5,5,0,20,0,21,0,1,0,0.0,0,2005-05-23 00:05:09,1116806709,4,6,0,10
6,9,11,37,4,7,0,0,1.8333333333333333,7,9,0,7,9,4,0,0,0,0,0,4,7,9,0,7,9,4,0,0,0,0,0,7,28,28,0,1,1,15,0,13,0,5,1,0.0,0,2005-05-23 00:06:09,1116806769,4,7,0,13
7,18,8,46,17,19,0,0,1.4,6,17,0,21,0,1,0,0,0,0,0,4,6,17,0,21,0,1,0,0,0,0,0,1,36,31,5,8,1,14,0,29,0,1,1,0.0,0,2005-05-23 00:07:09,1116806829,10,10,0,10
8,21,8,76,8,21,0,0,2.9473684210526314,5,16,0,15,29,0,0,1,0,9,0,13,5,16,0,15,29,0,0,1,0,9,0,4,65,64,1,7,0,20,0,25,0,0,0,0.0,0,2005-05-23 00:08:09,1116806889,3,8,0,17
9,52,28,145,7,19,0,0,2.125,28,41,0,30,11,28,0,3,0,0,0,14,28,41,0,30,11,28,0,3,0,0,0,4,114,90,24,26,1,43,0,26,0,1,0,0.0,0,2005-05-23 00:09:09,1116806949,6,6,0,28
