,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
1916,59,18,100,4,10,0,0,1.95,0,28,0,62,4,3,1,0,2,0,0,7,0,28,0,62,4,3,1,0,2,0,0,0,90,90,0,10,0,61,0,42,0,1,0,0.0,0,2005-05-24 07:56:09,1116921369,4,10,0,71
1917,10,45,132,7,19,0,0,0.9696969696969696,66,12,0,50,2,0,2,0,0,0,0,5,66,12,0,50,2,0,2,0,0,0,0,62,61,57,4,9,0,117,0,18,0,6,0,0.0,0,2005-05-24 07:57:09,1116921429,7,7,0,12
1918,16,14,72,4,14,0,0,1.9027777777777777,16,25,0,15,3,3,2,5,3,0,0,7,16,25,0,15,3,3,2,5,3,0,0,6,60,50,10,6,0,24,4,54,0,1,0,0.05555555555555555,1,2005-05-24 07:58:09,1116921489,4,7,0,16
1919,63,28,157,5,19,0,0,2.0576923076923075,10,56,0,53,19,7,3,2,2,3,1,9,10,56,0,53,19,7,3,2,2,3,1,6,130,126,4,20,1,59,5,70,0,5,0,0.03184713375796178,1,2005-05-24 07:59:09,1116921549,5,8,0,23
1920,51,63,181,5,14,0,0,2.0,22,58,2,50,31,8,5,2,2,1,0,10,22,58,2,50,31,8,5,2,2,1,0,8,152,138,14,21,0,80,3,107,0,5,5,0.016574585635359115,1,2005-05-24 08:00:09,1116921609,5,10,0,23
1921,31,35,107,9,19,0,0,2.317757009345794,9,50,1,11,12,6,10,5,0,1,2,10,9,50,1,11,12,6,10,5,0,1,2,2,90,84,6,15,0,51,3,58,0,6,1,0.02803738317757009,1,2005-05-24 08:01:09,1116921669,6,8,0,25
1922,52,62,217,5,15,0,0,2.150837988826816,20,93,0,21,2,12,7,12,9,1,2,9,20,93,0,21,2,12,7,12,9,1,2,0,160,140,20,19,38,96,20,83,0,0,0,0.09216589861751152,2,2005-05-24 08:02:09,1116921729,5,9,0,21
1923,255,187,475,7,19,0,0,2.208421052631579,2,73,2,345,18,11,6,7,1,1,9,10,2,73,2,345,18,11,6,7,1,1,9,2,363,363,0,110,0,97,4,86,0,9,0,0.008421052631578947,1,2005-05-24 08:03:09,1116921789,4,11,0,111
1924,20,20,75,4,17,0,0,3.1466666666666665,5,28,2,19,1,5,5,0,2,0,0,11,5,28,2,19,1,5,5,0,2,0,0,3,51,49,2,21,0,44,2,43,0,5,0,0.02666666666666667,1,2005-05-24 08:04:09,1116921849,4,10,0,65
1925,31,32,110,7,14,0,0,2.5871559633027523,7,37,0,30,16,5,1,6,1,0,0,12,7,37,0,30,16,5,1,6,1,0,0,1,94,88,6,14,1,52,26,84,0,9,2,0.2363636363636364,3,2005-05-24 08:05:09,1116921909,7,8,0,23
