,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
740,7,11,22,6,10,0,0,2.772727272727273,1,4,0,8,1,4,2,2,0,0,0,6,1,4,0,8,1,4,2,2,0,0,0,1,15,15,0,6,0,21,4,15,0,1,1,0.18181818181818185,2,2005-05-23 12:20:09,1116850809,5,8,0,2
741,3,3,15,5,14,0,5,1.8666666666666667,5,4,0,3,1,0,0,1,0,0,1,9,5,4,0,3,1,0,0,1,0,0,1,0,10,10,0,0,0,15,1,8,0,0,0,0.06666666666666668,1,2005-05-23 12:21:09,1116850869,5,8,0,3
742,5,3,21,4,12,0,4,1.25,6,7,0,5,0,2,0,0,0,0,0,4,6,7,0,5,0,2,0,0,0,0,0,1,13,12,1,2,1,17,0,13,0,1,0,0.0,0,2005-05-23 12:22:09,1116850929,4,9,0,4
743,1,0,3,15,14,0,0,3.5,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,3,2,2,0,1,0,0.6666666666666666,2,2005-05-23 12:23:09,1116850989,12,9,0,3
744,0,5,11,9,9,0,0,2.2,3,2,0,0,0,5,0,0,0,0,0,4,3,2,0,0,0,5,0,0,0,0,0,3,2,2,0,5,1,10,2,7,0,0,0,0.18181818181818185,1,2005-05-23 12:24:09,1116851049,6,6,0,20
745,2,4,31,5,9,0,2,0.9666666666666668,21,0,0,5,0,1,3,0,0,0,0,5,21,0,0,5,0,1,3,0,0,0,0,18,9,8,1,1,1,29,3,11,0,0,1,0.0967741935483871,2,2005-05-23 12:25:09,1116851109,5,7,0,1
746,11,1,23,4,7,0,1,1.7727272727272727,3,8,0,2,9,0,0,0,0,0,0,3,3,8,0,2,9,0,0,0,0,0,0,1,16,15,1,4,1,23,0,11,0,0,0,0.0,0,2005-05-23 12:26:09,1116851169,4,6,0,2
747,14,2,45,3,17,0,10,2.268292682926829,10,5,0,12,2,2,10,0,0,0,0,5,10,5,0,12,2,2,10,0,0,0,0,0,28,28,0,3,4,25,2,17,0,0,0,0.04444444444444445,2,2005-05-23 12:27:09,1116851229,3,9,0,9
748,3,2,16,3,9,0,6,1.25,8,1,0,3,3,1,0,0,0,0,0,4,8,1,0,3,3,1,0,0,0,0,0,1,8,7,1,1,0,14,5,16,0,0,0,0.3125,2,2005-05-23 12:28:09,1116851289,3,9,0,13
749,22,10,36,4,18,0,0,3.7714285714285714,1,8,0,15,1,0,0,3,4,0,0,15,1,8,0,15,1,0,0,3,4,0,0,1,34,34,0,0,1,24,3,16,0,0,0,0.08333333333333333,1,2005-05-23 12:29:09,1116851349,4,8,0,3
750,2,19,23,3,11,0,1,3.8695652173913038,2,3,0,9,2,0,0,0,3,0,3,14,2,3,0,9,2,0,0,0,3,0,3,1,20,20,0,1,0,22,3,10,0,0,0,0.125,1,2005-05-23 12:30:09,1116851409,3,6,0,0
751,9,4,24,3,9,0,3,2.4166666666666665,4,4,0,4,7,0,5,0,0,0,0,5,4,4,0,4,7,0,5,0,0,0,0,1,14,14,0,6,0,21,0,17,0,0,0,0.0,0,2005-05-23 12:31:09,1116851469,3,6,0,6
752,6,4,27,5,13,0,0,1.4230769230769231,4,16,0,1,2,2,1,0,0,0,0,5,4,16,0,1,2,2,1,0,0,0,0,3,18,17,1,5,1,21,3,21,0,0,0,0.1111111111111111,2,2005-05-23 12:32:09,1116851529,5,8,0,9
753,6,12,32,7,14,0,2,2.40625,7,6,0,4,9,1,1,2,1,1,0,8,7,6,0,4,9,1,1,2,1,1,0,5,17,17,0,8,0,29,6,25,0,0,0,0.1875,2,2005-05-23 12:33:09,1116851589,5,7,0,11
754,8,7,32,5,13,0,5,2.15625,9,12,2,1,5,0,1,1,0,0,1,10,9,12,2,1,5,0,1,1,0,0,1,4,23,23,0,0,0,26,2,28,0,0,0,0.0625,1,2005-05-23 12:34:09,1116851649,5,10,0,2
755,1,6,18,5,17,0,3,2.2777777777777777,5,6,0,2,2,0,1,1,0,0,0,14,5,6,0,2,2,0,1,1,0,0,0,1,11,10,1,3,0,16,1,18,0,0,0,0.05555555555555555,1,2005-05-23 12:35:09,1116851709,5,9,0,5
756,4,11,20,4,15,0,1,4.05,1,2,0,5,0,0,3,9,0,0,0,6,1,2,0,5,0,0,3,9,0,0,0,0,8,8,0,11,0,20,3,12,0,0,0,0.15,1,2005-05-23 12:36:09,1116851769,4,7,0,3
757,3,5,19,4,9,0,3,1.947368421052632,5,5,0,3,2,0,4,0,0,0,0,5,5,5,0,3,2,0,4,0,0,0,0,2,10,10,0,4,0,16,0,14,0,0,0,0.0,0,2005-05-23 12:37:09,1116851829,4,6,0,3
758,2,4,14,6,9,0,5,1.1538461538461535,5,4,0,3,0,0,1,0,0,0,0,5,5,4,0,3,0,0,1,0,0,0,0,0,6,6,0,2,1,13,1,10,0,0,0,0.07142857142857142,1,2005-05-23 12:38:09,1116851889,5,6,0,2
759,3,5,13,5,9,0,0,3.3846153846153846,1,3,0,1,2,1,4,0,0,0,1,9,1,3,0,1,2,1,4,0,0,0,1,1,10,10,0,2,0,9,0,12,0,0,0,0.0,0,2005-05-23 12:39:09,1116851949,5,6,0,6
760,12,6,28,6,8,0,7,2.1481481481481484,8,3,0,4,4,5,3,0,0,0,0,5,8,3,0,4,4,5,3,0,0,0,0,1,15,15,0,4,1,21,3,15,0,0,0,0.10714285714285714,1,2005-05-23 12:40:09,1116852009,6,6,0,2
761,10,4,30,5,10,0,3,1.8,4,10,0,11,3,0,0,1,1,0,0,7,4,10,0,11,3,0,0,1,1,0,0,0,26,25,1,1,0,23,2,20,0,0,0,0.06666666666666668,1,2005-05-23 12:41:09,1116852069,5,6,0,5
762,12,12,38,5,9,0,6,1.5405405405405406,7,19,0,4,3,2,0,1,1,0,0,7,7,19,0,4,3,2,0,1,1,0,0,1,28,28,0,2,1,26,6,23,0,0,0,0.15789473684210525,2,2005-05-23 12:42:09,1116852129,5,6,0,21
763,3,5,29,6,15,0,14,1.4137931034482758,16,3,0,2,6,0,0,0,0,2,0,8,16,3,0,2,6,0,0,0,0,2,0,0,15,13,2,0,0,22,1,19,0,0,0,0.03448275862068965,1,2005-05-23 12:43:09,1116852189,5,7,0,3
764,19,5,41,7,17,0,1,2.4390243902439024,3,9,0,18,6,1,1,1,0,0,0,11,3,9,0,18,6,1,1,1,0,0,0,1,37,36,1,2,0,28,10,35,0,0,0,0.24390243902439024,2,2005-05-23 12:44:09,1116852249,6,8,0,9
765,4,6,18,6,11,0,1,2.1111111111111107,3,5,0,1,7,0,2,0,0,0,0,5,3,5,0,1,7,0,2,0,0,0,0,1,10,10,0,6,0,15,6,15,0,0,0,0.3333333333333333,3,2005-05-23 12:45:09,1116852309,5,8,0,3
766,4,7,30,4,11,0,9,1.2666666666666666,12,5,0,9,1,3,0,0,0,0,0,4,12,5,0,9,1,3,0,0,0,0,0,1,17,15,2,3,0,24,1,17,0,0,0,0.03333333333333333,1,2005-05-23 12:46:09,1116852369,4,8,0,2
767,13,4,45,6,12,0,7,1.8666666666666667,13,15,0,5,7,0,0,1,0,4,0,8,13,15,0,5,7,0,0,1,0,4,0,5,30,29,1,3,0,34,3,19,0,0,0,0.06666666666666668,1,2005-05-23 12:47:09,1116852429,6,9,0,2
768,4,6,28,4,10,0,6,1.0,10,11,0,4,1,0,1,0,0,0,0,5,10,11,0,4,1,0,1,0,0,0,0,3,15,14,1,3,1,23,1,17,0,1,1,0.03571428571428571,1,2005-05-23 12:48:09,1116852489,4,7,0,6
769,4,14,28,6,16,0,4,2.392857142857143,5,6,0,2,9,3,0,3,0,0,0,6,5,6,0,2,9,3,0,3,0,0,0,0,23,22,1,1,0,27,1,22,0,1,0,0.03571428571428571,1,2005-05-23 12:49:09,1116852549,6,10,0,3
770,0,2,31,5,16,0,18,0.5517241379310345,21,2,0,4,2,0,0,0,0,0,0,3,21,2,0,4,2,0,0,0,0,0,0,1,8,6,2,2,2,31,1,23,0,0,0,0.03225806451612903,1,2005-05-23 12:50:09,1116852609,5,7,0,4
771,5,4,25,5,14,0,2,1.88,3,15,1,2,3,0,0,0,0,0,1,10,3,15,1,2,3,0,0,0,0,0,1,1,18,18,0,4,0,22,6,16,0,0,0,0.24,2,2005-05-23 12:51:09,1116852669,5,8,0,3
772,3,4,23,3,8,0,2,1.5217391304347827,3,11,0,4,4,1,0,0,0,0,0,4,3,11,0,4,4,1,0,0,0,0,0,1,12,12,0,8,0,21,1,15,0,0,0,0.043478260869565216,1,2005-05-23 12:52:09,1116852729,3,8,0,6
773,5,6,29,5,8,0,5,1.6071428571428572,5,10,0,9,2,0,1,1,0,0,0,6,5,10,0,9,2,0,1,1,0,0,0,0,19,19,0,4,1,23,5,23,0,0,0,0.1724137931034483,2,2005-05-23 12:53:09,1116852789,5,8,0,2
774,7,4,28,4,10,0,2,1.4074074074074074,7,11,0,6,1,0,1,0,1,0,0,7,7,11,0,6,1,0,1,0,1,0,0,3,21,19,2,1,1,25,1,19,0,0,0,0.03571428571428571,1,2005-05-23 12:54:09,1116852849,4,6,0,5
775,5,2,10,5,6,0,1,1.4,1,6,0,2,0,1,0,0,0,0,0,4,1,6,0,2,0,1,0,0,0,0,0,0,8,8,0,1,0,9,0,8,0,0,0,0.0,0,2005-05-23 12:55:09,1116852909,5,6,0,2
776,3,5,14,3,8,0,0,2.071428571428572,1,7,0,2,0,2,2,0,0,0,0,5,1,7,0,2,0,2,2,0,0,0,0,1,11,11,0,2,0,13,0,13,0,0,2,0.0,0,2005-05-23 12:56:09,1116852969,3,7,0,0
777,51,1,68,3,18,0,0,1.5735294117647058,1,57,0,6,0,0,0,0,2,0,1,15,1,57,0,6,0,0,0,0,2,0,1,0,67,66,1,1,0,66,2,18,0,0,2,0.029411764705882356,1,2005-05-23 12:57:09,1116853029,3,8,0,17
778,9,50,101,6,16,0,8,1.08,30,57,0,6,1,3,0,0,1,1,1,9,30,57,0,6,1,3,0,0,1,1,1,20,72,70,2,0,1,89,1,30,0,0,1,0.0099009900990099,1,2005-05-23 12:58:09,1116853089,6,7,0,1
779,0,7,12,4,8,0,2,1.8333333333333333,5,0,0,5,1,0,0,0,0,0,1,9,5,0,0,5,1,0,0,0,0,0,1,1,9,7,2,0,0,11,0,8,0,1,1,0.0,0,2005-05-23 12:59:09,1116853149,4,6,0,1
780,10,3,23,5,17,0,0,2.272727272727273,2,6,0,10,1,1,0,0,0,1,1,9,2,6,0,10,1,1,0,0,0,1,1,1,19,19,0,2,1,23,4,15,0,0,0,0.17391304347826084,2,2005-05-23 13:00:09,1116853209,5,7,0,0
781,5,3,40,5,17,0,20,0.775,23,9,0,6,0,1,0,1,0,0,0,6,23,9,0,6,0,1,0,1,0,0,0,0,19,16,3,1,0,39,4,17,0,0,0,0.1,2,2005-05-23 13:01:09,1116853269,5,8,0,6
