,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
3955,10,7,30,4,9,0,0,2.1333333333333333,7,11,0,4,1,1,0,4,2,0,0,7,7,11,0,4,1,1,0,4,2,0,0,5,20,18,2,5,0,25,0,18,0,0,0,0.0,0,2001-04-06 16:12:07,986573527,4,4,0,8
3956,11,15,35,3,9,0,8,1.5714285714285714,9,11,0,5,8,0,2,0,0,0,0,5,9,11,0,5,8,0,2,0,0,0,0,1,16,16,0,10,0,30,0,14,0,3,0,0.0,0,2001-04-06 16:13:07,986573587,3,6,0,7
3957,31,21,61,2,9,0,2,2.8666666666666667,7,15,0,9,3,0,26,0,0,0,0,5,7,15,0,9,3,0,26,0,0,0,0,4,50,49,1,4,1,56,0,21,1,4,9,0.0,0,2001-04-06 16:14:07,986573647,2,5,0,5
3958,23,24,67,5,16,0,8,2.6417910447761197,17,10,0,7,9,1,21,0,0,1,1,9,17,10,0,7,9,1,21,0,0,1,1,7,44,42,2,8,0,63,0,27,0,4,0,0.0,0,2001-04-06 16:15:07,986573707,4,8,0,31
3959,18,13,77,6,12,0,1,0.9480519480519479,45,10,0,10,10,0,1,0,0,1,0,8,45,10,0,10,10,0,1,0,0,1,0,44,31,31,0,1,0,76,0,13,0,4,0,0.0,0,2001-04-06 16:16:07,986573767,4,6,0,51
3960,10,8,29,13,14,0,4,2.1379310344827585,10,2,1,12,0,2,0,0,0,0,2,10,10,2,1,12,0,2,0,0,0,0,2,4,16,14,2,5,0,24,2,17,0,4,0,0.06896551724137931,2,2001-04-06 16:17:07,986573827,7,8,0,53
3961,35,12,51,5,14,0,2,2.764705882352941,3,3,0,30,8,1,0,0,0,4,2,9,3,3,0,30,8,1,0,0,0,4,2,1,40,40,0,8,0,47,0,22,0,1,0,0.0,0,2001-04-06 16:18:07,986573887,5,8,0,3
3962,14,4,47,4,10,0,0,1.5957446808510638,12,19,0,2,4,10,0,0,0,0,0,4,12,19,0,2,4,10,0,0,0,0,0,2,33,32,1,12,0,45,2,18,0,1,1,0.0425531914893617,1,2001-04-06 16:19:07,986573947,3,7,0,19
3963,11,16,78,3,10,0,11,1.2692307692307692,22,40,0,5,0,8,1,2,0,0,0,6,22,40,0,5,0,8,1,2,0,0,0,9,53,53,0,5,0,70,0,30,0,3,1,0.0,0,2001-04-06 16:20:07,986574007,3,8,0,27
3964,10,9,28,10,11,0,6,3.4642857142857144,7,4,0,3,1,5,0,0,0,8,0,8,7,4,0,3,1,5,0,0,0,8,0,1,19,19,0,2,0,24,0,14,0,2,1,0.0,0,2001-04-06 16:21:07,986574067,4,9,0,4
3965,23,14,62,6,11,0,0,2.7096774193548385,15,16,0,9,5,4,0,0,1,12,0,8,15,16,0,9,5,4,0,0,1,12,0,8,39,34,5,15,0,48,1,27,0,2,1,0.016129032258064516,1,2001-04-06 16:22:07,986574127,4,8,0,26
3966,8,4,18,5,8,0,0,1.2941176470588236,1,13,0,0,3,0,0,0,0,0,0,3,1,13,0,0,3,0,0,0,0,0,0,0,11,10,1,6,1,18,2,12,0,2,0,0.1111111111111111,2,2001-04-06 16:23:07,986574187,5,5,0,15
3967,12,5,23,4,10,0,1,1.0434782608695652,6,13,0,1,3,0,0,0,0,0,0,3,6,13,0,1,3,0,0,0,0,0,0,5,7,7,0,10,0,21,1,15,0,2,0,0.043478260869565216,1,2001-04-06 16:24:07,986574247,4,6,0,23
3968,10,9,22,4,7,0,0,2.363636363636364,1,9,0,3,0,8,1,0,0,0,0,5,1,9,0,3,0,8,1,0,0,0,0,1,16,16,0,5,0,17,1,13,0,2,0,0.045454545454545456,1,2001-04-06 16:25:07,986574307,4,6,0,11
3969,6,13,26,3,8,0,7,2.730769230769231,7,5,0,3,1,0,3,7,0,0,0,6,7,5,0,3,1,0,3,7,0,0,0,0,14,14,0,5,0,18,0,10,0,1,3,0.0,0,2001-04-06 16:26:07,986574367,3,5,0,15
3970,7,4,14,4,5,0,0,1.2142857142857142,1,9,0,4,0,0,0,0,0,0,0,2,1,9,0,4,0,0,0,0,0,0,0,1,13,13,0,0,0,14,0,4,0,2,0,0.0,0,2001-04-06 16:27:07,986574427,4,5,0,25
3971,11,18,30,7,8,0,0,2.1379310344827585,0,10,0,12,4,1,0,2,0,0,0,6,0,10,0,12,4,1,0,2,0,0,0,0,23,23,0,6,1,22,0,11,0,3,2,0.0,0,2001-04-06 16:28:07,986574487,4,6,0,5
3972,27,23,90,4,11,0,8,1.7471264367816093,37,6,0,18,8,9,6,1,2,0,0,7,37,6,0,18,8,9,6,1,2,0,0,28,26,26,0,25,3,77,4,34,0,6,1,0.04444444444444445,1,2001-04-06 16:29:07,986574547,4,8,0,34
3973,5,21,35,3,8,0,4,2.257142857142857,7,7,0,8,2,5,6,0,0,0,0,5,7,7,0,8,2,5,6,0,0,0,0,3,22,22,0,6,0,35,1,16,0,1,0,0.028571428571428567,1,2001-04-06 16:30:07,986574607,3,5,0,2
3974,6,2,17,8,10,0,6,1.4117647058823528,7,5,0,0,3,1,0,1,0,0,0,6,7,5,0,0,3,1,0,1,0,0,0,1,6,6,0,4,0,17,0,13,0,1,0,0.0,0,2001-04-06 16:31:07,986574667,4,7,0,13
3975,17,29,55,4,8,0,2,3.4727272727272727,8,4,0,2,5,14,20,2,0,0,0,6,8,4,0,2,5,14,20,2,0,0,0,5,45,44,1,3,0,53,2,17,0,3,1,0.03636363636363636,2,2001-04-06 16:32:07,986574727,4,6,0,8
