,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
3463,2,14,74,3,8,0,9,0.7297297297297297,43,24,0,0,5,0,0,0,1,1,0,8,43,24,0,0,5,0,0,0,1,1,0,34,22,22,0,9,0,60,2,15,0,1,0,0.027027027027027032,2,2001-10-07 05:56:18,1002434178,3,6,0,8
3464,10,6,29,6,12,0,1,1.7586206896551724,11,6,0,6,0,3,0,1,1,1,0,8,11,6,0,6,0,3,0,1,1,1,0,7,19,17,2,2,0,27,2,23,0,0,0,0.06896551724137931,1,2001-10-07 05:57:18,1002434238,6,7,3,3
3465,1,12,24,8,8,0,1,0.8333333333333334,10,8,0,6,0,0,0,0,0,0,0,2,10,8,0,6,0,0,0,0,0,0,0,9,11,11,0,3,0,23,0,15,0,0,0,0.0,0,2001-10-07 05:58:18,1002434298,3,6,0,4
3466,2,0,27,3,5,0,10,0.4074074074074074,16,11,0,0,0,0,0,0,0,0,0,1,16,11,0,0,0,0,0,0,0,0,0,5,12,11,1,0,0,24,0,11,0,1,0,0.0,0,2001-10-07 05:59:18,1002434358,3,4,0,3
3467,0,6,12,3,6,0,4,1.1666666666666667,6,2,0,0,4,0,0,0,0,0,0,3,6,2,0,0,4,0,0,0,0,0,0,1,7,6,1,0,0,12,0,7,0,2,0,0.0,0,2001-10-07 06:00:18,1002434418,3,5,0,5
3468,14,2,23,3,8,0,4,2.1739130434782608,7,5,0,0,0,10,1,0,0,0,0,5,7,5,0,0,0,10,1,0,0,0,0,3,16,16,0,0,0,22,0,13,0,1,0,0.0,0,2001-10-07 06:01:18,1002434478,3,7,0,3
3469,4,25,35,7,11,0,2,1.5142857142857142,5,22,0,4,0,0,3,0,0,1,0,8,5,22,0,4,0,0,3,0,0,1,0,3,8,8,0,22,0,35,0,11,0,2,1,0.0,0,2001-10-07 06:02:18,1002434538,7,7,0,3
3470,45,3,52,6,9,0,0,3.0192307692307687,1,14,0,2,1,34,0,0,0,0,0,4,1,14,0,2,1,34,0,0,0,0,0,0,48,47,1,4,0,50,0,14,0,1,0,0.0,0,2001-10-07 06:03:18,1002434598,6,6,0,2
3471,18,8,44,3,8,0,8,0.9545454545454546,17,18,0,3,6,0,0,0,0,0,0,3,17,18,0,3,6,0,0,0,0,0,0,7,29,27,2,0,0,43,1,18,0,5,0,0.022727272727272728,1,2001-10-07 06:04:18,1002434658,3,5,1,13
3472,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-07 06:05:18,1002434718,0,0,0,0
3473,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-07 06:06:18,1002434778,0,0,0,0
3474,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-07 06:07:18,1002434838,0,0,0,0
3475,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-07 06:08:18,1002434898,0,0,0,0
3476,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-07 06:09:18,1002434958,0,0,0,0
