,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
59,121,93,834,5,23,0,529,0.7911164465786314,539,59,0,167,51,4,9,0,0,2,0,20,539,59,0,167,51,4,9,0,0,2,0,4,262,258,4,38,1,134,167,477,0,31,0,0.2002398081534772,3,2004-12-22 04:55:08,1103691308,5,11,0,50
60,133,126,987,6,13,0,490,0.8601823708206687,557,182,0,176,29,17,10,8,5,2,0,11,557,182,0,176,29,17,10,8,5,2,0,1,410,344,66,86,0,147,118,414,0,42,0,0.11955420466058765,4,2004-12-22 05:00:08,1103691608,6,8,0,72
61,38,48,433,4,8,0,240,0.8060046189376443,257,65,0,83,10,7,8,2,0,1,0,8,257,65,0,83,10,7,8,2,0,1,0,9,150,142,8,34,0,67,61,296,0,16,2,0.14087759815242495,4,2004-12-22 05:05:08,1103691908,4,8,0,42
62,74,58,648,9,16,0,402,0.7566718995290423,436,72,0,85,8,10,8,6,7,3,0,14,436,72,0,85,8,10,8,6,7,3,0,6,206,178,28,23,11,71,69,349,0,8,4,0.10648148148148147,3,2004-12-22 05:10:08,1103692208,6,8,0,36
63,143,127,1123,9,13,0,547,1.3642030276046304,595,161,0,213,29,30,14,3,6,40,32,9,595,161,0,213,29,30,14,3,6,40,32,1,522,475,47,53,0,233,152,357,0,20,0,0.13535173642030274,4,2004-12-22 05:15:08,1103692508,4,9,0,53
64,47,56,638,5,9,0,341,0.814756671899529,384,69,0,143,22,5,6,8,0,0,0,6,384,69,0,143,22,5,6,8,0,0,0,4,269,230,39,23,1,164,59,268,0,96,0,0.09247648902821316,2,2004-12-22 05:20:08,1103692808,5,7,0,21
65,77,47,661,3,15,0,413,0.8300455235204856,429,84,1,75,15,29,19,2,5,0,0,10,429,84,1,75,15,29,19,2,5,0,0,2,205,191,14,39,2,78,36,325,0,42,2,0.05446293494704992,2,2004-12-22 05:25:08,1103693108,3,8,0,50
66,57,73,738,3,13,0,423,0.923809523809524,446,159,2,47,22,11,23,13,5,3,0,11,446,159,2,47,22,11,23,13,5,3,0,4,286,267,19,22,3,118,108,407,0,58,2,0.14634146341463414,3,2004-12-22 05:30:08,1103693408,3,9,0,25
67,146,94,976,5,12,0,499,1.0718685831622177,549,147,2,140,59,27,4,31,14,1,0,10,549,147,2,140,59,27,4,31,14,1,0,7,416,373,43,52,2,147,72,351,0,56,2,0.07377049180327869,3,2004-12-22 05:35:08,1103693708,5,8,0,60
68,119,154,1125,4,15,0,624,0.9279359430604982,681,170,0,132,23,84,12,14,4,4,0,8,681,170,0,132,23,84,12,14,4,4,0,14,392,349,43,94,1,210,153,379,0,78,6,0.136,5,2004-12-22 05:40:08,1103694008,4,8,0,128
69,142,104,1890,4,15,0,1279,0.4994692144373673,1359,179,0,301,34,3,4,3,0,1,0,8,1359,179,0,301,34,3,4,3,0,1,0,43,440,403,37,122,6,154,54,391,0,36,0,0.028571428571428567,2,2004-12-22 05:45:08,1103694308,4,8,0,176
70,111,110,1165,6,14,0,773,0.6511627906976745,826,129,0,105,52,18,9,14,5,2,1,9,826,129,0,105,52,18,9,14,5,2,1,10,317,274,43,61,4,119,28,761,0,38,0,0.0240343347639485,2,2004-12-22 05:50:08,1103694608,6,9,0,60
71,117,106,828,6,15,0,429,0.9101941747572816,521,109,0,114,26,13,8,18,5,5,0,13,521,109,0,114,26,13,8,18,5,5,0,8,325,241,84,62,4,99,43,502,0,19,0,0.051932367149758456,2,2004-12-22 05:55:08,1103694908,6,9,0,53
72,430,247,2178,3,19,0,1070,0.9356530028598664,1132,387,1,397,93,30,24,19,6,3,1,16,1132,387,1,397,93,30,24,19,6,3,1,16,907,861,46,105,80,295,178,998,0,20,0,0.08172635445362718,2,2004-12-22 06:00:08,1103695208,3,10,0,175
73,397,243,2627,4,14,0,1653,0.6535769828926905,1706,396,4,304,104,10,12,29,5,2,0,10,1706,396,4,304,104,10,12,29,5,2,0,9,686,642,44,224,55,267,155,833,0,66,7,0.05900266463646745,2,2004-12-22 06:05:08,1103695508,4,11,0,336
74,134,229,1495,8,16,0,910,0.7224080267558528,956,244,0,179,48,28,26,8,4,2,0,8,956,244,0,179,48,28,26,8,4,2,0,7,512,473,39,66,0,368,86,686,0,89,10,0.057525083612040125,2,2004-12-22 06:10:08,1103695808,3,9,0,60
75,172,138,2201,7,16,0,953,0.7387551113130395,1127,767,1,212,35,11,32,13,0,0,0,14,1127,767,1,212,35,11,32,13,0,0,0,25,1031,890,141,192,0,265,70,502,0,41,0,0.031803725579282134,2,2004-12-22 06:15:08,1103696108,7,8,0,224
76,669,546,3472,6,16,0,1670,0.9274193548387096,1743,874,1,582,154,24,30,31,23,1,2,14,1743,874,1,582,154,24,30,31,23,1,2,27,1603,1558,45,172,0,427,93,1044,0,35,0,0.026785714285714284,3,2004-12-22 06:20:08,1103696408,5,9,0,230
77,167,170,1211,7,17,0,706,0.7854183927091963,775,231,0,89,63,18,9,3,0,0,7,14,775,231,0,89,63,18,9,3,0,0,7,31,437,399,38,33,4,190,80,480,0,65,24,0.06606110652353428,3,2004-12-22 06:25:08,1103696708,5,9,0,57
78,316,357,2346,3,17,0,1302,0.8673773987206823,1354,429,5,361,106,28,20,25,2,8,1,11,1354,429,5,361,106,28,20,25,2,8,1,5,965,918,47,73,1,260,62,1060,0,83,22,0.02642796248934356,2,2004-12-22 06:30:08,1103697008,3,14,0,73
79,184,87,1059,8,10,0,528,0.6921624173748819,604,275,0,145,11,1,7,16,0,0,0,6,604,275,0,145,11,1,7,16,0,0,0,47,465,436,29,19,0,240,25,368,0,2,0,0.023607176581680836,2,2004-12-22 06:35:08,1103697308,5,7,0,124
80,106,211,1113,5,15,0,573,0.9011680143755616,638,184,4,202,33,18,21,3,4,3,2,11,638,184,4,202,33,18,21,3,4,3,2,5,425,381,44,110,0,227,35,530,0,138,39,0.031446540880503145,2,2004-12-22 06:40:08,1103697608,5,12,0,49
81,148,110,1889,4,19,0,1349,0.6823716251985177,1385,167,0,244,34,12,19,0,0,2,0,16,1385,167,0,244,34,12,19,0,0,2,0,9,477,450,27,54,0,168,129,561,0,56,4,0.06829010058231869,4,2004-12-22 06:45:08,1103697908,4,10,0,72
82,133,116,1120,4,19,0,728,1.1991071428571431,778,121,0,106,21,24,11,2,0,4,0,16,778,121,0,106,21,24,11,2,0,4,0,24,338,312,26,30,0,94,72,517,0,46,0,0.06428571428571428,2,2004-12-22 06:50:08,1103698208,4,13,0,66
83,188,144,1354,3,19,0,905,0.7514792899408284,932,189,1,129,32,5,20,25,8,3,0,16,932,189,1,129,32,5,20,25,8,3,0,2,377,352,25,68,2,163,51,578,0,15,0,0.03766617429837518,3,2004-12-22 06:55:08,1103698508,3,12,0,77
84,157,72,1131,16,16,0,614,0.8237378210806023,673,203,0,164,39,9,23,9,3,4,0,12,673,203,0,164,39,9,23,9,3,4,0,5,450,396,54,60,2,200,68,516,0,64,2,0.0601237842617153,2,2004-12-22 07:00:08,1103698808,7,8,0,91
85,126,167,1044,10,17,0,593,0.8754789272030651,607,154,1,216,18,2,39,2,0,2,1,12,607,154,1,216,18,2,39,2,0,2,1,8,368,362,6,75,0,169,38,443,0,44,4,0.036398467432950186,2,2004-12-22 07:05:08,1103699108,5,8,0,59
