,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,28,121,243,5,13,0,13,1.7587719298245614,40,34,0,132,5,6,4,5,2,0,0,7,40,34,0,132,5,6,4,5,2,0,0,25,188,186,2,2,15,192,0,69,0,17,2,0.0,0,2001-07-17 00:50:50,995331050,5,10,0,48
1,34,39,197,5,14,0,8,1.900523560209424,50,29,0,63,18,15,2,14,0,0,0,6,50,29,0,63,18,15,2,14,0,0,0,39,135,132,3,9,6,107,0,94,0,23,13,0.0,0,2001-07-17 00:55:50,995331350,5,12,0,54
2,63,31,255,5,13,0,22,2.012396694214876,52,64,0,56,20,20,9,21,0,0,0,6,52,64,0,56,20,20,9,21,0,0,0,27,187,186,1,6,13,146,0,102,0,14,20,0.0,0,2001-07-17 01:00:50,995331650,5,12,0,92
3,59,32,223,6,14,0,9,1.4976744186046511,66,80,0,38,6,3,9,0,13,0,0,7,66,80,0,38,6,3,9,0,13,0,0,48,148,141,7,10,8,149,0,79,0,5,0,0.0,0,2001-07-17 01:05:50,995331950,6,8,0,22
4,37,47,172,4,11,0,10,1.8376623376623376,14,36,0,79,19,2,1,2,1,0,0,7,14,36,0,79,19,2,1,2,1,0,0,4,130,130,0,10,18,88,14,90,0,13,2,0.15384615384615385,4,2001-07-17 01:10:50,995332250,4,8,0,21
5,21,11,102,3,14,0,6,1.24,28,41,0,20,6,3,0,1,1,0,0,7,28,41,0,20,6,3,0,1,1,0,0,15,73,70,3,6,2,69,25,52,0,10,6,0.24509803921568624,3,2001-07-17 01:15:50,995332550,3,9,0,22
6,46,41,191,4,10,0,9,1.5706214689265536,48,39,0,58,20,4,1,7,0,0,0,6,48,39,0,58,20,4,1,7,0,0,0,35,125,123,2,8,14,108,21,85,0,21,0,0.1099476439790576,2,2001-07-17 01:20:50,995332850,4,8,0,62
7,28,31,156,4,14,0,13,1.6326530612244898,47,32,0,48,5,2,5,0,0,8,0,8,47,32,0,48,5,2,5,0,0,8,0,32,90,88,2,12,9,85,18,70,0,9,0,0.1153846153846154,2,2001-07-17 01:25:50,995333150,4,8,0,57
8,64,48,243,4,12,0,41,1.3264462809917354,81,102,0,12,15,24,2,2,1,2,1,9,81,102,0,12,15,24,2,2,1,2,1,38,130,128,2,33,1,125,22,77,0,9,0,0.09053497942386833,2,2001-07-17 01:30:50,995333450,4,9,0,48
9,196,143,453,13,14,0,6,1.7772727272727271,89,54,2,248,19,14,0,0,13,1,0,10,89,54,2,248,19,14,0,0,13,1,0,78,328,326,2,28,13,324,25,74,0,15,1,0.05518763796909492,3,2001-07-17 01:35:50,995333750,7,7,0,105
10,93,59,306,8,14,0,24,1.7722772277227723,52,103,0,77,37,10,19,3,0,2,0,8,52,103,0,77,37,10,19,3,0,2,0,22,236,230,6,21,3,139,28,105,0,15,17,0.0915032679738562,3,2001-07-17 01:40:50,995334050,6,9,0,43
11,142,97,415,5,14,0,89,2.5970873786407767,151,21,0,85,22,30,46,5,14,25,4,11,151,21,0,85,22,30,46,5,14,25,4,45,229,212,17,49,3,210,30,118,0,24,19,0.07228915662650602,2,2001-07-17 01:45:50,995334350,3,8,0,103
12,116,245,995,4,17,0,87,1.6338028169014085,114,577,0,120,119,15,24,4,2,3,2,15,114,577,0,120,119,15,24,4,2,3,2,21,845,840,5,41,1,459,33,131,0,39,16,0.033165829145728645,3,2001-07-17 01:50:50,995334650,4,10,0,64
13,39,32,163,5,13,0,19,1.7055214723926384,47,45,0,29,21,12,2,1,0,6,0,8,47,45,0,29,21,12,2,1,0,6,0,21,104,99,5,19,0,87,7,71,0,17,7,0.04294478527607362,2,2001-07-17 01:55:50,995334950,3,12,0,57
14,19,24,99,3,15,0,14,1.350515463917526,29,33,0,21,8,2,3,0,0,0,1,9,29,33,0,21,8,2,3,0,0,0,1,13,68,66,2,2,2,61,10,55,0,6,1,0.101010101010101,2,2001-07-17 02:00:50,995335250,3,8,0,11
15,34,26,143,8,14,0,6,1.283687943262411,43,48,0,30,13,4,0,3,0,0,0,6,43,48,0,30,13,4,0,3,0,0,0,33,91,90,1,11,2,89,26,72,0,6,0,0.18181818181818185,3,2001-07-17 02:05:50,995335550,8,8,0,46
16,23,44,126,7,14,0,9,1.9495798319327733,29,32,0,32,7,3,4,1,11,0,0,7,29,32,0,32,7,3,4,1,11,0,0,19,73,73,0,18,7,91,8,56,0,17,1,0.06349206349206349,2,2001-07-17 02:10:50,995335850,7,7,0,34
17,66,45,297,4,14,0,45,1.345890410958904,105,109,5,41,22,1,0,2,0,1,2,11,105,109,5,41,22,1,0,2,0,1,2,47,180,167,13,20,5,128,7,84,0,28,26,0.02356902356902357,2,2001-07-17 02:15:50,995336150,4,9,0,60
18,107,124,444,6,14,0,64,1.2397260273972603,188,20,0,204,15,1,2,0,8,0,0,7,188,20,0,204,15,1,2,0,8,0,0,122,241,241,0,11,6,254,20,86,0,16,1,0.045045045045045036,2,2001-07-17 02:20:50,995336450,6,8,0,129
19,30,22,117,5,13,0,13,1.3965517241379308,28,51,0,18,10,5,2,0,1,1,0,8,28,51,0,18,10,5,2,0,1,1,0,13,79,78,1,11,1,80,14,75,0,2,3,0.11965811965811965,2,2001-07-17 02:25:50,995336750,5,12,0,29
