,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
169,25,109,262,6,21,0,57,1.9007633587786261,107,39,9,24,55,17,4,1,0,0,2,11,107,39,9,24,55,17,4,1,0,0,2,29,142,121,21,34,0,156,2,118,0,17,4,0.0076335877862595426,1,2001-07-18 05:00:50,995432450,6,9,0,30
170,128,127,493,6,14,0,111,1.9208924949290058,221,3,6,45,178,23,1,0,0,4,2,14,221,3,6,45,178,23,1,0,0,4,2,12,353,255,98,17,0,125,4,202,0,23,0,0.008113590263691683,2,2001-07-18 05:10:50,995433050,5,8,0,32
171,165,209,635,5,21,0,25,2.525984251968504,161,111,0,91,102,56,14,73,2,4,2,11,161,111,0,91,102,56,14,73,2,4,2,117,386,371,15,107,0,413,2,168,0,26,1,0.0031496062992125984,1,2001-07-18 05:20:50,995433650,5,9,0,90
172,62,58,184,8,12,0,35,2.2841530054644807,44,2,6,64,47,16,3,0,0,1,0,10,44,2,6,64,47,16,3,0,0,1,0,3,113,107,6,32,1,142,7,79,2,12,5,0.03804347826086957,2,2001-07-18 05:30:50,995434250,6,8,0,55
173,80,68,385,8,15,0,69,1.6370967741935485,222,7,1,35,17,11,72,2,0,0,2,13,222,7,1,35,17,11,72,2,0,0,2,23,172,99,73,108,13,185,11,86,3,17,3,0.028571428571428567,1,2001-07-18 05:40:50,995434850,8,10,0,151
174,53,63,181,5,17,0,14,2.1988950276243093,56,10,1,58,28,10,6,4,1,0,2,13,56,10,1,58,28,10,6,4,1,0,2,18,128,105,23,21,0,85,3,84,0,22,1,0.016574585635359115,2,2001-07-18 05:50:50,995435450,5,8,0,19
175,33,34,175,7,21,0,39,1.722543352601156,94,7,0,17,23,15,4,4,0,3,3,11,94,7,0,17,23,15,4,4,0,3,3,35,85,68,17,14,2,84,13,92,0,9,0,0.07428571428571429,3,2001-07-18 06:00:50,995436050,4,10,0,55
176,66,55,225,8,21,0,33,2.0669642857142856,69,4,0,61,62,18,5,0,0,1,0,13,69,4,0,61,62,18,5,0,0,1,0,16,163,145,18,12,1,104,5,111,0,19,2,0.022222222222222227,2,2001-07-18 06:10:50,995436650,7,9,0,45
177,173,98,904,5,14,0,23,1.8776418242491657,151,7,0,674,22,16,3,13,0,11,0,11,151,7,0,674,22,16,3,13,0,11,0,18,836,728,108,22,5,564,45,97,0,102,0,0.0497787610619469,2,2001-07-18 06:20:50,995437250,5,9,0,41
178,30,143,548,6,13,0,20,1.7221206581352833,130,5,3,371,11,19,4,2,0,0,0,12,130,5,3,371,11,19,4,2,0,0,0,15,494,401,93,18,1,392,7,70,0,87,8,0.012773722627737226,1,2001-07-18 06:30:50,995437850,5,9,0,32
