,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
663,187,112,380,3,12,0,0,1.823684210526316,11,231,1,36,37,56,6,0,1,1,0,10,11,231,1,36,37,56,6,0,1,1,0,2,362,355,7,16,0,221,7,102,0,15,1,0.018421052631578942,2,2011-03-11 07:15:03,1299827703,3,7,0,74
664,732,80,1005,6,20,0,0,3.171144278606965,121,111,0,51,15,670,6,10,10,10,1,9,121,111,0,51,15,670,6,10,10,10,1,87,881,848,33,37,0,925,5,147,0,29,10,0.0049751243781094535,1,2011-03-11 07:20:03,1299828003,3,8,0,277
665,177,107,447,7,13,0,0,1.204035874439462,36,356,0,34,8,3,2,0,3,2,0,15,36,356,0,34,8,3,2,0,3,2,0,8,408,380,28,30,1,321,7,81,0,6,2,0.015659955257270694,1,2011-03-11 07:25:03,1299828303,6,7,0,33
666,70,205,387,8,13,0,0,2.135064935064935,34,127,0,97,60,27,34,1,3,2,0,8,34,127,0,97,60,27,34,1,3,2,0,32,332,330,2,21,2,292,16,119,0,7,17,0.041343669250646004,2,2011-03-11 07:30:03,1299828603,8,8,0,13
667,87,63,306,8,9,0,0,1.4703947368421053,7,212,0,56,5,16,7,0,0,0,1,9,7,212,0,56,5,16,7,0,0,0,1,3,276,272,4,25,2,224,4,72,0,7,1,0.013071895424836602,1,2011-03-11 07:35:03,1299828903,6,7,0,30
668,155,61,434,6,23,0,0,1.3917050691244242,34,277,2,97,3,8,12,0,0,0,0,12,34,277,2,97,3,8,12,0,0,0,0,5,414,385,29,15,0,341,19,125,0,16,4,0.04377880184331797,2,2011-03-11 07:40:03,1299829203,6,8,0,46
669,110,171,407,4,12,0,0,1.4753694581280787,18,268,2,90,3,14,5,1,5,0,0,10,18,268,2,90,3,14,5,1,5,0,0,8,373,363,10,25,1,285,2,103,0,11,6,0.004914004914004914,1,2011-03-11 07:45:03,1299829503,4,7,0,38
670,83,706,1234,4,16,0,0,2.794165316045381,60,422,0,52,12,644,8,11,12,9,0,12,60,422,0,52,12,644,8,11,12,9,0,22,1025,1022,3,187,0,1044,4,154,1,27,4,0.0032414910858995136,1,2011-03-11 07:50:03,1299829803,4,8,0,84
671,36,70,153,4,14,0,0,2.3202614379084974,15,49,0,70,2,0,4,0,0,1,0,11,15,49,0,70,2,0,4,0,0,1,0,12,71,68,3,70,0,116,2,45,0,8,2,0.013071895424836602,1,2011-03-11 07:55:03,1299830103,4,6,0,36
672,82,32,166,3,14,0,0,3.33939393939394,12,76,0,19,7,9,6,5,5,6,0,15,12,76,0,19,7,9,6,5,5,6,0,7,137,137,0,21,1,124,10,76,2,7,12,0.060240963855421686,2,2011-03-11 08:00:03,1299830403,3,8,0,68
