,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
660,845,441,2362,8,14,0,2,1.8059447983014865,502,657,0,607,203,309,44,3,7,1,0,11,502,657,0,607,203,309,44,3,7,1,0,9,2193,1729,464,151,7,883,29,609,0,55,285,0.012277730736663843,2,2015-06-12 07:05:00,1434092700,7,9,0,218
661,398,948,3291,4,15,0,1,1.9090909090909087,738,799,0,836,459,163,54,215,14,3,0,13,738,799,0,836,459,163,54,215,14,3,0,115,3018,2399,619,155,2,1428,24,663,0,67,136,0.007292616226071103,2,2015-06-12 07:10:00,1434093000,4,9,0,304
662,232,322,1325,7,14,0,2,1.740377358490566,270,408,2,330,175,71,35,12,14,8,0,10,270,408,2,330,175,71,35,12,14,8,0,40,1246,1029,217,37,0,607,5,426,1,39,38,0.0037735849056603774,2,2015-06-12 07:15:00,1434093300,6,10,0,108
663,468,449,1422,7,17,0,0,2.351617440225035,81,440,1,384,337,52,35,39,9,5,27,15,81,440,1,384,337,52,35,39,9,5,27,11,1281,1224,57,130,0,639,0,457,0,68,64,0.0,0,2015-06-12 07:20:00,1434093600,6,10,0,107
664,823,265,2710,6,18,0,8,1.730897009966777,560,1046,0,338,338,338,15,6,54,14,0,8,560,1046,0,338,338,338,15,6,54,14,0,38,2550,2038,512,113,1,849,8,718,0,93,286,0.0029520295202952033,2,2015-06-12 07:25:00,1434093900,5,10,0,183
665,445,488,1366,5,15,0,4,2.8885630498533725,185,202,0,149,109,617,49,25,10,9,0,12,185,202,0,149,109,617,49,25,10,9,0,68,1207,1129,78,85,2,659,7,456,0,46,89,0.0051244509516837474,1,2015-06-12 07:30:00,1434094200,4,9,0,281
666,194,531,1496,6,14,0,0,2.2361204013377924,192,383,0,270,441,104,12,65,8,7,12,11,192,383,0,270,441,104,12,65,8,7,12,14,1306,1130,176,175,1,641,9,537,0,63,58,0.006016042780748663,2,2015-06-12 07:35:00,1434094500,5,10,0,58
667,267,278,1131,2,16,0,0,2.269742679680568,273,192,0,175,279,53,31,103,1,3,15,14,273,192,0,175,279,53,31,103,1,3,15,49,1012,791,221,66,4,344,10,366,2,60,65,0.008841732979664016,2,2015-06-12 07:40:00,1434094800,2,10,0,129
668,132,180,625,6,14,0,2,2.243111831442464,98,136,0,128,184,26,6,5,13,10,9,12,98,136,0,128,184,26,6,5,13,10,9,5,528,441,87,82,8,216,18,347,2,70,39,0.0288,2,2015-06-12 07:45:00,1434095100,5,9,0,58
669,504,608,1545,4,15,0,0,2.8791423001949314,90,412,0,316,340,68,48,196,15,4,4,11,90,412,0,316,340,68,48,196,15,4,4,12,1455,1387,68,72,6,647,36,461,0,49,33,0.02330097087378641,2,2015-06-12 07:50:00,1434095400,4,9,0,71
670,775,701,2777,6,22,0,0,2.799423838674829,616,617,0,523,491,103,20,82,3,86,11,13,616,617,0,523,491,103,20,82,3,86,11,35,2566,1987,579,176,0,916,24,677,0,43,36,0.008642419877565718,1,2015-06-12 07:55:00,1434095700,5,9,0,195
671,1629,715,4032,6,32,0,0,2.584863523573201,683,982,26,783,424,731,70,105,79,7,4,17,683,982,26,783,424,731,70,105,79,7,4,25,3898,3246,652,107,2,1773,15,963,1,67,73,0.0037202380952380955,1,2015-06-12 08:00:00,1434096000,5,11,0,199
672,836,1410,3627,6,33,0,0,3.0394482758620693,280,673,108,636,1423,92,165,39,35,43,0,17,280,673,108,636,1423,92,165,39,35,43,0,38,3269,3036,233,318,2,1619,12,735,0,64,39,0.003308519437551696,2,2015-06-12 08:05:00,1434096300,5,12,0,256
673,131,419,1293,8,18,0,1,1.959783449342614,326,285,0,336,120,80,11,120,8,1,5,13,326,285,0,336,120,80,11,120,8,1,5,8,1207,891,316,77,0,426,15,461,1,41,33,0.011600928074245941,3,2015-06-12 08:10:00,1434096600,7,12,0,86
674,714,701,1916,4,13,0,0,2.5250521920668056,118,361,0,167,1115,81,28,20,10,0,16,9,118,361,0,167,1115,81,28,20,10,0,16,33,1834,1757,77,49,0,841,17,468,1,28,23,0.008872651356993737,1,2015-06-12 08:15:00,1434096900,4,9,0,88
675,1005,345,2458,4,18,0,0,2.80081466395112,337,404,1,215,841,63,406,152,18,4,6,16,337,404,1,215,841,63,406,152,18,4,6,96,2190,1991,199,169,3,989,51,535,5,47,466,0.020748576078112285,3,2015-06-12 08:20:00,1434097200,3,9,0,369
676,134,205,735,7,16,0,0,2.359009628610729,112,226,4,153,126,20,33,13,5,10,7,17,112,226,4,153,126,20,33,13,5,10,7,13,657,561,96,57,8,269,16,361,0,70,43,0.0217687074829932,2,2015-06-12 08:25:00,1434097500,6,10,0,59
677,590,513,1871,9,21,0,0,2.675107758620689,144,536,2,183,206,678,24,43,13,20,1,13,144,536,2,183,206,678,24,43,13,20,1,15,1773,1649,124,68,15,779,14,594,12,94,104,0.007482629609834314,2,2015-06-12 08:30:00,1434097800,7,9,0,102
678,121,223,897,8,16,0,0,1.820224719101124,192,224,1,249,118,69,13,9,7,1,0,12,192,224,1,249,118,69,13,9,7,1,0,23,730,570,160,137,7,330,14,379,0,75,36,0.015607580824972132,3,2015-06-12 08:35:00,1434098100,7,9,0,126
679,245,6889,17650,6,16,0,0,2.35395521185758,2907,1706,0,2438,2496,1279,92,1286,17,11,177,13,2907,1706,0,2438,2496,1279,92,1286,17,11,177,8,12343,9444,2899,63,5236,8994,194,858,0,107,524,0.010991501416430596,2,2015-06-12 08:40:00,1434098400,5,9,0,52
680,3763,3942,17695,8,25,2,1,2.0070249624880643,4054,2252,63,3089,3887,477,262,162,21,14,253,20,4054,2252,63,3089,3887,477,262,162,21,14,253,862,10687,7630,3057,3112,3033,5571,351,1810,39,150,450,0.019836111896015824,2,2015-06-12 08:45:00,1434098700,7,14,0,4923
681,26487,3597,54855,8,22,2,6,2.1825602629656684,8160,13814,29,13323,11784,3038,664,2688,235,184,325,18,8160,13814,29,13323,11784,3038,664,2688,235,184,325,7299,42444,41951,493,5011,95,26720,1316,7482,32,645,1348,0.023990520463038918,2,2015-06-12 08:50:00,1434099000,7,10,0,15064
682,680,596,9202,8,32,2,133,1.4534188498749865,3757,3712,1,192,396,146,79,548,14,21,66,14,3757,3712,1,192,396,146,79,548,14,21,66,2960,5100,4677,423,1006,3,5522,35,1083,0,140,314,0.0038035209737013694,2,2015-06-12 08:55:00,1434099300,7,10,0,6945
683,829,665,2245,6,33,2,0,2.560017849174476,339,413,1,271,286,858,29,14,5,7,18,10,339,413,1,271,286,858,29,14,5,7,18,20,2152,1841,311,69,4,1123,16,711,0,108,84,0.0071269487750556795,1,2015-06-12 09:00:00,1434099600,5,11,0,78
684,1248,1059,7988,7,23,2,0,2.1311811427107354,2738,2133,4,670,917,271,75,287,18,168,40,14,2738,2133,4,670,917,271,75,287,18,168,40,2183,3061,2667,394,2562,182,4889,75,1233,1,129,464,0.009389083625438156,2,2015-06-12 09:05:00,1434099900,6,11,0,4853
685,337,428,1702,7,33,2,0,2.811834319526627,333,476,4,152,230,136,69,116,15,72,2,15,333,476,4,152,230,136,69,116,15,72,2,124,1406,1202,204,160,12,933,14,640,0,77,176,0.008225616921269096,1,2015-06-12 09:10:00,1434100200,6,11,0,223
686,391,387,6532,5,14,2,0,0.8020833333333334,4053,1529,0,335,208,116,28,180,10,12,32,11,4053,1529,0,335,208,116,28,180,10,12,32,3694,1601,1389,212,1233,4,5777,14,730,1,64,221,0.002143294549908145,1,2015-06-12 09:15:00,1434100500,4,9,0,41
687,756,599,7577,6,33,2,0,1.301744647105472,5221,320,0,164,585,211,118,712,156,72,4,14,5221,320,0,164,585,211,118,712,156,72,4,4498,2560,2135,425,508,11,5094,41,888,1,105,612,0.0054111125775372845,2,2015-06-12 09:20:00,1434100800,5,11,0,9875
688,606,553,16633,6,32,2,0,0.7478685283578401,13085,1506,1,154,291,99,51,418,21,13,16,14,13085,1506,1,154,291,99,51,418,21,13,16,12123,2286,1904,382,1777,447,8318,32,1208,0,145,418,0.0019238862502254555,2,2015-06-12 09:25:00,1434101100,5,10,0,12732
689,739,764,8136,9,30,2,2,1.1151954757806737,6124,198,1,226,200,760,90,233,25,118,4,16,6124,198,1,226,200,760,90,233,25,118,4,5405,2384,1942,442,343,2,6382,27,936,0,128,362,0.00331858407079646,2,2015-06-12 09:30:00,1434101400,8,9,0,3239
690,437,470,13415,7,33,2,0,1.0462169213566903,10647,376,0,194,262,192,52,1408,13,19,14,15,10647,376,0,194,262,192,52,1408,13,19,14,9582,3259,2693,566,574,0,6880,30,1135,2,137,1477,0.0022363026462914647,2,2015-06-12 09:35:00,1434101700,5,11,0,14294
691,496,432,2051,5,17,2,0,2.411019015114578,644,352,3,215,236,230,58,160,14,121,11,14,644,352,3,215,236,230,58,160,14,121,11,68,1910,1342,568,73,0,981,25,701,1,61,219,0.01218917601170161,2,2015-06-12 09:40:00,1434102000,4,10,0,47
692,513,581,13962,9,33,2,0,0.7334340600043169,11882,448,0,152,257,197,47,457,14,13,26,12,11882,448,0,152,257,197,47,457,14,13,26,10706,2372,1966,406,821,63,8389,36,1467,1,156,548,0.002578427159432746,2,2015-06-12 09:45:00,1434102300,4,11,0,6672
