,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
2956,25,14,59,3,15,0,0,1.9322033898305084,3,26,0,20,5,3,0,0,0,0,1,12,3,26,0,20,5,3,0,0,0,0,1,0,52,49,3,7,0,19,3,47,0,3,2,0.05084745762711865,1,2005-05-25 01:16:09,1116983769,3,7,0,8
2957,17,23,58,4,19,0,0,1.9310344827586208,2,26,0,19,3,2,5,1,0,0,0,6,2,26,0,19,3,2,5,1,0,0,0,2,48,48,0,8,0,32,3,32,0,2,0,0.05172413793103448,1,2005-05-25 01:17:09,1116983829,3,7,0,9
2958,134,23,193,5,11,0,0,1.2849740932642486,6,143,0,35,3,4,2,0,0,0,0,5,6,143,0,35,3,4,2,0,0,0,0,0,189,183,6,4,0,144,4,62,0,4,0,0.02072538860103627,1,2005-05-25 01:18:09,1116983889,5,8,0,11
2959,39,28,79,5,19,0,0,3.0632911392405062,3,17,0,13,14,15,7,9,0,1,0,8,3,17,0,13,14,15,7,9,0,1,0,3,57,57,0,19,0,33,0,51,0,1,0,0.0,0,2005-05-25 01:19:09,1116983949,5,9,0,21
2960,9,10,38,4,14,0,0,1.8108108108108107,2,18,0,12,1,1,1,1,1,0,0,7,2,18,0,12,1,1,1,1,1,0,0,0,32,30,2,5,1,14,3,29,0,3,0,0.07894736842105263,1,2005-05-25 01:20:09,1116984009,4,9,0,7
2961,7,21,49,7,19,0,0,1.9183673469387756,7,19,0,14,1,2,3,0,3,0,0,7,7,19,0,14,1,2,3,0,3,0,0,2,39,35,4,8,0,28,3,32,0,2,0,0.061224489795918366,1,2005-05-25 01:21:09,1116984069,5,7,0,7
2962,12,14,39,5,12,0,0,2.0,3,7,0,18,9,2,0,0,0,0,0,4,3,7,0,18,9,2,0,0,0,0,0,0,32,29,3,7,0,14,0,33,0,4,1,0.0,0,2005-05-25 01:22:09,1116984129,5,8,0,4
2963,12,15,56,8,19,0,0,1.7857142857142858,3,26,0,22,1,0,0,1,3,0,0,7,3,26,0,22,1,0,0,1,3,0,0,3,37,37,0,16,0,19,0,28,0,1,0,0.0,0,2005-05-25 01:23:09,1116984189,5,7,0,14
2964,18,14,132,4,6,0,0,1.3409090909090908,2,91,0,34,2,3,0,0,0,0,0,4,2,91,0,34,2,3,0,0,0,0,0,2,124,124,0,6,0,60,2,42,0,2,0,0.015151515151515154,1,2005-05-25 01:24:09,1116984249,4,6,0,10
2965,27,24,136,6,19,0,0,1.5073529411764706,5,80,0,31,18,1,1,0,0,0,0,5,5,80,0,31,18,1,1,0,0,0,0,3,116,114,2,17,0,79,4,59,0,2,0,0.029411764705882356,1,2005-05-25 01:25:09,1116984309,6,7,0,18
2966,121,130,393,5,11,0,0,1.3307888040712468,39,205,0,129,20,0,0,0,0,0,0,3,39,205,0,129,20,0,0,0,0,0,0,36,330,327,3,27,0,206,0,99,0,3,0,0.0,0,2005-05-25 01:26:09,1116984369,5,8,0,62
2967,43,100,230,5,7,0,0,1.6217391304347826,62,16,0,113,34,2,0,0,3,0,0,7,62,16,0,113,34,2,0,0,3,0,0,0,225,163,62,5,0,122,0,60,0,3,0,0.0,0,2005-05-25 01:27:09,1116984429,5,6,0,66
