,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
2521,20,4,46,5,11,0,2,1.6521739130434785,13,12,0,8,9,0,3,1,0,0,0,6,13,12,0,8,9,0,3,1,0,0,0,7,36,32,4,1,0,31,0,34,0,0,0,0.0,0,2005-05-24 18:01:09,1116957669,5,10,0,5
2522,3,2,28,4,10,0,9,1.2592592592592593,11,5,0,8,1,1,0,1,0,0,0,6,11,5,0,8,1,1,0,1,0,0,0,1,16,15,1,1,1,27,5,18,0,1,1,0.17857142857142858,2,2005-05-24 18:02:09,1116957729,4,10,0,8
2523,3,8,16,3,9,0,1,1.875,5,1,0,8,0,0,1,0,0,1,0,8,5,1,0,8,0,0,1,0,0,1,0,4,10,10,0,1,0,15,2,11,0,0,0,0.125,1,2005-05-24 18:03:09,1116957789,3,6,0,2
2524,2,28,34,4,6,0,1,1.3235294117647058,2,21,0,10,0,1,0,0,0,0,0,4,2,21,0,10,0,1,0,0,0,0,0,0,32,31,1,1,0,32,1,10,0,0,0,0.029411764705882356,1,2005-05-24 18:04:09,1116957849,4,6,0,1
2525,0,2,10,3,4,0,4,0.6,6,2,0,2,0,0,0,0,0,0,0,2,6,2,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,8,0,7,0,0,0,0.0,0,2005-05-24 18:05:09,1116957909,3,4,0,0
2526,0,0,2,5,4,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,0,0,0,0.0,0,2005-05-24 18:06:09,1116957969,6,4,0,0
2527,3,0,9,6,8,0,3,0.7777777777777778,6,1,0,1,0,1,0,0,0,0,0,4,6,1,0,1,0,1,0,0,0,0,0,3,2,2,0,1,0,6,0,5,0,0,0,0.0,0,2005-05-24 18:07:09,1116958029,4,7,0,1
2528,4,0,7,7,6,0,1,1.5714285714285714,1,3,0,1,2,0,0,0,0,0,0,3,1,3,0,1,2,0,0,0,0,0,0,0,6,6,0,0,0,7,1,5,0,0,0,0.14285714285714285,1,2005-05-24 18:08:09,1116958089,6,6,0,1
2529,3,2,13,7,9,0,2,1.2727272727272727,4,1,0,5,1,0,0,0,0,0,0,3,4,1,0,5,1,0,0,0,0,0,0,0,8,7,1,1,2,9,2,12,0,0,1,0.15384615384615385,2,2005-05-24 18:09:09,1116958149,7,8,0,0
2530,5,8,23,3,10,0,5,2.391304347826087,5,4,0,3,4,2,5,0,0,0,0,5,5,4,0,3,4,2,5,0,0,0,0,0,17,17,0,1,0,20,0,14,0,1,0,0.0,0,2005-05-24 18:10:09,1116958209,3,7,0,6
2531,3,8,37,4,10,0,12,1.4594594594594594,20,4,0,3,4,0,5,0,1,0,0,7,20,4,0,3,4,0,5,0,1,0,0,6,18,16,2,1,0,25,2,20,0,0,0,0.054054054054054064,1,2005-05-24 18:11:09,1116958269,4,9,0,0
2532,0,1,6,10,10,0,4,0.5,4,1,0,1,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,6,0,0,0,0.0,0,2005-05-24 18:12:09,1116958329,10,9,0,1
2533,5,1,16,3,10,0,1,1.125,5,9,0,1,0,0,0,0,1,0,0,7,5,9,0,1,0,0,0,0,1,0,0,4,7,7,0,4,0,15,1,9,0,1,0,0.0625,1,2005-05-24 18:13:09,1116958389,3,9,0,0
2534,2,3,28,4,7,0,9,0.7857142857142857,14,11,0,1,1,0,0,1,0,0,0,6,14,11,0,1,1,0,0,1,0,0,0,4,10,9,1,5,0,23,1,15,0,0,0,0.03571428571428571,1,2005-05-24 18:14:09,1116958449,3,7,0,2
2535,22,2,59,4,10,0,11,1.3559322033898304,13,20,0,21,4,0,0,1,0,0,0,6,13,20,0,21,4,0,0,1,0,0,0,0,48,46,2,0,0,51,0,16,0,0,0,0.0,0,2005-05-24 18:15:09,1116958509,4,7,0,60
2536,20,1,22,4,10,0,0,6.3181818181818175,1,0,0,1,0,1,0,0,19,0,0,7,1,0,0,1,0,1,0,0,19,0,0,0,21,20,1,1,0,22,0,4,0,0,0,0.0,0,2005-05-24 18:16:09,1116958569,4,5,0,0
2537,17,2,23,5,10,0,1,2.4782608695652173,1,2,0,13,2,3,1,1,0,0,0,6,1,2,0,13,2,3,1,1,0,0,0,0,22,22,0,0,0,22,4,10,0,0,1,0.17391304347826084,3,2005-05-24 18:17:09,1116958629,3,7,0,1
2538,13,13,27,4,11,0,0,3.6666666666666665,1,1,0,2,2,20,0,0,0,1,0,8,1,1,0,2,2,20,0,0,0,1,0,1,26,26,0,0,0,15,1,10,0,0,0,0.037037037037037035,1,2005-05-24 18:18:09,1116958689,4,6,0,2
2539,0,2,83,4,7,0,1,0.18072289156626506,74,7,0,1,0,0,0,1,0,0,0,6,74,7,0,1,0,0,0,1,0,0,0,73,8,8,0,1,0,83,0,8,0,0,0,0.0,0,2005-05-24 18:19:09,1116958749,4,4,0,14
