,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
319,10,13,63,7,9,0,6,1.819672131147541,21,1,0,22,7,6,3,1,0,0,0,6,21,1,0,22,7,6,3,1,0,0,0,7,36,28,8,12,2,31,1,29,1,10,1,0.015873015873015872,1,2001-09-18 01:23:25,1000776205,7,8,0,10
320,29,23,101,5,14,0,13,2.06,41,0,0,25,14,5,7,4,0,1,3,9,41,0,0,25,14,5,7,4,0,1,3,2,66,47,19,19,1,42,2,50,0,14,0,0.0198019801980198,1,2001-09-18 01:33:25,1000776805,5,9,0,23
321,39,28,128,4,12,0,9,2.4330708661417324,22,3,0,60,16,3,12,11,0,0,0,6,22,3,0,60,16,3,12,11,0,0,0,3,91,86,5,24,1,44,0,41,0,17,1,0.0,0,2001-09-18 01:43:25,1000777405,4,8,0,23
322,39,39,181,9,11,0,13,2.265193370165746,43,40,0,21,10,53,4,8,0,0,2,9,43,40,0,21,10,53,4,8,0,0,2,12,136,119,17,20,0,88,0,76,0,16,9,0.0,0,2001-09-18 01:53:25,1000778005,8,10,0,38
323,13,13,54,4,8,0,9,1.5,22,3,0,18,7,0,3,1,0,0,0,6,22,3,0,18,7,0,3,1,0,0,0,7,32,27,5,6,0,30,0,39,0,6,1,0.0,0,2001-09-18 02:03:25,1000778605,4,8,0,20
324,48,49,131,5,14,0,2,1.717557251908397,25,4,0,96,2,0,1,3,0,0,0,6,25,4,0,96,2,0,1,3,0,0,0,12,67,58,9,50,0,64,0,35,0,17,0,0.0,0,2001-09-18 02:13:25,1000779205,5,9,0,22
325,18,9,79,6,10,0,14,1.5571428571428572,38,3,0,11,0,11,2,5,0,0,0,6,38,3,0,11,0,11,2,5,0,0,0,20,24,23,1,12,9,42,3,39,0,5,1,0.0379746835443038,2,2001-09-18 02:23:25,1000779805,6,10,0,49
326,52,43,195,4,12,0,18,2.3384615384615386,47,4,0,70,22,30,8,13,0,1,0,8,47,4,0,70,22,30,8,13,0,1,0,17,127,118,9,33,0,97,3,75,0,22,0,0.015384615384615384,1,2001-09-18 02:33:25,1000780405,4,11,0,74
327,23,26,161,5,13,0,15,1.5649350649350648,60,2,0,52,35,2,1,1,0,0,0,11,60,2,0,52,35,2,1,1,0,0,0,33,73,66,7,33,7,86,3,57,0,22,1,0.018633540372670808,1,2001-09-18 02:43:25,1000781005,5,9,0,51
328,22,44,214,6,13,0,44,1.4666666666666666,90,1,0,78,28,2,7,4,0,0,0,6,90,1,0,78,28,2,7,4,0,0,0,16,137,108,29,13,4,106,2,97,0,10,0,0.009345794392523364,1,2001-09-18 02:53:25,1000781605,6,9,0,67
329,91,81,244,6,9,0,14,1.9057377049180328,57,3,0,118,47,10,9,0,0,0,0,5,57,3,0,118,47,10,9,0,0,0,0,36,121,119,2,73,0,142,0,91,0,21,0,0.0,0,2001-09-18 03:03:25,1000782205,6,8,0,44
330,16,18,202,5,11,0,50,2.10062893081761,74,0,0,36,9,2,1,37,0,0,0,6,74,0,0,36,9,2,1,37,0,0,0,11,87,75,12,11,43,105,1,44,0,17,0,0.0049261083743842365,1,2001-09-18 03:13:25,1000782805,5,9,0,65
331,60,48,164,6,13,0,20,2.3580246913580245,34,4,0,80,13,5,2,21,1,2,0,8,34,4,0,80,13,5,2,21,1,2,0,6,125,119,6,11,2,68,6,92,0,2,0,0.03636363636363636,1,2001-09-18 03:23:25,1000783405,6,10,0,28
332,47,46,155,8,10,0,7,2.141935483870968,45,8,0,51,22,1,24,0,0,4,0,8,45,8,0,51,22,1,24,0,0,4,0,18,112,99,13,18,0,71,3,54,0,17,0,0.01935483870967742,1,2001-09-18 03:33:25,1000784005,8,8,0,22
333,45,39,219,4,14,0,48,1.8715596330275233,78,39,0,60,24,2,0,0,1,0,2,12,78,39,0,60,24,2,0,0,1,0,2,18,119,107,12,33,1,76,4,76,0,13,0,0.0182648401826484,1,2001-09-18 03:43:25,1000784605,4,7,0,57
334,69,64,274,5,14,0,50,1.5897435897435896,89,22,0,141,12,1,0,0,0,0,2,12,89,22,0,141,12,1,0,0,0,0,2,18,181,161,20,24,1,104,0,76,0,19,0,0.0,0,2001-09-18 03:53:25,1000785205,5,11,0,68
335,25,27,103,7,13,0,19,1.7475728155339805,46,4,0,27,10,12,0,0,0,0,0,11,46,4,0,27,10,12,0,0,0,0,0,8,63,44,19,13,0,42,3,51,0,11,3,0.029126213592233014,1,2001-09-18 04:03:25,1000785805,7,10,0,20
336,17,13,80,7,13,0,14,1.294871794871795,33,3,0,31,8,3,0,0,0,0,0,4,33,3,0,31,8,3,0,0,0,0,0,8,43,32,11,13,2,42,3,39,0,22,0,0.0375,1,2001-09-18 04:13:25,1000786405,5,9,0,26
337,185,143,513,2,15,0,33,2.4650698602794407,149,136,4,48,35,14,7,60,4,21,21,11,149,136,4,48,35,14,7,60,4,21,21,81,283,256,27,104,12,269,15,214,0,8,0,0.029239766081871343,1,2001-09-18 04:23:25,1000787005,2,9,0,182
