,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,209,162,596,11,17,0,23,2.4483362521891423,45,159,0,139,101,76,25,10,4,3,1,15,45,159,0,139,101,76,25,10,4,3,1,11,493,482,11,44,22,213,0,270,0,30,4,0.0,0,2001-09-15 20:13:25,1000584805,9,11,1,71
1,312,209,748,6,17,0,13,2.82171581769437,22,238,0,189,127,24,8,36,85,9,4,15,22,238,0,189,127,24,8,36,85,9,4,9,636,636,0,88,2,278,14,288,0,21,6,0.04057971014492753,3,2001-09-15 20:23:25,1000585405,6,11,0,103
2,161,234,692,12,15,0,29,1.91399416909621,36,351,2,100,138,15,16,20,2,0,6,10,36,351,2,100,138,15,16,20,2,0,6,6,626,625,1,25,6,339,78,295,0,17,2,0.11271676300578035,4,2001-09-15 20:33:25,1000586005,8,9,0,29
3,148,110,386,4,15,0,15,2.135770234986945,32,144,0,81,66,20,18,14,4,4,0,8,32,144,0,81,66,20,18,14,4,4,0,8,334,325,9,26,3,132,33,252,0,23,13,0.08549222797927461,4,2001-09-15 20:43:25,1000586605,4,10,0,47
4,311,366,1045,11,16,0,107,2.1123919308357353,112,516,0,155,67,41,20,31,82,5,12,9,112,516,0,155,67,41,20,31,82,5,12,3,901,899,2,30,4,434,39,322,0,13,9,0.037320574162679435,2,2001-09-15 20:53:25,1000587205,9,9,0,54
5,293,185,661,5,15,0,27,2.9573170731707314,34,200,0,157,26,8,107,110,2,1,11,9,34,200,0,157,26,8,107,110,2,1,11,5,608,606,2,16,5,222,24,188,0,10,0,0.036308623298033284,2,2001-09-15 21:03:25,1000587805,5,9,0,134
6,283,266,866,4,15,0,23,2.3104693140794224,31,290,1,261,122,41,27,22,17,7,5,13,31,290,1,261,122,41,27,22,17,7,5,5,673,670,3,130,35,416,68,340,0,41,3,0.07852193995381063,4,2001-09-15 21:13:25,1000588405,4,11,0,39
7,190,139,549,5,16,0,20,2.225296442687747,34,242,2,99,49,29,8,10,10,4,10,14,34,242,2,99,49,29,8,10,10,4,10,7,442,435,7,37,43,221,37,285,0,49,12,0.06739526411657559,4,2001-09-15 21:23:25,1000589005,5,12,0,43
8,353,222,774,7,17,0,26,2.3923884514435696,39,273,0,165,139,69,23,11,28,1,7,13,39,273,0,165,139,69,23,11,28,1,7,5,682,674,8,49,12,234,63,383,4,51,29,0.08139534883720931,3,2001-09-15 21:33:25,1000589605,5,10,0,75
9,101,99,321,6,13,0,15,2.395498392282958,20,102,0,81,49,12,25,8,5,3,6,9,20,102,0,81,49,12,25,8,5,3,6,4,253,252,1,39,10,140,16,188,0,21,8,0.04984423676012461,2,2001-09-15 21:43:25,1000590205,5,10,0,45
10,221,134,510,5,16,0,17,2.0,19,204,4,172,59,29,12,3,2,0,5,10,19,204,4,172,59,29,12,3,2,0,5,1,457,456,1,34,1,184,31,225,0,51,6,0.0607843137254902,2,2001-09-15 21:53:25,1000590805,5,10,0,37
11,866,401,1504,6,18,0,23,2.9760000000000004,31,273,1,331,364,256,165,27,20,16,15,13,31,273,1,331,364,256,165,27,20,16,15,5,1394,1391,3,78,4,421,51,479,0,62,209,0.0339095744680851,3,2001-09-15 22:03:25,1000591405,6,11,0,289
12,182,114,457,5,13,0,21,1.9118942731277533,28,227,0,86,63,17,7,15,5,2,4,9,28,227,0,86,63,17,7,15,5,2,4,3,391,387,4,39,3,163,14,231,0,16,16,0.03063457330415755,2,2001-09-15 22:13:25,1000592005,5,9,0,61
13,170,161,460,4,15,0,21,1.5305676855895196,34,256,2,120,27,7,6,1,2,1,2,10,34,256,2,120,27,7,6,1,2,1,2,7,398,392,6,32,2,171,21,164,0,48,8,0.04565217391304348,2,2001-09-15 22:23:25,1000592605,4,9,0,52
14,77,74,296,4,13,0,15,1.809523809523809,26,144,1,43,63,2,7,4,0,2,1,11,26,144,1,43,63,2,7,4,0,2,1,11,225,225,0,43,2,111,10,171,0,25,23,0.03378378378378378,2,2001-09-15 22:33:25,1000593205,4,11,0,34
15,113,88,309,3,15,0,31,2.1006493506493507,38,114,4,84,27,11,13,3,6,2,5,14,38,114,4,84,27,11,13,3,6,2,5,7,235,235,0,35,1,123,13,200,0,14,2,0.042071197411003236,2,2001-09-15 22:43:25,1000593805,3,14,0,35
16,246,383,1057,5,16,0,59,2.5615530303030303,78,488,6,103,85,56,44,169,13,4,2,14,78,488,6,103,85,56,44,169,13,4,2,7,719,707,12,271,1,454,29,325,0,36,4,0.02743614001892148,2,2001-09-15 22:53:25,1000594405,5,14,0,70
17,167,211,653,5,15,0,44,2.058282208588957,58,226,0,181,108,24,20,24,5,3,2,13,58,226,0,181,108,24,20,24,5,3,2,3,540,529,11,65,1,239,13,232,0,82,46,0.019908116385911175,2,2001-09-15 23:03:25,1000595005,4,13,0,49
18,312,157,995,5,17,0,13,2.0372983870967745,26,515,0,143,159,82,37,14,6,0,6,15,26,515,0,143,159,82,37,14,6,0,6,5,913,905,8,61,3,333,13,255,0,75,75,0.01306532663316583,3,2001-09-15 23:13:25,1000595605,5,11,0,64
19,164,246,658,5,14,0,22,2.182648401826484,36,259,0,63,193,79,17,5,4,0,0,11,36,259,0,63,193,79,17,5,4,0,0,5,491,482,9,139,1,323,24,150,0,53,109,0.0364741641337386,4,2001-09-15 23:23:25,1000596205,5,9,0,147
20,225,178,599,4,16,0,12,1.9560810810810807,24,266,1,149,95,16,25,11,0,1,4,10,24,266,1,149,95,16,25,11,0,1,4,7,535,530,5,38,7,204,16,259,0,42,23,0.02671118530884808,2,2001-09-15 23:33:25,1000596805,4,10,0,81
21,131,96,649,7,14,0,13,1.5331278890600923,113,316,2,93,82,15,17,3,1,6,1,10,113,316,2,93,82,15,17,3,1,6,1,5,593,499,94,38,0,257,8,258,0,36,5,0.012326656394453005,3,2001-09-15 23:43:25,1000597405,7,11,0,42
22,117,86,339,6,14,0,18,2.3035714285714284,45,115,5,57,63,6,15,16,8,1,4,11,45,115,5,57,63,6,15,16,8,1,4,11,268,253,15,39,3,130,8,150,0,29,10,0.02359882005899705,2,2001-09-15 23:53:25,1000598005,6,9,0,49
23,110,98,329,6,15,0,14,2.1702127659574466,24,129,0,49,74,25,19,1,1,6,1,9,24,129,0,49,74,25,19,1,1,6,1,6,279,275,4,30,0,143,14,173,0,23,4,0.0425531914893617,2,2001-09-16 00:03:25,1000598605,6,13,0,39
24,655,341,1422,14,16,0,32,2.3856439127375086,35,471,0,451,233,36,141,3,3,20,20,12,35,471,0,451,233,36,141,3,3,20,20,1,1303,1301,2,85,1,329,9,276,0,78,27,0.006329113924050633,1,2001-09-16 00:13:25,1000599205,10,14,0,213
25,224,229,675,5,15,0,32,2.6,41,209,0,125,69,112,102,3,3,7,4,9,41,209,0,125,69,112,102,3,3,7,4,2,477,472,5,164,0,285,14,201,0,29,5,0.02074074074074074,3,2001-09-16 00:23:25,1000599805,5,13,0,61
26,434,197,975,5,18,0,21,2.1713106295149642,28,556,0,92,61,7,213,3,5,1,3,9,28,556,0,92,61,7,213,3,5,1,3,3,903,899,4,42,6,293,25,271,0,13,3,0.02564102564102564,4,2001-09-16 00:33:25,1000600405,5,10,0,151
27,171,317,680,7,19,0,46,2.5007363770250373,52,208,1,196,63,122,6,0,1,1,3,14,52,208,1,196,63,122,6,0,1,1,3,2,496,493,3,135,1,313,15,211,0,34,12,0.02205882352941177,1,2001-09-16 00:43:25,1000601005,7,10,0,33
28,243,220,599,8,15,0,30,1.5886287625418059,52,336,1,95,80,16,11,0,2,4,1,10,52,336,1,95,80,16,11,0,2,4,1,13,498,490,8,57,1,251,11,202,0,31,11,0.018363939899833055,2,2001-09-16 00:53:25,1000601605,6,13,0,61
29,147,223,494,7,14,0,6,1.6913580246913582,13,295,1,77,64,27,2,2,2,2,0,11,13,295,1,77,64,27,2,2,2,2,0,5,439,438,1,36,8,274,28,183,0,36,3,0.05668016194331984,2,2001-09-16 01:03:25,1000602205,7,10,0,56
30,127,93,315,7,12,0,21,1.7428571428571429,34,139,0,71,47,8,7,5,3,0,1,9,34,139,0,71,47,8,7,5,3,0,1,6,261,254,7,27,0,103,27,164,1,36,12,0.08571428571428573,4,2001-09-16 01:13:25,1000602805,7,9,0,45
31,113,116,319,6,11,0,10,1.892744479495268,22,128,0,92,36,28,6,1,0,4,0,8,22,128,0,92,36,28,6,1,0,4,0,11,242,242,0,54,2,133,7,166,0,26,11,0.0219435736677116,1,2001-09-16 01:23:25,1000603405,6,9,0,68
32,141,124,403,4,16,0,27,1.6749379652605458,45,186,1,79,69,14,6,0,2,0,0,14,45,186,1,79,69,14,6,0,2,0,0,10,330,324,6,36,0,145,11,189,0,18,10,0.027227722772277228,2,2001-09-16 01:33:25,1000604005,4,10,0,48
33,186,183,533,3,13,0,44,1.873345935727788,48,163,1,188,105,10,6,2,4,1,1,10,48,163,1,188,105,10,6,2,4,1,1,4,431,431,0,50,4,196,18,165,0,14,1,0.03377110694183865,3,2001-09-16 01:43:25,1000604605,3,9,0,49
34,296,242,718,4,16,0,32,2.27247191011236,43,207,6,181,204,30,13,16,4,4,4,10,43,207,6,181,204,30,13,16,4,4,4,0,581,570,11,99,6,216,21,304,0,33,14,0.02924791086350975,3,2001-09-16 01:53:25,1000605205,4,11,0,121
35,240,194,602,4,15,0,45,2.031719532554257,58,210,0,130,128,47,6,6,5,7,2,9,58,210,0,130,128,47,6,6,5,7,2,4,477,469,8,73,3,165,15,286,0,37,15,0.024916943521594685,2,2001-09-16 02:03:25,1000605805,4,10,0,73
36,337,136,842,7,15,0,38,2.093824228028504,49,480,16,153,57,13,8,10,3,4,49,10,49,480,16,153,57,13,8,10,3,4,49,6,639,634,5,159,0,323,25,252,0,37,2,0.029691211401425176,2,2001-09-16 02:13:25,1000606405,5,11,0,257
37,278,232,738,3,18,0,24,2.361904761904762,34,207,1,193,181,62,21,24,6,5,0,11,34,207,1,193,181,62,21,24,6,5,0,5,655,650,5,51,3,386,33,276,0,20,7,0.044715447154471545,2,2001-09-16 02:23:25,1000607005,3,13,0,56
38,192,183,510,8,12,0,25,1.8035363457760316,35,176,0,201,67,23,2,2,1,0,2,9,35,176,0,201,67,23,2,2,1,0,2,4,415,409,6,65,1,167,12,210,0,26,16,0.023529411764705882,2,2001-09-16 02:33:25,1000607605,5,8,0,69
39,140,95,478,5,13,0,27,1.7573221757322175,37,173,1,202,35,21,1,0,5,3,0,10,37,173,1,202,35,21,1,0,5,3,0,5,421,416,5,25,0,192,13,185,0,40,10,0.027196652719665274,1,2001-09-16 02:43:25,1000608205,3,10,0,37
40,218,212,812,4,15,0,9,2.0136307311028503,10,385,3,201,105,70,16,6,3,3,3,13,10,385,3,201,105,70,16,6,3,3,3,1,760,760,0,37,5,343,35,266,0,32,15,0.04310344827586207,2,2001-09-16 02:53:25,1000608805,4,9,0,31
41,233,238,935,4,15,0,54,2.310752688172043,65,332,2,260,80,137,6,12,4,6,0,12,65,332,2,260,80,137,6,12,4,6,0,5,809,803,6,62,5,469,34,292,0,21,3,0.03636363636363636,2,2001-09-16 03:03:25,1000609405,4,9,0,98
42,241,180,1057,4,15,0,27,1.8825214899713467,34,481,0,298,127,75,9,11,5,4,1,13,34,481,0,298,127,75,9,11,5,4,1,2,948,943,5,70,10,427,17,325,0,37,5,0.016083254493850518,2,2001-09-16 03:13:25,1000610005,4,9,0,68
43,202,163,441,4,13,0,3,1.9543378995433789,11,116,2,250,37,7,12,2,0,0,1,10,11,116,2,250,37,7,12,2,0,0,1,5,376,374,2,54,3,173,21,173,0,38,18,0.047619047619047616,2,2001-09-16 03:23:25,1000610605,4,9,0,59
44,107,119,302,3,15,0,5,2.0165562913907285,14,145,3,63,44,14,10,4,2,0,2,14,14,145,3,63,44,14,10,4,2,0,2,4,257,254,3,36,0,118,6,163,0,19,3,0.019867549668874173,2,2001-09-16 03:33:25,1000611205,3,11,0,37
45,3068,917,5433,6,105,0,350,1.921406221240567,390,2114,9,1795,847,131,83,20,15,7,8,103,390,2114,9,1795,847,131,83,20,15,7,8,6,5007,4976,31,70,0,2754,363,1539,2,62,16,0.06681391496410823,3,2001-09-16 03:43:25,1000611805,6,11,0,193
46,561,546,1474,6,16,0,138,2.2740841248303933,166,316,9,433,320,139,53,6,20,5,2,13,166,316,9,433,320,139,53,6,20,5,2,11,1143,1133,10,182,0,519,29,587,1,29,6,0.01967435549525102,3,2001-09-16 03:53:25,1000612405,6,11,0,178
47,648,442,1459,6,18,0,40,2.174897119341564,64,461,0,419,305,153,37,4,8,1,2,14,64,461,0,419,305,153,37,4,8,1,2,14,1254,1250,4,150,1,480,8,542,0,24,3,0.0054832076764907475,2,2001-09-16 04:03:25,1000613005,6,11,0,171
48,563,284,1194,5,17,0,27,2.1382527565733667,56,390,0,383,161,121,39,16,7,1,4,14,56,390,0,383,161,121,39,16,7,1,4,20,938,937,1,194,15,456,10,504,0,44,44,0.008375209380234505,2,2001-09-16 04:13:25,1000613605,5,13,0,284
49,489,469,1415,4,16,0,65,1.9179051663128095,117,426,0,575,161,84,24,7,7,4,8,9,117,426,0,575,161,84,24,7,7,4,8,40,1173,1166,7,135,2,511,14,567,0,38,14,0.009893992932862193,2,2001-09-16 04:23:25,1000614205,4,9,0,177
50,788,376,1609,6,15,0,21,1.919776119402985,93,678,1,409,236,152,13,13,3,1,5,12,93,678,1,409,236,152,13,13,3,1,5,58,1432,1428,4,97,1,438,4,422,0,24,9,0.002486016159105034,1,2001-09-16 04:33:25,1000614805,6,14,0,233
51,568,418,1336,5,16,0,2,2.7783621337340345,64,389,1,329,193,110,65,18,122,27,12,11,64,389,1,329,193,110,65,18,122,27,12,52,1015,1011,4,262,5,529,17,512,0,23,11,0.012724550898203593,3,2001-09-16 04:43:25,1000615405,5,9,0,264
52,461,410,1217,10,13,0,29,2.1307565789473686,82,304,0,512,158,98,19,11,24,4,4,9,82,304,0,512,158,98,19,11,24,4,4,49,982,980,2,156,1,512,7,517,0,12,0,0.005751848808545604,2,2001-09-16 04:53:25,1000616005,7,9,0,281
53,230,189,919,10,17,0,29,2.132752992383025,84,192,0,363,179,54,26,7,6,3,3,12,84,192,0,363,179,54,26,7,6,3,3,34,755,736,19,101,0,334,6,442,0,9,5,0.006528835690968444,1,2001-09-16 05:03:25,1000616605,5,10,0,139
54,346,431,1385,6,107,0,23,2.325850832729906,73,577,5,295,169,34,145,17,23,34,4,12,73,577,5,295,169,34,145,17,23,34,4,42,1063,1058,5,253,4,503,7,518,0,32,10,0.005054151624548736,2,2001-09-16 05:13:25,1000617205,6,9,0,195
55,376,243,863,7,16,0,19,2.16260162601626,44,307,1,238,139,83,23,11,3,0,7,11,44,307,1,238,139,83,23,11,3,0,7,16,691,683,8,135,2,368,15,425,0,33,14,0.01738122827346466,2,2001-09-16 05:23:25,1000617805,7,11,0,204
56,284,264,869,4,15,0,38,1.9194476409666283,91,329,2,234,120,48,15,15,3,2,7,12,91,329,2,234,120,48,15,15,3,2,7,48,619,618,1,164,0,350,12,440,0,34,29,0.013808975834292291,2,2001-09-16 05:33:25,1000618405,4,11,0,142
57,389,257,981,15,17,0,15,1.9813664596273293,83,281,1,357,159,55,15,3,4,1,2,15,83,281,1,357,159,55,15,3,4,1,2,59,784,778,6,108,15,401,27,420,0,24,5,0.027522935779816515,3,2001-09-16 05:43:25,1000619005,8,11,0,262
58,241,238,773,6,15,0,22,2.08160621761658,86,214,1,265,134,23,5,14,9,13,4,12,86,214,1,265,134,23,5,14,9,13,4,40,581,560,21,129,1,327,10,366,0,39,11,0.0129366106080207,3,2001-09-16 05:53:25,1000619605,6,11,0,172
