,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
262,140,52,276,8,13,0,5,2.104089219330855,15,85,0,117,0,30,12,3,7,0,0,7,15,85,0,117,0,30,12,3,7,0,0,5,254,251,3,5,7,196,3,91,0,7,2,0.010869565217391304,1,2003-01-23 21:50:08,1043358608,6,8,0,13
263,123,176,467,6,13,0,3,2.2537634408602147,33,133,8,184,19,66,0,15,0,7,0,10,33,133,8,184,19,66,0,15,0,7,0,4,410,384,26,48,2,230,14,174,0,14,12,0.029978586723768737,1,2003-01-23 21:55:08,1043358908,5,9,0,61
264,47,41,318,4,15,0,2,1.1464968152866242,117,128,0,18,11,38,1,1,0,0,0,6,117,128,0,18,11,38,1,1,0,0,0,8,282,179,103,22,4,178,24,180,0,17,2,0.07547169811320754,2,2003-01-23 22:00:08,1043359208,4,10,0,37
265,171,166,562,5,9,0,7,2.03914590747331,54,101,0,283,23,95,6,0,0,0,0,5,54,101,0,283,23,95,6,0,0,0,0,5,520,482,38,30,0,168,3,153,0,12,18,0.005338078291814947,1,2003-01-23 22:05:08,1043359508,5,8,0,32
266,101,63,195,5,11,0,0,1.8350515463917525,18,113,0,22,5,21,2,2,10,1,0,8,18,113,0,22,5,21,2,2,10,1,0,4,155,144,11,35,1,97,3,74,0,14,16,0.015384615384615384,1,2003-01-23 22:10:08,1043359808,5,8,0,52
267,99,84,254,4,12,0,2,1.58,32,113,0,76,11,5,4,6,3,0,0,7,32,113,0,76,11,5,4,6,3,0,0,0,218,191,27,30,4,149,3,98,1,12,26,0.011811023622047244,1,2003-01-23 22:15:08,1043360108,4,9,0,46
268,108,144,361,4,12,0,1,2.033240997229917,50,76,0,150,41,19,9,6,5,2,3,9,50,76,0,150,41,19,9,6,5,2,3,1,337,291,46,22,0,184,5,116,0,6,10,0.013850415512465374,1,2003-01-23 22:20:08,1043360408,4,8,0,14
269,68,56,202,5,16,0,0,1.9554455445544556,42,76,1,26,24,19,1,5,3,1,1,12,42,76,1,26,24,19,1,5,3,1,1,2,156,122,34,44,0,102,3,112,0,8,1,0.01485148514851485,1,2003-01-23 22:25:08,1043360708,5,10,0,27
270,228,63,606,9,14,0,0,1.8344370860927155,64,225,0,221,14,60,1,4,2,10,0,12,64,225,0,221,14,60,1,4,2,10,0,4,576,519,57,24,2,229,10,185,0,13,12,0.0165016501650165,1,2003-01-23 22:30:08,1043361008,6,8,0,32
271,90,198,392,6,14,0,2,2.704081632653061,40,52,16,156,54,50,0,15,3,2,0,12,40,52,16,156,54,50,0,15,3,2,0,4,357,324,33,29,0,192,21,148,0,3,16,0.05357142857142857,2,2003-01-23 22:35:08,1043361308,5,8,0,32
272,121,149,408,5,16,0,4,2.4019607843137254,28,119,0,129,29,66,13,9,8,1,0,12,28,119,0,129,29,66,13,9,8,1,0,0,382,362,20,22,0,189,1,133,0,4,2,0.0024509803921568627,1,2003-01-23 22:40:08,1043361608,5,8,0,20
273,31,43,140,5,16,0,1,1.6296296296296295,17,68,0,26,9,9,0,5,1,0,0,7,17,68,0,26,9,9,0,5,1,0,0,7,106,101,5,21,5,97,13,78,0,7,6,0.09285714285714286,2,2003-01-23 22:45:08,1043361908,5,7,0,18
274,181,129,462,4,17,0,5,2.008695652173913,54,120,0,188,22,56,11,1,3,0,0,12,54,120,0,188,22,56,11,1,3,0,0,6,419,381,38,30,2,246,5,185,0,18,13,0.010822510822510822,1,2003-01-23 22:50:08,1043362208,4,9,0,28
275,180,149,470,6,17,0,0,2.094420600858369,24,194,4,143,45,27,6,10,1,0,10,15,24,194,4,143,45,27,6,10,1,0,10,0,441,420,21,25,4,290,6,167,0,13,52,0.01276595744680851,1,2003-01-23 22:55:08,1043362508,6,8,0,47
276,242,172,886,5,16,0,5,1.9117647058823528,131,322,2,253,39,68,22,19,15,1,9,13,131,322,2,253,39,68,22,19,15,1,9,2,843,721,122,34,2,368,12,247,0,21,43,0.013544018058690743,2,2003-01-23 23:00:08,1043362808,5,9,0,37
277,88,219,398,6,9,0,0,2.601010101010101,16,99,0,121,43,71,28,0,14,2,1,13,16,99,0,121,43,71,28,0,14,2,1,1,356,341,15,39,2,223,8,122,0,10,16,0.02010050251256281,2,2003-01-23 23:05:08,1043363108,5,8,0,37
278,98,75,294,4,16,0,2,2.4947735191637634,27,128,0,31,17,39,29,0,3,0,0,15,27,128,0,31,17,39,29,0,3,0,0,4,259,239,20,22,7,131,11,137,0,6,5,0.037414965986394565,1,2003-01-23 23:10:08,1043363408,4,12,0,12
279,149,154,437,5,16,0,4,2.0348027842227383,50,97,0,226,26,7,1,2,3,0,13,12,50,97,0,226,26,7,1,2,3,0,13,1,415,375,40,11,6,205,10,130,0,13,8,0.02288329519450801,1,2003-01-23 23:15:08,1043363708,5,8,0,21
280,72,72,200,8,9,0,0,1.88,26,83,0,42,17,7,22,1,2,0,0,7,26,83,0,42,17,7,22,1,2,0,0,4,175,157,18,21,0,107,18,103,0,7,3,0.09,3,2003-01-23 23:20:08,1043364008,8,8,0,36
281,121,108,340,4,17,0,6,2.035502958579882,66,116,1,48,56,21,10,10,4,0,1,14,66,116,1,48,56,21,10,10,4,0,1,3,275,222,53,54,2,146,7,146,0,21,16,0.020588235294117647,1,2003-01-23 23:25:08,1043364308,4,10,0,35
282,120,44,300,6,12,0,10,1.3108108108108107,88,125,0,24,25,32,0,2,0,0,0,6,88,125,0,24,25,32,0,2,0,0,0,1,257,181,76,28,4,165,17,101,0,7,0,0.05666666666666665,2,2003-01-23 23:30:08,1043364608,6,7,0,43
283,146,193,529,4,10,0,8,1.9166666666666667,74,129,0,197,31,90,6,1,0,0,0,6,74,129,0,197,31,90,6,1,0,0,0,3,500,437,63,17,1,223,5,162,0,14,5,0.00945179584120983,1,2003-01-23 23:35:08,1043364908,4,9,0,20
