,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
664,46,45,179,5,14,0,11,2.0505617977528092,53,3,0,74,26,4,2,6,8,0,2,9,53,3,0,74,26,4,2,6,8,0,2,8,153,119,34,6,1,86,1,68,0,14,2,0.00558659217877095,1,2001-09-18 07:33:19,1000798399,5,8,0,25
665,46,29,122,5,16,0,0,2.5163934426229506,29,1,0,51,9,7,6,17,0,1,1,9,29,1,0,51,9,7,6,17,0,1,1,2,109,85,24,11,0,76,1,46,0,10,4,0.008064516129032258,1,2001-09-18 07:38:19,1000798699,5,7,0,20
666,25,43,173,5,16,0,10,1.8303030303030303,56,4,0,73,8,8,0,16,0,0,0,6,56,4,0,73,8,8,0,16,0,0,0,6,126,89,37,23,6,77,1,60,0,10,0,0.005780346820809247,1,2001-09-18 07:43:19,1000798999,5,8,0,34
667,19,203,300,5,13,0,0,3.975265017667844,34,35,0,28,14,6,29,136,1,0,0,7,34,35,0,28,14,6,29,136,1,0,0,21,254,241,13,8,11,241,2,83,0,7,1,0.006666666666666667,1,2001-09-18 07:48:19,1000799299,5,8,0,8
668,18,12,60,8,13,0,7,1.915254237288136,21,3,0,21,7,1,1,2,0,1,2,9,21,3,0,21,7,1,1,2,0,1,2,5,38,29,9,9,1,32,1,46,0,10,1,0.016666666666666666,1,2001-09-18 07:53:19,1000799599,6,9,0,13
669,52,27,132,5,16,0,15,1.4496124031007749,40,30,0,37,17,1,1,1,0,1,1,9,40,30,0,37,17,1,1,1,0,1,1,10,90,75,15,14,3,82,2,52,0,19,1,0.015151515151515154,1,2001-09-18 07:58:19,1000799899,5,8,0,29
670,74,23,149,7,12,0,7,1.7755102040816326,38,6,0,70,28,0,2,2,0,0,1,9,38,6,0,70,28,0,2,2,0,0,1,13,120,103,17,7,2,73,1,39,0,17,2,0.006711409395973154,1,2001-09-18 08:03:19,1000800199,6,10,0,22
671,21,50,107,5,16,0,6,2.1923076923076925,26,7,0,46,16,2,0,1,1,1,0,13,26,7,0,46,16,2,0,1,1,1,0,9,73,62,11,16,3,69,1,39,0,17,0,0.009345794392523364,1,2001-09-18 08:08:19,1000800499,5,12,0,26
672,22,30,105,4,23,0,10,1.854368932038835,39,2,0,37,20,2,0,0,1,0,0,21,39,2,0,37,20,2,0,0,1,0,0,0,74,46,28,19,2,64,1,31,0,19,1,0.009523809523809523,1,2001-09-18 08:13:19,1000800799,4,10,0,17
673,61,49,180,8,13,0,10,2.258426966292135,25,7,0,67,75,0,0,0,0,0,4,9,25,7,0,67,75,0,0,0,0,0,4,9,147,141,6,12,2,87,1,46,0,10,0,0.005555555555555557,1,2001-09-18 08:18:19,1000801099,7,10,1,50
674,26,14,98,3,11,0,13,1.7708333333333333,27,1,0,47,15,2,2,2,0,0,0,6,27,1,0,47,15,2,2,2,0,0,0,6,68,60,8,9,2,58,0,32,0,14,0,0.0,0,2001-09-18 08:23:19,1000801399,3,8,0,12
675,32,31,112,5,11,0,7,1.7747747747747749,32,17,0,38,13,4,0,4,1,0,2,9,32,17,0,38,13,4,0,4,1,0,2,2,95,73,22,7,1,44,1,42,0,19,5,0.008928571428571428,1,2001-09-18 08:28:19,1000801699,5,10,0,22
676,31,33,94,5,11,0,1,1.8387096774193548,18,7,0,53,9,4,0,0,1,1,0,8,18,7,0,53,9,4,0,0,1,1,0,3,81,67,14,8,1,51,4,37,0,11,0,0.0425531914893617,1,2001-09-18 08:33:19,1000801999,5,7,0,8
677,70,42,156,7,13,0,10,2.2051282051282053,14,14,0,90,17,16,1,0,2,2,0,8,14,14,0,90,17,16,1,0,2,2,0,2,141,139,2,3,0,70,5,63,0,10,0,0.03205128205128205,1,2001-09-18 08:38:19,1000802299,7,9,0,19
678,44,57,171,7,16,0,9,2.4411764705882355,55,7,0,40,19,13,0,33,3,0,0,7,55,7,0,40,19,13,0,33,3,0,0,3,139,102,37,19,1,79,2,74,0,9,0,0.011695906432748536,1,2001-09-18 08:43:19,1000802599,7,9,0,17
679,27,18,102,5,13,0,11,1.9509803921568627,33,6,0,31,10,14,6,0,1,1,0,8,33,6,0,31,10,14,6,0,1,1,0,6,79,63,16,6,0,48,0,49,0,3,0,0.0,0,2001-09-18 08:48:19,1000802899,5,9,0,18
680,40,36,147,5,13,0,1,1.9142857142857144,23,6,0,94,7,3,4,0,3,0,0,7,23,6,0,94,7,3,4,0,3,0,0,13,116,108,8,10,0,74,2,46,0,15,1,0.013605442176870748,1,2001-09-18 08:53:19,1000803199,5,8,0,37
