,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,227,168,1953,5,16,0,19,0.8404669260700389,867,55,0,208,83,45,12,6,4,0,1,12,867,55,0,208,83,45,12,6,4,0,1,762,298,274,24,206,196,668,0,473,0,25,0,0.0,0,2003-01-23 00:00:08,1043280008,5,9,398,1857
1,184,224,1510,4,19,0,25,1.0315789473684212,789,39,0,226,57,83,19,3,8,6,0,15,789,39,0,226,57,83,19,3,8,6,0,590,263,193,70,357,136,745,133,586,2,33,0,0.0880794701986755,3,2003-01-23 02:00:08,1043287208,4,9,69,768
2,116,209,1242,4,19,0,12,1.2433581296493093,578,32,5,149,50,80,19,5,13,6,0,15,578,32,5,149,50,80,19,5,13,6,0,195,377,179,198,357,214,458,161,714,7,31,1,0.12962962962962962,4,2003-01-23 04:00:08,1043294408,4,9,25,739
3,158,220,1354,4,15,0,12,1.0461538461538462,482,180,2,106,73,42,12,3,8,1,0,11,482,180,2,106,73,42,12,3,8,1,0,333,354,282,72,211,217,576,180,625,12,32,6,0.1329394387001477,4,2003-01-23 06:00:08,1043301608,4,11,125,917
4,268,287,1704,7,14,0,49,1.1760184473481936,662,189,0,225,119,39,31,31,3,2,0,8,662,189,0,225,119,39,31,31,3,2,0,432,367,271,96,453,128,658,128,705,5,29,7,0.07511737089201878,3,2003-01-23 08:00:08,1043308808,7,12,206,1189
5,130,155,1465,4,14,0,21,0.8122380553227159,825,109,0,132,49,38,21,0,2,3,0,11,825,109,0,132,49,38,21,0,2,3,0,608,329,238,91,235,162,655,114,675,2,30,8,0.07781569965870308,4,2003-01-23 10:00:08,1043316008,4,9,84,1033
6,161,241,1310,7,19,0,8,1.5813471502590672,508,84,2,141,77,30,91,1,3,1,0,13,508,84,2,141,77,30,91,1,3,1,0,285,519,353,166,153,198,543,107,682,0,42,6,0.0816793893129771,4,2003-01-23 12:00:08,1043323208,5,8,30,672
7,277,238,1478,6,14,0,26,1.4323607427055702,561,104,1,248,93,42,51,3,3,0,3,11,561,104,1,248,93,42,51,3,3,0,3,256,605,446,159,244,177,558,102,751,0,35,6,0.06901217861975642,3,2003-01-23 14:00:08,1043330408,4,9,133,785
8,96,234,1128,5,21,0,26,1.389580973952435,525,40,8,145,70,16,3,21,44,7,3,11,525,40,8,145,70,16,3,21,44,7,3,266,305,226,79,286,133,484,93,476,0,31,11,0.08244680851063829,5,2003-01-23 16:00:08,1043337608,5,9,31,682
9,391,454,2555,4,16,0,84,1.2713619886069394,1012,63,7,552,186,37,10,6,51,0,4,11,1012,63,7,552,186,37,10,6,51,0,4,603,591,442,149,653,520,1119,123,729,3,83,12,0.04814090019569472,3,2003-01-23 18:00:08,1043344808,4,12,100,1557
10,183,788,2383,3,19,0,46,1.2899761336515514,677,673,14,124,35,39,5,0,93,0,8,15,677,673,14,124,35,39,5,0,93,0,8,376,1026,897,129,228,619,1039,85,560,0,27,11,0.03566932438103231,3,2003-01-23 20:00:08,1043352008,3,12,35,666
11,129,138,889,5,16,0,27,1.2885117493472584,473,49,5,123,27,21,29,19,1,0,1,15,473,49,5,123,27,21,29,19,1,0,1,287,279,192,87,173,99,386,37,415,0,27,1,0.04161979752530934,2,2003-01-23 22:00:08,1043359208,5,10,17,550
12,61,63,521,3,20,0,10,1.6340694006309149,171,21,0,57,30,2,4,12,1,2,13,16,171,21,0,57,30,2,4,12,1,2,13,104,119,91,28,84,91,204,0,282,0,13,0,0.0,0,2003-01-24 00:00:09,1043366409,3,9,30,339
13,80,62,758,7,19,0,20,1.0566371681415931,387,30,0,72,26,4,2,13,25,0,4,15,387,30,0,72,26,4,2,13,25,0,4,288,148,109,39,109,98,308,58,352,0,26,2,0.2071428571428572,4,2003-01-24 02:00:09,1043373609,7,10,78,558
14,59,121,630,8,19,0,11,1.1958041958041958,209,66,0,98,23,12,9,0,9,1,2,9,209,66,0,98,23,12,9,0,9,1,2,141,128,99,29,149,101,298,110,327,1,14,8,0.1746031746031746,4,2003-01-24 04:00:09,1043380809,8,9,27,407
15,71,97,712,4,20,0,5,1.2266112266112266,299,32,2,58,34,17,10,7,17,4,1,10,299,32,2,58,34,17,10,7,17,4,1,166,168,93,75,142,132,346,8,379,6,33,14,0.011235955056179777,3,2003-01-24 06:00:09,1043388009,4,11,27,516
16,507,627,2446,3,16,0,169,2.7026041666666667,734,77,4,146,193,45,348,352,5,14,0,11,734,77,4,146,193,45,348,352,5,14,0,331,1064,944,120,356,263,625,0,616,0,46,6,0.0,0,2003-01-24 08:00:09,1043395209,3,8,109,976
17,516,407,3119,4,17,0,19,1.6375895490939738,1420,94,2,22,228,15,582,5,0,3,1,11,1420,94,2,22,228,15,582,5,0,3,1,1221,928,860,68,205,351,1090,0,830,0,50,0,0.0,0,2003-01-24 10:00:09,1043402409,4,10,236,1951
18,304,424,2831,3,15,0,11,1.1120144534778682,1436,114,0,288,80,28,228,7,29,3,0,11,1436,114,0,288,80,28,228,7,29,3,0,1129,478,382,96,596,360,1193,0,854,4,51,23,0.0,0,2003-01-24 12:00:09,1043409609,3,10,155,2697
19,258,343,2412,6,19,0,91,0.7339312406576981,1361,96,2,389,129,6,13,1,4,1,1,15,1361,96,2,389,129,6,13,1,4,1,1,1081,420,313,107,415,315,1120,0,756,0,33,39,0.0,0,2003-01-24 14:00:09,1043416809,5,10,71,1738
20,128,130,1112,5,15,0,51,0.8002070393374742,666,51,0,132,70,18,10,11,4,4,0,8,666,51,0,132,70,18,10,11,4,4,0,451,283,203,80,181,70,657,0,468,0,40,23,0.0,0,2003-01-24 16:00:09,1043424009,5,10,44,463
21,118,114,581,4,19,0,15,2.0743639921722115,255,30,1,70,39,11,17,6,77,2,0,15,255,30,1,70,39,11,17,6,77,2,0,151,196,163,33,149,38,252,0,325,2,18,17,0.0,0,2003-01-24 18:00:09,1043431209,4,11,66,340
22,213,187,1290,3,17,0,26,1.946094609460946,473,117,3,70,69,52,50,1,0,0,2,12,473,117,3,70,69,52,50,1,0,0,2,284,382,345,37,217,217,546,0,528,0,43,8,0.0,0,2003-01-24 20:00:09,1043438409,3,10,138,727
23,83,87,695,4,14,0,4,1.0563139931740615,397,31,1,68,35,9,15,14,7,0,5,15,397,31,1,68,35,9,15,14,7,0,5,247,176,129,47,159,64,343,0,359,0,17,0,0.0,0,2003-01-24 22:00:09,1043445609,4,11,19,434
24,37,46,408,7,14,0,8,1.1282051282051282,132,40,1,20,13,21,4,0,0,0,1,11,132,40,1,20,13,21,4,0,0,0,1,51,84,58,26,91,129,174,0,235,0,6,1,0.0,0,2003-01-25 00:00:04,1043452804,7,10,12,310
25,69,70,703,5,15,0,4,0.967032967032967,285,53,0,53,34,10,3,0,16,0,0,12,285,53,0,53,34,10,3,0,16,0,0,178,125,72,53,148,100,321,18,322,2,11,0,0.16071428571428573,4,2003-01-25 02:00:04,1043460004,5,11,85,513
26,1102,1170,8514,7,19,0,133,1.4559853284428144,3201,443,5,991,599,177,105,350,52,25,7,15,3201,443,5,991,599,177,105,350,52,25,7,2076,2520,1941,579,1269,1290,2625,287,2974,14,222,104,0.03370918487197557,4,2003-01-25 04:00:04,1043467204,6,12,849,5661
27,3536,3946,25588,4,20,1,1618,1.234057251414015,13928,1666,15,3115,1788,459,426,1508,135,32,23,16,13928,1666,15,3115,1788,459,426,1508,135,32,23,8836,8576,6708,1868,4131,1149,4569,581,9549,7,599,252,0.022705955916836017,3,2003-01-25 06:00:04,1043474404,4,12,837,15352
28,2286,2569,14105,3,20,1,319,1.2085090072824838,7531,1124,6,1898,964,349,868,151,77,22,35,12,7531,1124,6,1898,964,349,868,151,77,22,35,4736,4718,3461,1257,3272,668,3558,263,5804,72,365,200,0.018645870258773484,4,2003-01-25 08:00:04,1043481604,3,13,285,8219
29,1166,1211,8941,5,20,1,179,0.9487179487179488,5423,503,14,1056,574,125,323,85,68,4,5,15,5423,503,14,1056,574,125,323,85,68,4,5,3956,2337,1693,644,1718,243,2929,147,3884,41,278,109,0.01644111396935466,3,2003-01-25 10:00:04,1043488804,4,12,341,5920
30,1008,929,6655,7,16,1,523,0.8720761413131151,4103,404,5,942,382,132,114,60,35,2,12,13,4103,404,5,942,382,132,114,60,35,2,12,2626,1573,1083,490,1477,201,1957,86,2711,3,285,66,0.012922614575507136,3,2003-01-25 12:00:04,1043496004,7,11,46,4062
31,467,621,4115,5,21,1,227,0.8413461538461539,2751,277,1,472,193,38,77,75,47,9,7,13,2751,277,1,472,193,38,77,75,47,9,7,1988,1128,792,336,609,94,1185,75,1628,0,246,87,0.018226002430133656,3,2003-01-25 14:00:04,1043503204,5,10,92,2587
32,283,329,3307,5,21,1,192,0.6572632944228275,2406,142,2,218,118,59,41,62,34,0,1,15,2406,142,2,218,118,59,41,62,34,0,1,1797,627,376,251,468,129,1111,111,1299,2,199,67,0.03356516480193529,3,2003-01-25 16:00:04,1043510404,5,14,21,2345
33,457,416,2914,3,19,1,167,0.8095946448493864,1727,386,0,322,108,38,29,59,13,0,4,15,1727,386,0,322,108,38,29,59,13,0,4,1229,762,604,158,531,145,854,105,1123,0,215,43,0.03603294440631435,3,2003-01-25 18:00:04,1043517604,3,9,32,1857
34,363,364,2384,5,17,1,74,0.9084412684234032,1465,150,0,387,68,54,42,45,20,2,6,9,1465,150,0,387,68,54,42,45,20,2,6,1142,497,399,98,526,79,630,64,842,0,170,8,0.026845637583892617,3,2003-01-25 20:00:04,1043524804,5,13,23,1612
35,249,238,2076,10,16,1,150,0.6725175526579741,1440,203,0,191,32,46,31,36,15,0,0,7,1440,203,0,191,32,46,31,36,15,0,0,1083,401,336,65,360,43,436,42,714,0,189,16,0.02023121387283237,2,2003-01-25 22:00:04,1043532004,4,12,11,1524
36,145,347,2509,3,19,1,181,0.8741648106904232,1260,92,0,242,54,38,28,51,28,1,0,15,1260,92,0,242,54,38,28,51,28,1,0,946,507,433,74,162,542,713,49,870,0,168,5,0.03245033112582781,3,2003-01-26 00:00:04,1043539204,3,12,63,1402
37,106,122,1558,7,16,0,73,0.5655930871956011,1005,101,0,53,59,4,3,32,15,1,0,8,1005,101,0,53,59,4,3,32,15,1,0,831,197,162,35,172,96,473,115,536,0,154,0,0.07381258023106547,4,2003-01-26 02:00:04,1043546404,5,14,101,1257
38,88,145,1587,4,16,0,74,0.5279642058165548,1076,40,0,120,48,31,7,9,9,1,0,8,1076,40,0,120,48,31,7,9,9,1,0,883,219,155,64,165,137,416,72,530,0,147,5,0.04536862003780719,4,2003-01-26 04:00:04,1043553604,4,12,25,1240
39,116,125,1052,6,15,0,21,0.9803680981595092,544,56,0,73,66,45,8,4,11,2,2,11,544,56,0,73,66,45,8,4,11,2,2,397,245,194,51,152,109,458,49,524,0,33,10,0.04657794676806084,3,2003-01-26 06:00:04,1043560804,4,11,81,777
40,85,118,907,4,12,0,22,1.1597633136094674,384,91,0,56,75,28,18,16,6,2,0,8,384,91,0,56,75,28,18,16,6,2,0,228,230,179,51,196,114,370,85,504,2,28,0,0.09371554575523704,5,2003-01-26 08:00:04,1043568004,4,11,21,539
41,94,94,981,4,15,0,17,0.7896174863387978,494,93,0,63,23,37,4,12,1,4,0,11,494,93,0,63,23,37,4,12,1,4,0,312,258,162,96,145,171,501,63,436,0,26,6,0.06422018348623854,2,2003-01-26 10:00:04,1043575204,4,11,46,546
42,155,132,1208,12,19,0,42,1.423887587822014,503,54,1,49,65,126,18,22,2,13,0,15,503,54,1,49,65,126,18,22,2,13,0,353,280,227,53,179,170,569,75,549,7,32,0,0.062086092715231786,3,2003-01-26 12:00:04,1043582404,3,10,100,776
43,147,194,1150,6,14,0,26,1.1259418729817008,539,112,0,117,66,43,15,23,5,7,0,15,539,112,0,117,66,43,15,23,5,7,0,431,288,258,30,184,94,473,66,516,22,32,9,0.057391304347826085,4,2003-01-26 14:00:04,1043589604,6,14,30,808
44,172,138,1015,5,15,0,16,1.169250645994832,420,127,0,57,95,37,22,9,0,4,0,12,420,127,0,57,95,37,22,9,0,4,0,297,306,257,49,155,125,461,103,542,7,46,5,0.10147783251231528,3,2003-01-26 16:00:04,1043596804,5,10,13,574
45,90,115,1206,8,16,0,93,0.984047856430708,746,50,0,27,48,59,20,24,15,2,2,12,746,50,0,27,48,59,20,24,15,2,2,546,226,171,55,138,79,444,64,495,2,43,2,0.05306799336650083,4,2003-01-26 18:00:04,1043604004,3,14,30,747
46,183,164,959,16,16,0,28,1.982993197278912,434,52,0,65,110,140,21,5,2,26,1,12,434,52,0,65,110,140,21,5,2,26,1,302,360,306,54,192,44,266,19,471,0,58,1,0.01981230448383733,2,2003-01-26 20:00:04,1043611204,5,9,25,603
47,190,81,845,7,19,0,11,1.4266467065868262,366,50,0,85,113,15,14,6,1,0,0,15,366,50,0,85,113,15,14,6,1,0,0,212,293,225,68,152,138,327,56,452,0,39,3,0.06627218934911243,3,2003-01-26 22:00:04,1043618404,7,14,11,418
48,142,173,908,11,19,0,21,1.5766312594840668,319,71,10,146,41,34,3,14,8,0,0,15,319,71,10,146,41,34,3,14,8,0,0,167,284,216,68,187,166,249,0,461,0,60,5,0.0,0,2003-01-27 00:00:05,1043625605,4,11,18,505
49,146,174,973,3,16,0,7,1.625766871165644,463,37,16,115,84,55,9,2,7,1,0,12,463,37,16,115,84,55,9,2,7,1,0,272,360,235,125,176,97,269,0,469,0,64,0,0.0,0,2003-01-27 02:00:05,1043632805,3,10,37,593
50,79,106,994,4,19,0,27,1.1432791728212703,434,44,6,119,27,16,7,4,0,3,1,15,434,44,6,119,27,16,7,4,0,3,1,285,208,135,73,157,164,444,0,460,0,58,2,0.0,0,2003-01-27 04:00:05,1043640005,4,10,49,657
51,168,251,1570,4,17,0,32,1.5989071038251366,484,34,19,171,103,27,55,1,3,6,1,11,484,34,19,171,103,27,55,1,3,6,1,309,338,253,85,236,241,807,0,636,0,69,2,0.0,0,2003-01-27 06:00:05,1043647205,4,13,28,1018
52,62,89,1507,3,15,0,34,0.4883920894239037,969,33,2,65,55,18,4,5,9,0,0,12,969,33,2,65,55,18,4,5,9,0,0,581,271,85,186,277,204,618,0,688,0,28,0,0.0,0,2003-01-27 08:00:05,1043654405,3,10,113,1170
53,196,194,2019,7,15,0,7,0.7436689314391601,1174,108,11,162,94,37,5,7,15,2,0,11,1174,108,11,162,94,37,5,7,15,2,0,823,403,281,122,386,227,796,0,790,0,44,2,0.0,0,2003-01-27 10:00:05,1043661605,5,11,154,1586
