,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
30,2,6,26,7,9,0,1,1.2727272727272727,14,0,0,0,4,4,0,0,0,0,0,4,14,0,0,0,4,4,0,0,0,0,0,3,12,8,4,6,4,16,4,17,0,0,0,0.15384615384615385,2,2003-01-23 02:30:08,1043289008,7,7,0,24
31,9,3,63,6,9,0,0,0.7192982456140351,45,1,0,1,2,8,0,0,0,0,0,4,45,1,0,1,2,8,0,0,0,0,0,37,16,10,6,4,6,36,9,29,0,0,0,0.14285714285714285,2,2003-01-23 02:35:08,1043289308,4,7,0,28
32,1,3,27,4,9,0,1,0.3461538461538461,22,0,0,3,1,0,0,0,0,0,0,3,22,0,0,3,1,0,0,0,0,0,0,21,1,1,0,3,1,27,1,14,0,1,0,0.037037037037037035,1,2003-01-23 02:40:08,1043289608,4,6,0,20
33,11,0,28,6,9,0,4,1.7692307692307692,12,0,0,4,2,8,0,0,0,0,0,4,12,0,0,4,2,8,0,0,0,0,0,6,13,13,0,3,2,25,5,12,0,2,0,0.17857142857142858,3,2003-01-23 02:45:08,1043289908,6,7,0,11
34,4,15,81,4,10,0,0,0.8354430379746836,59,2,0,3,5,8,1,1,0,0,0,6,59,2,0,3,5,8,1,1,0,0,0,19,31,12,19,29,2,61,16,57,2,2,0,0.19753086419753085,1,2003-01-23 02:50:08,1043290208,4,7,0,7
35,8,10,45,4,8,0,0,0.7111111111111111,27,4,0,14,0,0,0,0,0,0,0,2,27,4,0,14,0,0,0,0,0,0,0,21,10,10,0,14,0,38,1,17,0,0,0,0.022222222222222227,1,2003-01-23 02:55:08,1043290508,4,7,0,14
36,0,4,15,5,9,0,1,1.4666666666666666,9,0,0,0,2,4,0,0,0,0,0,4,9,0,0,0,2,4,0,0,0,0,0,2,6,6,0,6,0,10,0,7,0,1,0,0.0,0,2003-01-23 03:00:08,1043290808,5,7,0,6
37,5,79,100,5,19,0,1,1.9285714285714288,12,2,0,80,0,3,0,0,0,0,0,15,12,2,0,80,0,3,0,0,0,0,0,5,10,5,5,82,2,96,8,19,0,3,0,0.08,3,2003-01-23 03:05:08,1043291108,5,7,0,16
38,7,2,18,7,9,0,0,1.5625,7,1,0,6,0,0,0,2,0,0,0,6,7,1,0,6,0,0,0,2,0,0,0,3,7,6,1,6,2,12,3,14,0,0,0,0.16666666666666666,2,2003-01-23 03:10:08,1043291408,6,6,0,12
39,25,3,53,3,16,0,1,1.62,21,3,0,21,1,1,1,0,0,0,0,12,21,3,0,21,1,1,1,0,0,0,0,3,24,15,9,22,3,28,12,34,0,2,0,0.22641509433962265,3,2003-01-23 03:15:08,1043291708,3,7,0,38
