,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,435,496,3415,5,14,0,117,1.8560558021559923,180,590,0,392,239,85,64,20,0,7,0,8,180,590,0,392,239,85,64,20,0,7,0,10,1329,1289,40,121,1700,760,126,929,0,131,11,0.052109181141439205,4,2001-07-20 00:10:28,995587828,5,10,58,539
1,514,862,2871,4,11,0,170,1.8212048192771084,339,811,0,401,204,150,118,23,12,11,6,9,339,811,0,401,204,150,118,23,12,11,6,58,1607,1520,87,240,660,668,176,848,0,100,2,0.06130268199233716,3,2001-07-20 00:15:28,995588128,4,9,68,399
2,326,434,2490,4,14,0,175,1.3793103448275863,527,532,0,250,78,63,78,25,7,1,5,9,527,532,0,250,78,63,78,25,7,1,5,45,1143,873,270,203,858,601,127,711,0,107,13,0.05100401606425703,3,2001-07-20 00:20:28,995588428,4,8,17,274
3,562,394,2514,8,12,0,70,1.4359897172236504,377,887,2,431,105,62,59,8,3,2,9,10,377,887,2,431,105,62,59,8,3,2,9,59,1740,1501,239,76,542,568,152,676,0,146,18,0.060461416070007955,4,2001-07-20 00:25:28,995588728,8,8,73,547
4,422,545,6705,3,17,0,140,1.4794871794871796,397,583,0,286,154,58,44,30,5,3,0,8,397,583,0,286,154,58,44,30,5,3,0,85,1112,978,134,223,5083,3718,802,1625,0,157,3,0.11959439308082315,3,2001-07-20 00:30:28,995589028,3,9,55,425
5,302,2400,7012,3,17,0,89,1.6185963114754098,583,1700,0,814,484,236,44,17,7,1,0,12,583,1700,0,814,484,236,44,17,7,1,0,391,3298,3217,81,126,2898,3431,157,1473,1,189,44,0.022390188248716487,2,2001-07-20 00:35:28,995589328,3,10,35,882
6,238,392,2316,4,12,0,73,1.2745562130177515,759,362,0,247,186,39,57,7,7,26,0,8,759,362,0,247,186,39,57,7,7,26,0,599,814,766,48,204,537,504,39,645,0,62,19,0.01683937823834197,5,2001-07-20 00:40:28,995589628,4,9,41,753
7,306,401,1694,4,15,0,69,1.6266666666666667,358,442,1,231,152,80,59,10,2,3,10,12,358,442,1,231,152,80,59,10,2,3,10,207,902,853,49,172,274,456,29,524,0,50,22,0.017119244391971666,2,2001-07-20 00:45:28,995589928,4,11,16,339
8,442,751,3858,6,17,0,212,1.5230263157894737,929,486,2,504,175,183,57,41,40,13,2,10,929,486,2,504,175,183,57,41,40,13,2,623,1482,1397,85,115,1353,976,61,932,3,105,69,0.01580720393884426,3,2001-07-20 00:50:28,995590228,6,12,70,1083
9,1006,1012,3428,5,16,0,71,1.915551306564691,463,658,0,1218,505,176,76,18,11,2,5,13,463,658,0,1218,505,176,76,18,11,2,5,266,2436,2327,109,365,255,963,27,841,17,106,34,0.007876312718786464,3,2001-07-20 00:55:28,995590528,5,12,75,1142
