,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,24,40,467,5,13,0,22,1.5493827160493827,45,33,0,57,13,10,0,3,1,0,0,7,45,33,0,57,13,10,0,3,1,0,0,20,92,89,3,28,211,186,0,212,0,27,3,0.0,0,2001-07-17 00:05:52,995328352,5,10,11,164
1,43,64,445,4,14,0,35,1.3135888501742161,106,60,0,84,16,14,2,2,2,0,1,9,106,60,0,84,16,14,2,2,2,0,1,57,166,152,14,29,132,124,0,217,0,41,2,0.0,0,2001-07-17 00:10:52,995328652,3,9,3,104
2,122,84,733,7,14,0,49,1.6902439024390243,126,85,0,122,35,15,13,4,0,0,0,11,126,85,0,122,35,15,13,4,0,0,0,35,263,221,42,63,301,301,45,262,0,75,11,0.0696594427244582,3,2001-07-17 00:15:52,995328952,7,10,1,142
3,661,881,2745,4,13,0,56,1.9196217494089836,119,148,0,1741,39,43,15,6,3,0,1,9,119,148,0,1741,39,43,15,6,3,0,1,38,1930,1908,22,91,614,331,49,318,0,89,13,0.017844136926438457,5,2001-07-17 00:20:52,995329252,4,10,7,168
4,123,196,803,13,18,0,80,1.5280289330922243,172,128,0,157,62,8,10,4,2,0,8,14,172,128,0,157,62,8,10,4,2,0,8,77,348,335,13,48,238,229,64,308,0,55,22,0.07970112079701121,6,2001-07-17 00:25:52,995329552,7,10,5,162
5,123,165,998,5,16,0,107,1.2504012841091492,225,155,3,178,39,10,9,0,1,0,2,11,225,155,3,178,39,10,9,0,1,0,2,104,369,358,11,43,331,319,45,230,0,67,14,0.045090180360721446,4,2001-07-17 00:30:52,995329852,5,10,6,208
6,209,220,922,5,15,0,128,1.621476510067114,217,186,0,204,71,31,8,3,1,4,20,9,217,186,0,204,71,31,8,3,1,4,20,74,478,468,10,65,131,317,34,279,0,70,10,0.0368763557483731,3,2001-07-17 00:35:52,995330152,5,8,17,220
7,221,198,803,9,15,0,129,2.115862068965517,168,178,0,220,36,53,7,3,3,4,47,12,168,178,0,220,36,53,7,3,3,4,47,35,443,440,3,118,57,231,41,247,0,48,34,0.05105853051058531,4,2001-07-17 00:40:52,995330452,7,11,2,116
8,740,572,1732,5,14,0,69,1.6291390728476822,225,423,0,831,138,17,23,4,0,0,0,6,225,423,0,831,138,17,23,4,0,0,0,153,1422,1419,3,17,60,310,29,292,0,82,18,0.01674364896073903,2,2001-07-17 00:45:52,995330752,5,10,41,213
9,87,271,892,5,17,0,48,1.654970760233918,119,203,0,286,23,28,3,7,6,4,5,9,119,203,0,286,23,28,3,7,6,4,5,61,517,507,10,58,174,398,66,288,0,68,6,0.07399103139013453,4,2001-07-17 00:50:52,995331052,5,14,4,153
10,123,127,662,9,14,0,47,1.8848484848484848,124,125,0,121,39,44,11,5,20,6,0,8,124,125,0,121,39,44,11,5,20,6,0,57,349,329,20,42,136,190,73,302,0,64,26,0.11027190332326284,4,2001-07-17 00:55:52,995331352,9,12,5,144
11,249,217,1191,6,14,0,89,1.6776084407971863,189,231,1,276,77,38,3,32,3,0,3,10,189,231,1,276,77,38,3,32,3,0,3,51,687,640,47,26,276,315,90,427,0,47,32,0.07556675062972293,3,2001-07-17 01:00:52,995331652,6,12,4,271
12,124,162,701,3,14,0,45,2.0286298568507157,109,126,0,118,28,49,25,16,15,3,0,8,109,126,0,118,28,49,25,16,15,3,0,48,299,289,10,97,172,274,37,246,0,32,9,0.052781740370898715,3,2001-07-17 01:05:52,995331952,3,10,6,180
13,179,259,1154,6,13,0,39,1.827991452991453,206,154,0,360,47,156,8,3,2,0,0,7,206,154,0,360,47,156,8,3,2,0,0,152,697,685,12,48,129,364,17,301,0,53,4,0.014731369150779897,2,2001-07-17 01:10:52,995332252,6,10,2,194
14,81,55,446,5,14,0,54,1.3826815642458101,114,87,0,102,31,14,7,1,2,0,0,7,114,87,0,102,31,14,7,1,2,0,0,41,226,214,12,37,67,118,31,219,0,51,21,0.06950672645739911,3,2001-07-17 01:15:52,995332552,5,10,1,116
15,92,192,657,5,14,0,40,1.7753479125248508,107,104,0,202,39,20,5,19,7,0,0,7,107,104,0,202,39,20,5,19,7,0,0,59,349,342,7,55,140,251,52,249,0,71,4,0.0791476407914764,2,2001-07-17 01:20:52,995332852,5,8,1,123
16,150,135,733,4,14,0,46,1.6088435374149659,138,171,0,190,39,16,17,2,3,12,0,8,138,171,0,190,39,16,17,2,3,12,0,68,427,409,18,47,131,230,39,269,0,51,3,0.05320600272851296,2,2001-07-17 01:25:52,995333152,4,10,14,153
17,215,191,826,5,13,0,73,1.658311345646438,179,286,1,108,69,63,39,4,6,2,1,10,179,286,1,108,69,63,39,4,6,2,1,88,508,495,13,89,46,230,23,257,0,43,16,0.02784503631961259,3,2001-07-17 01:30:52,995333452,3,9,4,152
18,289,330,1126,10,14,0,146,1.8032596041909197,204,54,1,473,51,28,26,10,12,0,0,10,204,54,1,473,51,28,26,10,12,0,0,48,608,599,9,57,210,401,55,215,0,42,1,0.04884547069271759,3,2001-07-17 01:35:52,995333752,10,11,1,149
19,157,243,941,7,16,0,53,1.9755395683453238,125,184,1,164,111,63,30,8,6,1,2,10,125,184,1,164,111,63,30,8,6,1,2,50,554,534,20,38,228,209,77,382,0,44,26,0.0818278427205101,5,2001-07-17 01:40:52,995334052,7,11,0,130
20,277,220,1124,4,14,0,147,2.2715765247410817,240,151,4,233,40,34,86,21,22,17,8,11,240,151,4,233,40,34,86,21,22,17,8,71,563,546,17,88,234,311,61,369,0,79,20,0.054270462633451956,2,2001-07-17 01:45:52,995334352,4,9,23,146
21,167,373,1713,4,17,0,188,1.7417371252882399,249,497,0,235,181,58,46,12,6,5,5,15,249,497,0,235,181,58,46,12,6,5,5,39,977,959,18,97,393,554,36,384,0,74,28,0.021015761821366025,2,2001-07-17 01:50:52,995334652,4,10,1,158
22,179,126,628,5,16,0,69,1.8601769911504424,160,127,0,120,72,49,14,3,5,6,4,13,160,127,0,120,72,49,14,3,5,6,4,55,380,352,28,61,57,191,21,264,0,70,24,0.03343949044585987,3,2001-07-17 01:55:52,995334952,3,13,0,184
23,64,74,316,4,15,0,34,1.9423076923076923,67,62,1,68,20,11,15,6,3,4,2,11,67,62,1,68,20,11,15,6,3,4,2,26,172,166,6,28,47,117,22,167,0,22,3,0.06962025316455696,3,2001-07-17 02:00:52,995335252,4,11,0,40
24,81,103,470,7,17,0,33,1.8342245989304813,86,78,0,106,45,44,6,8,1,0,0,7,86,78,0,106,45,44,6,8,1,0,0,43,270,263,7,28,66,172,41,227,0,29,7,0.08723404255319149,2,2001-07-17 02:05:52,995335552,7,8,3,104
25,121,169,491,8,15,0,26,2.2195121951219514,69,135,0,93,62,47,15,7,12,2,5,11,69,135,0,93,62,47,15,7,12,2,5,27,340,327,13,58,36,185,13,200,0,47,13,0.026476578411405296,2,2001-07-17 02:10:52,995335852,7,10,0,107
26,159,143,622,7,15,0,81,1.6456140350877193,160,193,6,108,44,28,15,2,1,2,3,11,160,193,6,108,44,28,15,2,1,2,3,55,359,335,24,75,47,160,22,203,0,71,69,0.03536977491961415,2,2001-07-17 02:15:52,995336152,7,10,1,105
27,283,327,1131,6,14,0,19,1.8514531754574812,107,63,0,688,33,18,15,0,5,0,0,7,107,63,0,688,33,18,15,0,5,0,0,83,781,779,2,46,90,289,57,225,0,50,5,0.050397877984084884,2,2001-07-17 02:20:52,995336452,6,12,1,167
28,83,61,347,4,15,0,37,1.881294964028777,65,85,0,45,28,33,10,6,3,2,1,9,65,85,0,45,28,33,10,6,3,2,1,17,188,180,8,36,53,135,36,221,0,21,16,0.1037463976945245,2,2001-07-17 02:25:52,995336752,4,12,0,79
29,186,160,1026,4,14,0,46,1.7513227513227514,104,169,0,145,92,38,11,5,3,0,0,7,104,169,0,145,92,38,11,5,3,0,0,33,435,411,24,53,432,413,106,296,0,70,28,0.10331384015594541,3,2001-07-17 02:30:52,995337052,4,9,2,194
30,234,345,1088,6,15,0,56,1.8907048008171603,156,289,1,225,218,52,13,16,3,2,1,11,156,289,1,225,218,52,13,16,3,2,1,75,799,782,17,49,76,358,38,368,0,45,9,0.034926470588235295,3,2001-07-17 02:35:52,995337352,6,9,7,128
31,489,577,1874,5,17,0,130,2.055591054313099,285,287,1,367,474,77,21,26,22,4,1,10,285,287,1,367,474,77,21,26,22,4,1,85,1246,1183,63,104,279,583,82,486,0,46,58,0.04375667022411953,3,2001-07-17 02:40:52,995337652,5,11,8,144
32,231,196,864,6,14,0,71,1.7223719676549865,149,253,4,172,91,43,9,6,5,10,0,10,149,253,4,172,91,43,9,6,5,10,0,48,515,491,24,108,98,237,39,323,0,46,13,0.04513888888888889,3,2001-07-17 02:45:52,995337952,6,10,9,211
33,225,221,1328,5,15,0,164,1.7301927194860813,226,284,4,197,106,55,33,15,7,7,0,10,226,284,4,197,106,55,33,15,7,7,0,45,668,653,15,57,374,328,67,372,0,53,16,0.050451807228915665,2,2001-07-17 02:50:52,995338252,5,14,0,226
34,431,270,1098,8,13,0,34,1.841254752851711,162,283,0,432,30,48,82,11,1,2,1,9,162,283,0,432,30,48,82,11,1,2,1,52,908,835,73,58,37,280,38,366,0,65,91,0.03460837887067395,3,2001-07-17 02:55:52,995338552,5,9,10,248
35,217,257,1022,7,14,0,64,2.33117723156533,140,140,9,260,94,52,20,12,14,15,8,12,140,140,9,260,94,52,20,12,14,15,8,65,553,551,2,91,186,268,83,336,0,86,5,0.0812133072407045,2,2001-07-17 03:00:52,995338852,5,12,0,186
36,954,1046,2965,5,15,0,252,1.69971870604782,468,224,2,1968,131,16,26,0,7,0,2,10,468,224,2,1968,131,16,26,0,7,0,2,43,2487,2318,169,62,118,445,58,289,0,111,68,0.019561551433389546,3,2001-07-17 03:05:52,995339152,5,9,1,122
37,556,1973,6190,4,22,0,65,1.6491228070175439,148,2226,9,554,198,68,55,35,12,23,7,20,148,2226,9,554,198,68,55,35,12,23,7,49,3042,3010,32,207,2774,3054,583,1237,0,125,43,0.09418416801292408,4,2001-07-17 03:10:52,995339452,4,10,29,275
38,113,105,470,4,16,0,35,1.6262626262626263,100,97,0,119,40,25,8,3,2,1,1,9,100,97,0,119,40,25,8,3,2,1,1,52,284,271,13,25,59,132,13,221,0,69,23,0.027659574468085105,2,2001-07-17 03:15:52,995339752,4,10,3,71
39,114,79,498,4,15,0,49,1.2304038004750595,123,169,0,69,39,13,6,2,0,0,0,6,123,169,0,69,39,13,6,2,0,0,0,39,299,264,35,34,63,179,11,203,0,29,1,0.02208835341365462,2,2001-07-17 03:20:52,995340052,4,11,26,129
40,194,270,814,6,12,0,49,2.07703081232493,147,162,1,178,116,46,7,13,43,0,1,10,147,162,1,178,116,46,7,13,43,0,1,61,545,520,25,59,79,187,27,301,0,26,29,0.033169533169533166,3,2001-07-17 03:25:52,995340352,6,10,11,83
41,257,182,725,4,20,0,26,1.9778481012658229,85,241,5,154,50,34,44,9,5,2,0,15,85,241,5,154,50,34,44,9,5,2,0,51,500,495,5,55,85,249,21,280,0,37,15,0.028925619834710745,2,2001-07-17 03:30:52,995340652,4,11,11,140
42,133,137,634,4,14,0,79,2.632183908045977,122,114,49,92,89,25,10,9,5,0,0,12,122,114,49,92,89,25,10,9,5,0,0,34,348,340,8,61,102,273,30,203,0,39,19,0.0473186119873817,2,2001-07-17 03:35:52,995340952,4,13,1,64
43,170,286,867,4,11,0,28,1.8758278145695364,67,260,2,134,48,26,65,2,0,0,0,10,67,260,2,134,48,26,65,2,0,0,0,32,502,495,7,42,239,397,107,311,0,56,2,0.12341407151095732,2,2001-07-17 03:40:52,995341252,4,9,0,105
44,161,160,547,4,14,0,26,4.058441558441558,51,121,2,105,31,24,8,10,4,2,1,12,51,121,2,105,31,24,8,10,4,2,1,19,365,362,3,52,80,191,12,220,0,38,6,0.021937842778793418,2,2001-07-17 03:45:52,995341552,4,9,2,94
45,133,169,669,6,15,0,17,1.6935483870967742,68,175,0,151,58,33,10,0,1,0,0,7,68,175,0,151,58,33,10,0,1,0,0,45,381,375,6,53,129,174,20,278,0,47,10,0.029895366218236172,2,2001-07-17 03:50:52,995341852,6,9,1,141
46,122,104,513,5,16,0,51,1.621761658031088,101,101,0,101,40,20,19,1,2,1,0,8,101,101,0,101,40,20,19,1,2,1,0,35,260,246,14,40,116,187,21,232,0,41,25,0.04093567251461988,2,2001-07-17 03:55:52,995342152,5,9,2,114
47,170,114,559,6,15,0,39,1.951271186440678,99,131,1,105,71,22,12,11,17,3,0,10,99,131,1,105,71,22,12,11,17,3,0,43,337,321,16,53,84,221,29,301,0,41,3,0.0518783542039356,1,2001-07-17 04:00:52,995342452,4,12,5,110
48,435,391,1472,4,13,0,99,1.9298093587521663,226,169,2,518,112,56,12,38,15,5,1,10,226,169,2,518,112,56,12,38,15,5,1,58,896,830,66,101,302,367,38,413,0,84,19,0.025815217391304348,3,2001-07-17 04:05:52,995342752,4,12,2,199
49,406,604,1570,7,14,0,136,1.6216017634092579,202,320,0,743,60,18,6,1,2,0,1,12,202,320,0,743,60,18,6,1,2,0,1,51,1125,1111,14,49,201,295,34,289,0,70,11,0.02165605095541401,3,2001-07-17 04:10:52,995343052,7,8,5,143
50,184,250,929,5,14,0,66,1.6917613636363635,135,177,0,240,93,45,12,1,0,0,1,9,135,177,0,240,93,45,12,1,0,0,1,56,541,528,13,41,206,253,31,289,0,41,23,0.03336921420882669,2,2001-07-17 04:15:52,995343352,5,9,3,137
51,162,240,1065,4,14,0,103,1.7708095781071835,238,160,1,312,82,21,23,12,5,0,23,10,238,160,1,312,82,21,23,12,5,0,23,53,547,505,42,174,111,296,32,361,0,40,19,0.03004694835680751,3,2001-07-17 04:20:52,995343652,4,11,7,219
52,281,460,2026,4,16,0,52,1.646039603960396,134,582,0,265,105,67,54,5,0,0,0,6,134,582,0,265,105,67,54,5,0,0,0,54,998,971,27,108,739,856,136,494,0,56,59,0.06712734452122408,2,2001-07-17 04:25:52,995343952,4,12,22,304
53,126,264,802,12,16,0,39,2.277586206896552,81,127,2,169,85,50,42,5,11,8,0,10,81,127,2,169,85,50,42,5,11,8,0,19,491,478,13,31,134,291,32,352,0,37,2,0.0399002493765586,2,2001-07-17 04:30:52,995344252,6,13,10,163
