,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,0,6,22,11,12,0,0,2.0,0,3,0,1,3,0,0,0,0,0,0,3,0,3,0,1,3,0,0,0,0,0,0,0,7.0,7,0,0,15,15,0,13,0,1,0,0.0,0,2001-07-19 00:06:11,995501171,7,8,0,1
1,1,0,1,12,12,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0,0.0,0,2001-07-19 00:07:11,995501231,16,8,0,6
2,0,4,16,6,7,0,0,2.0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,5.0,5,0,0,11,11,0,5,0,2,0,0.0,0,2001-07-19 00:08:11,995501291,6,6,0,0
3,0,4,10,5,5,0,0,1.0,4,0,0,4,0,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,8.0,4,4,0,2,6,0,3,0,1,0,0.0,0,2001-07-19 00:09:11,995501351,5,5,0,2
4,1,0,7,11,10,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,6,7,0,0,0,4,0,0.0,0,2001-07-19 00:10:11,995501411,9,8,0,0
5,0,0,2,8,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,2,0,2,0,0,0,0.0,0,2001-07-19 00:11:11,995501471,9,6,0,2
6,2,0,11,11,10,0,4,0.8571428571428571,5,0,0,1,0,1,0,0,0,0,0,4,5,0,0,1,0,1,0,0,0,0,0,1,2.0,2,0,0,4,9,0,7,0,2,0,0.0,0,2001-07-19 00:12:11,995501531,8,8,0,64
7,4,7,17,4,8,0,1,2.076923076923077,2,0,0,9,1,0,0,1,0,0,0,6,2,0,0,9,1,0,0,1,0,0,0,1,11.0,11,0,0,4,11,0,7,0,4,0,0.0,0,2001-07-19 00:13:11,995501591,4,7,0,190
8,0,1,5,6,10,0,0,3.0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,2.0,1,1,0,3,5,0,3,0,1,1,0.0,0,2001-07-19 00:14:11,995501651,5,7,0,62
9,9,0,25,6,11,0,0,1.4285714285714286,4,0,0,10,0,0,0,0,0,0,0,2,4,0,0,10,0,0,0,0,0,0,0,1,12.0,9,3,1,11,17,0,6,0,2,0,0.0,0,2001-07-19 00:15:11,995501711,6,9,0,0
10,1,11,25,5,11,0,7,1.3181818181818181,8,0,0,13,1,0,0,0,0,0,0,3,8,0,0,13,1,0,0,0,0,0,0,0,15.0,14,1,0,3,24,0,8,0,3,0,0.0,0,2001-07-19 00:16:11,995501771,5,9,0,0
11,5,4,17,6,11,0,4,2.466666666666667,5,0,0,6,1,0,0,1,0,2,0,8,5,0,0,6,1,0,0,1,0,2,0,0,10.0,9,1,1,2,12,0,9,0,3,0,0.0,0,2001-07-19 00:17:11,995501831,6,9,0,2
12,4,0,8,7,7,0,2,1.125,3,2,0,2,1,0,0,0,0,0,0,3,3,2,0,2,1,0,0,0,0,0,0,0,6.0,5,1,0,0,5,0,6,0,0,0,0.0,0,2001-07-19 00:18:11,995501891,7,7,0,3
13,5,2,13,5,8,0,0,1.5833333333333333,3,2,0,6,0,0,1,0,0,0,0,5,3,2,0,6,0,0,1,0,0,0,0,3,9.0,9,0,0,1,12,0,4,0,2,0,0.0,0,2001-07-19 00:19:11,995501951,5,8,0,2
14,5,9,20,6,7,0,0,1.631578947368421,4,1,0,13,0,1,0,0,0,0,0,4,4,1,0,13,0,1,0,0,0,0,0,0,18.0,14,4,1,0,11,0,3,0,5,0,0.0,0,2001-07-19 00:20:11,995502011,6,7,0,2
15,2,1,11,6,10,0,1,2.5,1,0,0,4,2,0,0,1,0,0,0,6,1,0,0,4,2,0,0,1,0,0,0,0,7.0,7,0,0,3,7,0,9,0,0,0,0.0,0,2001-07-19 00:21:11,995502071,6,6,0,5
16,4,0,11,6,12,0,4,2.1,5,1,0,1,0,1,0,0,2,0,0,7,5,1,0,1,0,1,0,0,2,0,0,1,5.0,5,0,0,1,7,0,8,0,1,0,0.0,0,2001-07-19 00:22:11,995502131,5,9,0,6
17,1,1,4,6,5,0,0,1.6666666666666667,1,0,0,1,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,3.0,2,1,0,0,3,0,1,0,3,0,0.0,0,2001-07-19 00:23:11,995502191,6,5,0,2
18,4,0,6,6,6,0,0,2.0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,6.0,6,0,0,0,5,0,2,0,1,0,0.0,0,2001-07-19 00:24:11,995502251,6,6,0,2
19,3,6,26,5,10,0,0,1.2380952380952381,12,2,0,5,0,0,0,0,2,0,0,7,12,2,0,5,0,0,0,0,2,0,0,1,18.0,7,11,2,2,20,0,11,0,3,1,0.0,0,2001-07-19 00:25:11,995502311,5,7,0,1
20,1,2,25,10,11,0,1,2.5,1,1,0,1,0,0,0,0,1,0,0,7,1,1,0,1,0,0,0,0,1,0,0,0,1.0,1,0,2,20,25,0,6,0,1,0,0.0,0,2001-07-19 00:26:11,995502371,6,8,0,1
21,1,0,8,6,7,0,2,1.1666666666666667,3,0,0,2,1,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,1,3.0,3,0,0,2,5,0,6,0,0,0,0.0,0,2001-07-19 00:27:11,995502431,6,7,0,1
22,0,0,7,11,11,0,0,0.2857142857142857,6,0,0,1,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,5,1.0,1,0,1,0,7,0,4,0,1,0,0.0,0,2001-07-19 00:28:11,995502491,7,7,0,0
23,0,1,5,7,6,0,4,1.6,4,0,0,0,0,0,0,0,0,1,0,8,4,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,0,0,5,0,2,0,1,0,0.0,0,2001-07-19 00:29:11,995502551,7,6,0,2
24,0,0,7,3,6,0,3,0.0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,7,0,1,0,1,0,0.0,0,2001-07-19 00:30:11,995502611,3,6,0,3
25,5,0,8,8,8,0,0,2.8,0,0,0,4,0,0,0,1,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,5.0,5,0,0,3,8,0,3,0,0,0,0.0,0,2001-07-19 00:31:11,995502671,7,7,0,0
26,0,0,7,6,8,0,5,0.8571428571428571,5,0,0,1,0,1,0,0,0,0,0,4,5,0,0,1,0,1,0,0,0,0,0,0,,0,0,2,0,7,0,4,0,0,0,0.0,0,2001-07-19 00:32:11,995502731,7,7,0,10
27,5,1,179,6,10,0,0,2.0,0,1,0,6,1,0,0,0,0,0,0,3,0,1,0,6,1,0,0,0,0,0,0,0,7.0,7,0,1,171,178,0,49,1,2,0,0.0,0,2001-07-19 00:33:11,995502791,6,9,2,27
28,5,12,108,6,16,0,26,2.4583333333333335,28,4,0,4,0,0,0,5,2,1,0,14,28,4,0,4,0,0,0,5,2,1,0,2,15.0,15,0,5,59,99,0,43,1,0,0,0.0,0,2001-07-19 00:34:11,995502851,6,9,0,23
29,142,2,868,6,16,0,117,0.7245283018867924,120,137,0,2,0,0,2,1,0,1,0,14,120,137,0,2,0,0,2,1,0,1,0,2,146.0,145,1,0,603,694,0,246,1,5,0,0.0,0,2001-07-19 00:35:11,995502911,6,7,0,2
30,458,124,673,7,10,0,9,2.273006134969325,9,458,0,21,11,40,31,2,18,62,0,8,9,458,0,21,11,40,31,2,18,62,0,0,642.0,642,0,1,2,658,10,153,0,4,0,0.014858841010401188,5,2001-07-19 00:36:11,995502971,7,9,0,15
31,3,567,629,6,9,0,7,1.0850722311396468,22,550,0,33,15,0,3,0,0,0,0,5,22,550,0,33,15,0,3,0,0,0,0,15,600.0,600,0,1,6,626,4,161,0,4,0,0.006359300476947536,3,2001-07-19 00:37:11,995503031,6,9,0,2
