,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,124,47,253,5,20,0,0,3.6371681415929205,18,57,0,56,32,7,2,8,10,7,0,17,18,57,0,56,32,7,2,8,10,7,0,0,224,206,18,2,27,206,0,100,2,11,7,0.0,0,2011-03-09 00:00:03,1299628803,5,7,0,31
1,92,106,355,4,14,0,0,1.4364161849710984,12,232,0,80,11,1,6,0,0,2,0,11,12,232,0,80,11,1,6,0,0,2,0,3,337,328,9,6,9,219,0,100,0,3,4,0.0,0,2011-03-09 00:05:03,1299629103,4,8,0,14
2,97,90,413,4,12,0,0,1.8190709046454767,16,313,0,22,24,4,5,0,1,1,0,12,16,313,0,22,24,4,5,0,1,1,0,5,400,389,11,4,4,204,0,83,0,7,7,0.0,0,2011-03-09 00:10:03,1299629403,4,8,0,28
3,35,66,117,4,20,0,0,2.517857142857143,6,61,0,6,23,3,4,0,0,3,0,16,6,61,0,6,23,3,4,0,0,3,0,3,102,99,3,7,5,87,0,58,0,3,3,0.0,0,2011-03-09 00:15:03,1299629703,4,6,0,8
4,128,140,397,4,15,0,0,2.1023622047244093,11,268,0,10,12,16,2,36,24,1,0,11,11,268,0,10,12,16,2,36,24,1,0,9,359,357,2,13,16,219,0,75,0,15,5,0.0,0,2011-03-09 00:20:03,1299630003,4,7,0,25
5,89,53,268,5,12,0,0,1.4486692015209126,8,214,1,11,6,2,19,0,2,0,0,10,8,214,1,11,6,2,19,0,2,0,0,4,251,249,2,8,5,162,0,51,0,13,2,0.0,0,2011-03-09 00:25:03,1299630303,5,8,0,25
6,78,53,194,8,12,0,0,1.5935828877005347,4,145,2,17,6,2,6,0,3,0,0,11,4,145,2,17,6,2,6,0,3,0,0,2,167,165,2,18,7,167,0,44,0,13,2,0.0,0,2011-03-09 00:30:03,1299630603,5,7,0,15
7,61,92,358,5,12,0,0,1.3559322033898304,7,293,0,24,14,10,2,0,0,1,0,13,7,293,0,24,14,10,2,0,0,1,0,7,342,342,0,5,4,218,0,68,2,5,1,0.0,0,2011-03-09 00:35:03,1299630903,4,6,0,12
8,31,25,157,4,11,0,0,1.7870967741935484,11,69,0,47,11,6,10,0,1,0,0,7,11,69,0,47,11,6,10,0,1,0,0,6,142,137,5,7,2,129,0,66,0,5,4,0.0,0,2011-03-09 00:40:03,1299631203,4,7,0,34
9,55,48,175,4,15,0,0,1.6494252873563218,3,119,0,28,16,0,5,0,0,0,0,13,3,119,0,28,16,0,5,0,0,0,0,2,166,165,1,6,1,125,0,41,0,5,1,0.0,0,2011-03-09 00:45:03,1299631503,4,6,0,9
