,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,56,34,2564,6,22,0,1871,0.2061808118081181,1935,144,0,26,42,4,2,11,0,3,1,9,1935,144,0,26,42,4,2,11,0,3,1,24,266,226,40,7,374,396,105,830,0,50,3,0.0670926517571885,3,2005-05-24 00:00:09,1116892809,6,8,37,74
1,59,67,2338,4,18,0,2058,0.22945804195804195,2131,34,8,36,33,15,8,21,2,0,0,10,2131,34,8,36,33,15,8,21,2,0,0,23,193,143,50,14,49,250,103,638,0,40,1,0.044054747647562016,3,2005-05-24 00:05:09,1116893109,4,8,83,166
2,31,56,2308,5,18,0,2070,0.14059056853239313,2148,41,0,27,26,5,6,16,0,0,0,6,2148,41,0,27,26,5,6,16,0,0,0,29,160,111,49,10,38,239,107,594,0,52,0,0.04636048526863085,6,2005-05-24 00:10:09,1116893409,5,9,25,50
3,22,31,2504,4,18,0,2306,0.08745402533714752,2365,37,0,22,10,4,2,0,0,0,0,11,2365,37,0,22,10,4,2,0,0,0,0,18,103,62,41,20,57,260,78,568,0,50,2,0.031150159744408944,5,2005-05-24 00:15:09,1116893709,4,9,39,78
4,32,36,2214,3,19,0,1980,0.13638443935926772,2069,48,0,39,10,3,2,1,0,5,7,11,2069,48,0,39,10,3,2,1,0,5,7,20,181,112,69,4,26,229,67,538,0,56,1,0.03026196928635953,4,2005-05-24 00:20:09,1116894009,3,8,41,82
5,45,98,2740,4,19,0,2272,0.2424581005586592,2346,194,0,62,54,4,5,15,0,5,0,8,2346,194,0,62,54,4,5,15,0,5,0,31,373,330,43,9,54,418,75,788,0,40,2,0.02737226277372263,3,2005-05-24 00:25:09,1116894309,4,8,30,60
6,63,41,2508,5,19,0,2158,0.20963855421686747,2215,170,0,28,52,6,2,15,0,2,0,8,2215,170,0,28,52,6,2,15,0,2,0,19,286,248,38,27,15,355,27,652,0,64,43,0.01076555023923445,4,2005-05-24 00:30:09,1116894609,5,8,57,114
7,33,34,2190,5,22,0,1970,0.11476168440536788,2058,47,0,16,26,3,5,0,0,5,0,14,2058,47,0,16,26,3,5,0,0,5,0,26,160,98,62,5,17,233,61,550,0,52,2,0.027853881278538814,3,2005-05-24 00:35:09,1116894909,5,7,41,82
8,23,39,2428,4,19,0,2092,0.13008474576271187,2183,67,0,98,9,1,1,0,0,1,0,8,2183,67,0,98,9,1,1,0,0,1,0,43,204,158,46,21,68,279,87,524,0,60,3,0.035831960461285006,4,2005-05-24 00:40:09,1116895209,4,6,41,82
9,33,30,1992,4,19,0,1794,0.1705348133198789,1856,38,0,46,20,4,0,10,1,5,0,13,1856,38,0,46,20,4,0,10,1,5,0,16,165,120,45,7,7,245,38,524,0,54,2,0.019076305220883535,3,2005-05-24 00:45:09,1116895509,4,8,26,52
10,41,44,1922,4,17,0,1720,0.16342616920651604,1793,30,0,26,28,5,1,20,0,0,0,6,1793,30,0,26,28,5,1,20,0,0,0,33,145,106,39,5,18,218,25,514,0,48,0,0.013007284079084287,2,2005-05-24 00:50:09,1116895809,4,8,54,108
11,33,35,1976,6,19,0,1776,0.14022517911975435,1849,39,0,23,25,2,1,10,0,4,1,9,1849,39,0,23,25,2,1,10,0,4,1,25,144,97,47,9,21,225,66,552,0,50,1,0.03340080971659919,3,2005-05-24 00:55:09,1116896109,6,8,24,48
