,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,117,143,7184,4,22,0,6244,0.13030125767768352,6481,138,0,98,60,19,12,6,8,11,0,13,6481,138,0,98,60,19,12,6,8,11,0,101,449,314,135,44,323,346,216,1778,0,130,31,0.0349232012934519,5,2005-05-26 00:00:09,1117065609,4,10,181,362
1,102,138,6814,4,19,0,5682,0.1306532663316583,6085,283,0,132,42,4,1,5,4,8,0,17,6085,283,0,132,42,4,1,5,4,8,0,137,680,415,265,68,225,487,243,1586,0,130,15,0.03566187261520399,4,2005-05-26 00:15:09,1117066509,4,8,217,434
2,116,148,6716,4,19,0,5952,0.11833333333333333,6209,154,0,171,35,6,18,1,2,0,0,12,6209,154,0,171,35,6,18,1,2,0,0,119,485,348,137,44,106,390,269,1730,0,114,28,0.04005360333531864,3,2005-05-26 00:30:09,1117067409,4,9,153,306
3,144,141,7456,4,22,0,6567,0.12341072415699281,6776,255,1,107,54,13,14,4,1,8,0,12,6776,255,1,107,54,13,14,4,1,8,0,83,548,422,126,38,218,479,238,1898,0,114,3,0.0319206008583691,5,2005-05-26 00:45:09,1117068309,4,10,138,276
4,123,246,7726,3,19,0,6578,0.1836734693877551,6805,383,0,174,75,12,15,6,3,14,0,15,6805,383,0,174,75,12,15,6,3,14,0,99,774,648,126,46,196,557,265,1970,8,120,69,0.03429976702045043,4,2005-05-26 01:00:09,1117069209,3,10,146,292
5,93,111,7132,6,21,0,6429,0.11848608953537636,6616,297,0,87,45,15,4,4,0,7,0,14,6616,297,0,87,45,15,4,4,0,7,0,67,558,438,120,27,51,328,89,1786,0,112,9,0.01247896803140774,3,2005-05-26 01:15:09,1117070109,6,9,105,210
6,88,93,6110,4,19,0,5479,0.10083194675540766,5681,164,0,106,44,4,2,1,1,6,0,11,5681,164,0,106,44,4,2,1,1,6,0,88,413,300,113,30,82,331,110,1528,0,122,8,0.01800327332242226,3,2005-05-26 01:30:09,1117071009,4,8,119,238
7,138,153,6450,7,19,0,5716,0.1572435395458105,5902,235,1,146,39,26,19,1,0,12,1,16,5902,235,1,146,39,26,19,1,0,12,1,65,569,448,121,35,62,378,109,1632,2,120,26,0.01689398636081835,2,2005-05-26 01:45:09,1117071909,5,9,106,212
8,193,224,8298,6,19,0,6768,0.24462090163934427,7003,362,4,132,215,34,22,5,5,7,4,16,7003,362,4,132,215,34,22,5,5,7,4,92,876,733,143,72,482,784,368,2084,0,122,135,0.04433734939759036,3,2005-05-26 02:00:09,1117072809,6,11,186,372
9,131,133,7130,3,19,0,6016,0.17386977537674153,6342,370,2,212,76,10,7,5,5,4,1,10,6342,370,2,212,76,10,7,5,5,4,1,91,889,654,235,38,89,491,115,1882,0,108,14,0.016101932231867823,3,2005-05-26 02:15:09,1117073709,3,8,177,354
