,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,112,130,1019,6,15,0,22,1.9225806451612903,30,237,0,77,30,58,23,6,3,0,1,9,30,237,0,77,30,58,23,6,3,0,1,2,403,397,6,38,546,273,0,259,0,69,0,0.0,0,2001-09-16 00:09:19,1000598959,6,13,8,133
1,566,171,1542,3,14,0,113,2.275324675324675,169,391,0,111,253,62,25,132,8,1,3,9,169,391,0,111,253,62,25,132,8,1,3,21,933,900,33,88,349,277,80,315,0,71,14,0.05188067444876784,6,2001-09-16 00:14:19,1000599259,3,10,6,580
2,189,522,1284,4,15,0,115,2.419753086419753,191,180,0,190,236,135,5,106,5,1,4,9,191,180,0,190,236,135,5,106,5,1,4,34,515,483,32,389,207,330,105,262,0,41,0,0.08177570093457943,4,2001-09-16 00:19:19,1000599559,4,9,29,111
3,64,90,378,3,14,0,37,1.4822006472491909,89,126,0,28,41,9,2,2,3,7,2,9,89,126,0,28,41,9,2,2,3,7,2,37,209,195,14,26,64,88,55,205,0,7,1,0.1455026455026455,5,2001-09-16 00:24:19,1000599859,3,12,20,121
4,672,210,1524,11,14,0,330,1.5509293680297398,364,466,0,113,267,109,14,5,3,0,4,9,364,466,0,113,267,109,14,5,3,0,4,3,985,961,24,27,172,247,76,357,0,17,8,0.049868766404199474,3,2001-09-16 00:29:19,1000600159,6,9,17,420
5,40,105,478,17,17,0,15,1.6313868613138687,57,126,0,31,23,17,5,10,3,2,0,8,57,126,0,31,23,17,5,10,3,2,0,17,174,150,24,68,203,246,69,197,0,16,0,0.14435146443514643,3,2001-09-16 00:34:19,1000600459,5,9,5,59
6,246,386,859,7,20,0,23,2.9361979166666665,59,128,0,335,120,33,4,11,2,2,1,15,59,128,0,335,120,33,4,11,2,2,1,9,401,381,20,335,84,336,44,242,0,41,0,0.051222351571594875,3,2001-09-16 00:39:19,1000600759,7,10,34,106
7,118,152,660,3,14,0,13,1.7834008097165992,64,257,0,40,78,20,12,6,7,8,1,12,64,257,0,40,78,20,12,6,7,8,1,13,394,369,25,74,154,205,25,247,0,30,22,0.03787878787878788,2,2001-09-16 00:44:19,1000601059,3,12,16,88
8,546,480,1207,7,16,0,13,2.314108251996451,36,489,0,59,441,11,3,0,86,1,1,9,36,489,0,59,441,11,3,0,86,1,1,18,940,936,4,156,68,279,22,167,0,35,0,0.018227009113504555,2,2001-09-16 00:49:19,1000601359,6,12,5,197
9,252,190,794,4,13,0,21,2.1837016574585637,108,267,0,110,84,45,15,87,3,1,4,9,108,267,0,110,84,45,15,87,3,1,4,49,572,547,25,82,58,236,25,281,0,62,2,0.031486146095717885,3,2001-09-16 00:54:19,1000601659,4,10,15,121
