,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,48,85,382,7,13,0,34,1.6779661016949152,66,19,0,103,36,5,3,0,4,0,0,7,66,19,0,103,36,5,3,0,4,0,0,7,167,151,16,28,140,146,0,148,0,32,0,0.0,0,2001-09-20 00:14:04,1000944844,7,11,3,82
1,110,108,505,5,13,0,56,1.72979797979798,103,46,0,174,47,2,6,16,1,0,1,9,103,46,0,174,47,2,6,16,1,0,1,18,286,262,24,36,87,192,0,164,0,39,2,0.0,0,2001-09-20 00:29:04,1000945744,5,9,0,93
2,96,90,421,4,11,0,32,2.091715976331361,137,17,0,73,37,3,6,64,1,0,0,7,137,17,0,73,37,3,6,64,1,0,0,13,261,172,89,32,81,160,22,150,0,30,2,0.07119741100323625,2,2001-09-20 00:44:04,1000946644,4,11,3,60
3,98,86,467,7,15,0,41,2.123324396782842,118,58,0,78,39,9,10,53,7,1,0,8,118,58,0,78,39,9,10,53,7,1,0,20,277,224,53,35,94,184,33,203,0,24,0,0.07066381156316917,4,2001-09-20 00:59:04,1000947544,5,11,5,171
4,57,76,457,5,15,0,57,1.8885135135135136,112,26,0,62,52,14,10,8,6,3,0,11,112,26,0,62,52,14,10,8,6,3,0,25,170,141,29,44,73,250,46,160,0,7,0,0.10065645514223195,3,2001-09-20 01:14:04,1000948444,5,11,1,108
5,67,103,368,5,15,0,37,1.5488215488215489,113,35,0,95,23,10,1,19,1,0,0,7,113,35,0,95,23,10,1,19,1,0,0,23,173,124,49,64,64,198,31,158,1,7,2,0.08423913043478261,3,2001-09-20 01:29:04,1000949344,5,11,1,109
6,84,117,407,4,17,0,49,1.8796561604584527,97,64,0,122,31,11,3,1,0,14,0,13,97,64,0,122,31,11,3,1,0,14,0,15,226,197,29,59,52,166,20,146,0,9,0,0.047505938242280284,2,2001-09-20 01:44:04,1000950244,4,9,2,87
7,67,60,419,4,14,0,16,1.7195121951219512,86,17,0,72,47,12,2,7,3,0,0,7,86,17,0,72,47,12,2,7,3,0,0,16,177,127,50,37,122,258,57,181,0,20,3,0.1360381861575179,5,2001-09-20 01:59:04,1000951144,4,12,3,137
8,60,74,336,4,13,0,35,1.658273381294964,88,39,0,90,34,11,1,14,1,0,0,7,88,39,0,90,34,11,1,14,1,0,0,29,186,162,24,28,57,171,25,147,0,11,2,0.0744047619047619,3,2001-09-20 02:14:04,1000952044,4,10,0,82
9,47,51,281,7,11,0,17,1.7563451776649746,59,18,0,68,32,14,0,3,2,1,0,8,59,18,0,68,32,14,0,3,2,1,0,18,137,116,21,25,69,155,24,146,0,16,4,0.08540925266903915,2,2001-09-20 02:29:04,1000952944,6,11,4,67
10,56,31,231,5,17,0,39,1.4660194174757282,91,4,0,70,34,3,1,0,0,0,0,13,91,4,0,70,34,3,1,0,0,0,0,21,128,98,30,18,24,113,14,121,0,12,1,0.06060606060606061,5,2001-09-20 02:44:04,1000953844,5,11,2,192
11,86,102,680,5,15,0,40,1.7588932806324111,150,26,0,248,40,17,4,1,14,4,0,12,150,26,0,248,40,17,4,1,14,4,0,18,385,295,90,63,151,287,69,284,0,30,3,0.10147058823529412,3,2001-09-20 02:59:04,1000954744,5,8,0,147
12,126,111,624,5,15,0,28,1.978902953586498,138,29,1,152,78,52,2,17,0,4,1,10,138,29,1,152,78,52,2,17,0,4,1,17,376,294,82,53,146,251,54,227,0,14,0,0.08653846153846154,2,2001-09-20 03:14:04,1000955644,5,9,0,195
13,112,122,695,4,13,0,36,1.3102803738317756,209,45,0,231,31,10,1,4,2,0,2,9,209,45,0,231,31,10,1,4,2,0,2,150,324,301,23,25,29,342,17,142,0,13,1,0.02446043165467626,3,2001-09-20 03:29:04,1000956544,4,13,1,114
14,137,228,1002,5,20,0,32,2.550624133148405,136,40,4,287,106,29,41,59,3,6,2,16,136,40,4,287,106,29,41,59,3,6,2,53,562,522,40,74,85,527,53,339,0,25,8,0.05289421157684631,3,2001-09-20 03:44:04,1000957444,5,12,54,204
15,173,186,670,5,16,0,49,2.2547332185886404,151,104,0,152,71,12,14,45,17,1,0,18,151,104,0,152,71,12,14,45,17,1,0,25,456,383,73,51,75,255,22,229,0,24,4,0.03283582089552239,2,2001-09-20 03:59:04,1000958344,5,12,7,142
16,158,95,704,5,15,0,55,1.929113924050633,117,43,0,129,40,39,9,7,6,1,1,13,117,43,0,129,40,39,9,7,6,1,1,16,285,240,45,39,159,439,26,192,0,23,4,0.03687943262411347,2,2001-09-20 04:14:04,1000959244,5,11,5,317
17,106,95,490,9,17,0,27,1.9949622166246852,130,57,1,121,18,26,3,14,10,13,0,13,130,57,1,121,18,26,3,14,10,13,0,31,219,153,66,120,53,242,17,226,0,10,0,0.03469387755102041,2,2001-09-20 04:29:04,1000960144,6,9,6,117
18,66,64,358,6,18,0,11,1.6666666666666667,92,61,0,89,17,5,2,11,7,1,0,13,92,61,0,89,17,5,2,11,7,1,0,42,183,148,35,52,56,179,20,146,0,11,2,0.055865921787709494,3,2001-09-20 04:44:04,1000961044,6,11,3,138
19,99,86,850,5,17,0,34,1.5046728971962617,253,35,0,164,25,8,3,32,9,1,2,13,253,35,0,164,25,8,3,32,9,1,2,171,270,233,37,60,296,614,46,192,1,66,1,0.05411764705882353,2,2001-09-20 04:59:04,1000961944,5,13,149,257
20,148,138,923,6,15,0,83,2.2429447852760735,183,14,0,431,55,28,25,30,30,15,3,13,183,14,0,431,55,28,25,30,30,15,3,36,644,585,59,52,84,533,19,226,0,93,1,0.020585048754062838,2,2001-09-20 05:14:04,1000962844,6,11,1,141
21,67,85,509,5,18,0,56,1.9216152019002375,154,54,0,52,96,40,2,11,1,7,0,16,154,54,0,52,96,40,2,11,1,7,0,87,179,168,11,99,71,274,18,171,0,11,0,0.03474903474903475,2,2001-09-20 05:29:04,1000963744,5,12,9,185
22,89,134,495,7,16,0,35,2.0212264150943398,137,30,0,115,73,18,22,14,10,3,2,9,137,30,0,115,73,18,22,14,10,3,2,74,253,227,26,62,54,262,20,207,0,22,4,0.04040404040404041,2,2001-09-20 05:44:04,1000964644,7,11,0,176
23,79,77,465,5,16,0,102,2.176630434782609,169,11,3,65,39,19,6,11,22,20,3,10,169,11,3,65,39,19,6,11,22,20,3,43,174,153,21,49,96,208,17,203,0,12,4,0.03640256959314775,2,2001-09-20 05:59:04,1000965544,5,10,1,151
24,84,79,418,4,16,0,71,1.6865671641791045,125,33,0,104,26,22,11,3,5,4,2,9,125,33,0,104,26,22,11,3,5,4,2,28,200,178,22,36,72,178,20,184,0,27,1,0.04784688995215311,3,2001-09-20 06:14:04,1000966444,4,11,0,78
25,68,75,429,4,16,0,75,1.3824362606232294,157,13,1,128,40,0,5,4,2,1,2,10,157,13,1,128,40,0,5,4,2,1,2,31,208,159,49,39,71,176,31,171,0,37,2,0.07226107226107226,3,2001-09-20 06:29:04,1000967344,4,11,10,106
26,64,120,387,7,17,0,43,1.7070063694267517,87,42,1,131,27,7,10,2,6,0,1,10,87,42,1,131,27,7,10,2,6,0,1,24,194,176,18,53,58,186,16,150,0,32,0,0.041343669250646,2,2001-09-20 06:44:04,1000968244,6,11,8,114
27,46,80,495,10,14,0,56,1.4848484848484849,139,12,0,80,27,24,6,1,8,0,0,7,139,12,0,80,27,24,6,1,8,0,0,46,169,138,31,26,104,301,27,182,0,15,0,0.05443548387096774,2,2001-09-20 06:59:04,1000969144,10,10,8,194
28,127,119,579,4,17,0,84,1.699604743083004,182,58,8,152,56,34,1,5,2,7,1,10,182,58,8,152,56,34,1,5,2,7,1,39,307,254,53,76,73,238,23,209,0,48,0,0.039723661485319514,1,2001-09-20 07:14:04,1000970044,4,12,0,144
29,89,99,520,4,16,0,85,1.435665914221219,214,31,0,104,48,10,6,27,3,0,0,7,214,31,0,104,48,10,6,27,3,0,0,75,229,184,45,54,64,227,26,229,0,65,3,0.05,3,2001-09-20 07:29:04,1000970944,4,10,1,146
30,149,149,722,9,16,0,91,1.8564273789649415,235,33,0,150,65,24,73,15,0,3,1,9,235,33,0,150,65,24,73,15,0,3,1,53,368,287,81,87,120,258,16,270,9,44,4,0.0221606648199446,2,2001-09-20 07:44:04,1000971844,9,10,2,188
31,100,107,693,17,17,0,52,2.165289256198347,179,15,1,279,49,10,4,14,37,8,1,13,179,15,1,279,49,10,4,14,37,8,1,58,435,379,56,60,88,357,19,248,6,32,0,0.027417027417027416,2,2001-09-20 07:59:04,1000972744,6,11,1,153
32,90,110,397,5,21,0,34,1.6610644257703082,126,44,0,116,36,13,1,9,9,2,0,19,126,44,0,116,36,13,1,9,9,2,0,22,265,201,64,36,36,160,18,184,10,24,3,0.04534005037783375,3,2001-09-20 08:14:04,1000973644,5,10,1,68
33,97,155,887,4,13,0,73,1.5549132947976878,208,85,0,83,83,36,6,5,12,0,0,19,208,85,0,83,83,36,6,5,12,0,0,86,295,253,42,65,351,539,59,305,1,25,5,0.06636670416197975,2,2001-09-20 08:29:04,1000974544,4,10,0,130
34,84,80,623,5,23,0,37,1.049645390070922,365,6,0,97,51,29,4,2,4,2,3,20,365,6,0,97,51,29,4,2,4,2,3,280,190,161,29,57,55,424,19,223,0,37,7,0.0304,2,2001-09-20 08:44:04,1000975444,5,12,32,600
35,59,82,498,5,23,0,48,1.5654450261780104,154,5,3,161,31,16,2,2,5,0,3,10,154,5,3,161,31,16,2,2,5,0,3,53,241,196,45,40,102,234,45,224,0,42,3,0.09036144578313253,4,2001-09-20 08:59:04,1000976344,5,13,2,106
36,122,95,526,9,13,0,97,1.5968819599109132,189,50,1,122,40,21,2,5,1,5,11,12,189,50,1,122,40,21,2,5,1,5,11,64,246,223,23,42,71,240,13,182,0,36,2,0.024714828897338403,2,2001-09-20 09:14:04,1000977244,5,12,1,113
