,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,10,4,66,5,8,0,5,0.5714285714285714,49,4,0,6,0,0,4,0,0,0,0,5,49,4,0,6,0,0,4,0,0,0,0,1,44,7,37,13,3,17,0,52,0,4,0,0.0,0,2006-01-20 00:00:00,1137715200,5,5,16,35
1,27,33,175,7,7,0,12,0.6628571428571428,115,4,0,56,0,0,0,0,0,0,0,2,115,4,0,56,0,0,0,0,0,0,0,2,159,58,101,2,0,47,0,32,0,2,0,0.0,0,2006-01-20 00:05:00,1137715500,4,4,1,2
2,0,0,2,4,3,0,1,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,19,0,0,0,0.0,0,2006-01-20 00:10:00,1137715800,4,3,1,2
3,0,0,18,5,9,0,0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,8,0,8,5,0,5,0,11,0,0,0,0.0,0,2006-01-20 00:15:00,1137716100,5,5,11,22
4,0,0,17,3,3,0,0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,10,0,10,4,0,4,0,9,0,0,0,0.0,0,2006-01-20 00:20:00,1137716400,3,3,7,14
5,0,1,40,3,4,0,0,0.02564102564102564,38,1,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0,0,0,0,0,0,0,0,36,0,36,3,1,9,0,32,0,2,0,0.0,0,2006-01-20 00:25:00,1137716700,3,3,6,13
6,0,0,12,4,4,0,1,0.25,9,3,0,0,0,0,0,0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,11,3,8,0,0,5,0,5,0,8,0,0.0,0,2006-01-20 00:30:00,1137717000,3,3,0,0
7,0,0,18,3,4,0,0,0.07692307692307693,12,1,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,13,1,12,0,5,6,0,10,0,4,0,0.0,0,2006-01-20 00:35:00,1137717300,3,3,4,8
8,0,0,65,3,3,0,0,0.0,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,28,33,0,33,2,1,31,0,11,0,0,0,0.0,0,2006-01-20 00:40:00,1137717600,3,3,32,64
9,0,0,25,3,4,0,0,0.0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,12,0,12,11,0,4,0,21,0,5,0,0.0,0,2006-01-20 00:45:00,1137717900,3,3,4,15
10,0,0,14,4,6,0,0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,0,6,0,8,0,0,0,0.0,0,2006-01-20 00:50:00,1137718200,3,5,1,2
11,4,2,32,4,9,0,1,0.5483870967741935,24,1,0,4,0,2,0,0,0,0,0,4,24,1,0,4,0,2,0,0,0,0,0,1,22,3,19,7,1,7,0,24,0,6,0,0.0,0,2006-01-20 00:55:00,1137718500,4,4,9,19
12,4,2,148,2,8,0,6,0.16326530612244897,141,0,0,0,0,6,0,0,0,0,0,4,141,0,0,0,0,6,0,0,0,0,0,9,118,6,112,14,1,29,0,58,0,0,0,0.0,0,2006-01-20 01:00:00,1137718800,2,5,22,46
13,0,0,10,2,6,0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,6,0,6,1,1,3,0,16,0,0,0,0.0,0,2006-01-20 01:05:00,1137719100,2,2,3,6
14,0,0,49,4,6,0,0,0.0,49,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,41,0,41,8,0,8,0,13,0,0,0,0.0,0,2006-01-20 01:10:00,1137719400,4,4,8,16
15,3,0,18,18,17,0,0,1.0,14,0,0,1,1,0,0,0,0,0,0,12,14,0,0,1,1,0,0,0,0,0,0,0,14,1,13,3,1,4,0,18,0,0,0,0.0,0,2006-01-20 01:15:00,1137719700,7,7,4,8
16,1,2,56,4,17,0,0,0.6428571428571429,53,0,0,0,0,0,0,0,0,0,0,12,53,0,0,0,0,0,0,0,0,0,0,0,47,2,45,9,0,9,0,20,0,0,0,0.0,0,2006-01-20 01:20:00,1137720000,4,7,16,32
17,0,0,4,5,4,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0,4,0,0,0,0.0,0,2006-01-20 01:25:00,1137720300,3,3,0,0
