,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,20,16,279,3,10,0,18,0.45955882352941174,217,27,0,14,3,1,5,4,0,1,0,8,217,27,0,14,3,1,5,4,0,1,0,0,250,51,199,4,7,100,0,189,0,8,2,0.0,0,2006-01-20 00:11:08,1137715868,3,10,0,7
1,26,25,197,3,16,0,3,0.7486910994764397,130,21,0,20,4,12,3,0,1,0,0,7,130,21,0,20,4,12,3,0,1,0,0,1,152,45,107,35,5,54,0,127,4,8,1,0.0,0,2006-01-20 00:16:08,1137716168,3,16,1,46
2,68,40,381,5,9,0,1,0.7317073170731707,239,53,0,45,12,11,7,2,0,0,0,6,239,53,0,45,12,11,7,2,0,0,0,25,284,82,202,59,12,99,0,219,0,8,2,0.0,0,2006-01-20 00:21:08,1137716468,5,8,0,92
3,54,66,369,4,18,0,4,1.1132596685082874,207,53,0,70,14,4,2,0,0,2,2,16,207,53,0,70,14,4,2,0,0,2,2,2,312,134,178,44,7,80,60,217,0,33,4,0.2643171806167401,5,2006-01-20 00:26:08,1137716768,4,7,0,49
4,156,146,829,3,12,0,2,1.199516324062878,498,30,0,113,44,128,5,4,1,0,4,9,498,30,0,113,44,128,5,4,1,0,4,2,783,302,481,40,2,210,77,273,0,31,19,0.09288299155609167,3,2006-01-20 00:31:08,1137717068,3,11,0,40
5,163,196,1115,6,16,0,12,0.5422661870503597,619,431,0,48,4,2,0,5,0,1,2,9,619,431,0,48,4,2,0,5,0,1,2,2,932,331,601,166,3,194,62,184,0,20,4,0.05560538116591928,4,2006-01-20 00:36:08,1137717368,6,9,0,186
6,176,146,978,10,18,0,0,0.9692307692307692,570,100,0,166,106,19,2,1,3,4,2,16,570,100,0,166,106,19,2,1,3,4,2,0,751,190,561,224,3,172,82,259,0,25,19,0.08384458077709611,4,2006-01-20 00:41:08,1137717668,5,8,0,231
7,125,54,512,3,14,0,0,1.2840236686390532,296,31,0,51,3,124,0,1,1,0,0,7,296,31,0,51,3,124,0,1,1,0,0,1,488,198,290,18,5,229,56,162,0,14,0,0.109375,3,2006-01-20 00:46:08,1137717968,3,11,0,24
8,149,149,1746,3,14,0,0,1.0499075785582255,441,927,0,133,20,86,6,3,3,0,3,11,441,927,0,133,20,86,6,3,3,0,3,5,1524,1093,431,94,123,795,265,474,10,16,43,0.1517754868270332,3,2006-01-20 00:51:08,1137718268,3,8,0,227
9,612,224,3106,6,18,0,0,0.9523963730569949,1644,673,4,449,145,122,12,10,6,6,6,16,1644,673,4,449,145,122,12,10,6,6,6,0,2946,1319,1627,142,18,746,136,1182,0,25,70,0.0437862202189311,4,2006-01-20 00:56:08,1137718568,6,8,0,345
