,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,379,270,5164,5,18,0,0,0.44588658146964855,3995,374,0,403,48,147,7,11,7,6,4,16,3995,374,0,403,48,147,7,11,7,6,4,5,4781,815,3966,222,156,688,188,1372,27,46,100,0.04513805522208884,5,2006-01-20 00:53:45,1137718425,5,7,392,819
1,482,218,4986,6,19,0,0,0.6179911254538121,3471,653,0,470,202,79,40,18,6,6,3,17,3471,653,0,470,202,79,40,18,6,6,3,0,4730,1277,3453,228,28,723,577,1860,0,52,18,0.11572402727637385,7,2006-01-20 00:58:45,1137718725,3,10,323,670
2,118,251,1985,4,18,0,0,0.8018200202224469,1293,296,1,239,40,42,23,3,0,11,19,12,1293,296,1,239,40,42,23,3,0,11,19,0,1822,538,1284,156,7,278,217,908,0,11,60,0.1093198992443325,3,2006-01-20 01:03:45,1137719025,4,9,56,115
3,32,59,1170,3,13,0,0,0.48027444253859347,806,261,0,51,30,3,11,0,0,2,0,12,806,261,0,51,30,3,11,0,0,2,0,1,1102,304,798,63,4,340,98,431,0,44,21,0.08376068376068375,4,2006-01-20 01:08:45,1137719325,3,8,37,76
4,215,423,4275,3,12,0,0,0.5296461213967659,3006,837,0,165,53,126,59,12,9,0,0,7,3006,837,0,165,53,126,59,12,9,0,0,0,4079,1097,2982,188,8,805,217,942,0,60,19,0.05076023391812866,4,2006-01-20 01:13:45,1137719625,3,7,139,290
5,193,128,1755,5,20,0,0,0.7245714285714285,1232,241,0,128,17,52,52,8,1,6,6,17,1232,241,0,128,17,52,52,8,1,6,6,0,1677,447,1230,73,5,367,233,649,0,20,6,0.13276353276353275,3,2006-01-20 01:18:45,1137719925,4,7,82,177
6,94,139,1843,4,25,0,0,0.5808903365906624,1346,251,0,113,16,46,65,2,0,3,0,8,1346,251,0,113,16,46,65,2,0,3,0,1,1759,431,1328,82,1,418,74,525,0,20,4,0.040151926207270754,3,2006-01-20 01:23:45,1137720225,4,12,76,183
7,162,62,1142,6,14,0,0,0.7298245614035088,753,149,0,150,23,53,0,2,0,6,2,12,753,149,0,150,23,53,0,2,0,6,2,1,1087,335,752,52,2,249,137,536,0,36,0,0.11996497373029773,4,2006-01-20 01:28:45,1137720525,6,8,46,103
8,62,147,1099,4,12,0,0,0.5978161965423112,820,79,0,126,2,50,12,10,0,0,0,6,820,79,0,126,2,50,12,10,0,0,0,0,1050,231,819,49,0,172,82,344,0,46,4,0.0746132848043676,4,2006-01-20 01:33:45,1137720825,4,8,48,96
9,125,185,1269,8,13,0,0,0.9754358161648178,797,172,0,158,26,9,61,21,0,0,0,11,797,172,0,158,26,9,61,21,0,0,0,0,1176,393,783,86,7,214,112,471,0,44,1,0.08825847123719464,3,2006-01-20 01:38:45,1137721125,5,7,52,140
