,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,44,63,827,7,13,0,0,0.5615384615384615,591,66,0,71,16,12,13,8,3,0,0,7,591,66,0,71,16,12,13,8,3,0,0,5,693,149,544,82,47,155,0,391,0,28,2,0.0,0,2006-01-20 00:09:48,1137715788,5,8,13,107
1,29,21,412,7,16,0,0,0.5490196078431373,333,22,0,10,10,23,6,0,2,2,0,8,333,22,0,10,10,23,6,0,2,2,0,2,360,56,304,46,4,49,6,187,4,15,1,0.025,1,2006-01-20 00:14:48,1137716088,5,16,43,100
2,32,30,593,5,9,0,0,0.45084745762711864,476,53,0,19,19,6,8,9,0,0,0,6,476,53,0,19,19,6,8,9,0,0,0,0,558,94,464,32,3,117,74,237,0,26,2,0.12478920741989882,3,2006-01-20 00:19:48,1137716388,5,8,29,63
3,81,76,1099,3,18,0,0,0.6317722681359045,852,69,0,91,36,16,5,2,0,2,2,16,852,69,0,91,36,16,5,2,0,2,2,0,988,192,796,101,10,107,117,410,0,27,3,0.10646041856232939,4,2006-01-20 00:24:48,1137716688,3,7,83,191
4,117,39,1518,3,13,0,0,0.37260092653871607,1261,103,0,34,95,4,6,3,1,0,4,9,1261,103,0,34,95,4,6,3,1,0,4,2,1475,229,1246,34,7,217,127,455,0,56,17,0.0836627140974967,3,2006-01-20 00:29:48,1137716988,3,11,33,76
5,267,247,2017,3,11,0,0,0.49825957235206364,1455,335,0,120,6,84,2,6,0,0,3,9,1455,335,0,120,6,84,2,6,0,0,3,1,1827,388,1439,183,6,246,53,278,0,44,5,0.026276648487853247,3,2006-01-20 00:34:48,1137717288,3,8,185,378
6,114,180,1725,3,18,0,0,0.5705090696313634,1233,243,0,77,118,22,2,2,0,8,2,16,1233,243,0,77,118,22,2,2,0,8,2,0,1623,420,1203,86,16,252,150,397,0,55,23,0.08695652173913043,6,2006-01-20 00:39:48,1137717588,3,8,97,262
7,280,204,2317,4,14,0,0,0.4587116299178556,1796,219,0,154,50,91,0,1,2,0,0,7,1796,219,0,154,50,91,0,1,2,0,0,2,2138,357,1781,173,4,237,74,296,0,26,3,0.031937850668968495,2,2006-01-20 00:44:48,1137717888,4,11,94,199
8,181,145,1842,4,14,0,0,0.43780554046713743,1463,157,0,116,10,93,0,1,0,0,1,9,1463,157,0,116,10,93,0,1,0,0,1,1,1744,317,1427,96,1,197,105,319,0,21,1,0.057003257328990226,3,2006-01-20 00:49:48,1137718188,3,8,56,158
9,635,224,6836,6,18,0,0,0.6934306569343066,4014,1671,0,591,218,130,35,28,2,5,6,16,4014,1671,0,591,218,130,35,28,2,5,6,0,6359,2377,3982,354,123,1154,335,1987,32,58,135,0.04900526623756583,3,2006-01-20 00:54:48,1137718488,6,8,505,1070
