,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,97,93,694,4,13,0,31,1.7327823691460056,57,138,0,47,89,31,0,1,0,0,0,6,57,138,0,47,89,31,0,1,0,0,0,0,297,275,22,35,289,193,0,243,0,22,13,0.0,0,2003-01-23 00:00:08,1043280008,4,8,24,170
1,142,83,542,6,12,0,4,2.305732484076433,33,116,0,30,32,79,18,2,0,2,2,9,33,116,0,30,32,79,18,2,0,2,2,2,269,247,22,39,220,201,75,196,0,16,16,0.31645569620253167,3,2003-01-23 00:05:08,1043280308,5,9,0,101
2,16,47,186,4,12,0,12,1.8931297709923665,29,37,0,24,24,6,7,0,1,2,1,9,29,37,0,24,24,6,7,0,1,2,1,5,101,90,11,13,49,80,64,128,0,5,2,0.34408602150537637,3,2003-01-23 00:10:08,1043280608,4,9,2,34
3,32,57,307,5,12,0,7,2.111731843575419,35,67,0,38,7,3,1,0,27,1,0,8,35,67,0,38,7,3,1,0,27,1,0,9,138,119,19,25,99,110,101,149,0,26,0,0.3289902280130293,4,2003-01-23 00:15:08,1043280908,5,8,0,79
4,56,39,381,5,16,0,10,1.8916666666666666,32,71,0,65,50,10,9,3,0,0,0,6,32,71,0,65,50,10,9,3,0,0,0,11,210,199,11,9,133,143,87,224,0,15,1,0.2283464566929134,3,2003-01-23 00:20:08,1043281208,5,9,2,60
5,56,129,428,4,19,0,11,2.145762711864407,58,75,2,72,28,37,13,1,0,4,2,15,58,75,2,72,28,37,13,1,0,4,2,25,194,179,15,65,126,173,15,184,0,15,2,0.035046728971962614,2,2003-01-23 00:25:08,1043281508,4,9,0,49
6,157,47,361,3,12,0,3,2.0063291139240507,35,141,0,35,48,29,17,5,2,2,2,9,35,141,0,35,48,29,17,5,2,2,2,13,240,223,17,60,35,106,23,145,0,14,2,0.06371191135734072,4,2003-01-23 00:30:08,1043281808,3,10,1,130
7,36,77,272,6,14,0,2,2.0105263157894737,30,48,1,59,25,13,7,5,2,0,0,10,30,48,1,59,25,13,7,5,2,0,0,8,164,149,15,16,77,107,41,135,0,10,0,0.15073529411764705,2,2003-01-23 00:35:08,1043282108,6,8,2,32
8,154,182,749,5,14,0,7,3.1812080536912752,40,67,2,89,34,44,161,2,2,6,0,10,40,67,2,89,34,44,161,2,2,6,0,8,376,357,19,56,188,224,48,197,0,24,16,0.06408544726301736,3,2003-01-23 00:40:08,1043282408,5,8,1,214
9,311,142,617,4,15,0,5,2.6371527777777777,76,69,0,233,17,8,161,4,1,3,2,12,76,69,0,233,17,8,161,4,1,3,2,39,414,387,27,118,33,201,32,147,0,19,2,0.05186385737439222,2,2003-01-23 00:45:08,1043282708,4,8,111,264
10,132,276,774,5,16,0,10,2.7469512195121952,121,108,4,94,99,33,175,3,9,9,1,10,121,108,4,94,99,33,175,3,9,9,1,64,496,458,38,86,114,317,46,212,0,13,2,0.059431524547803614,3,2003-01-23 00:50:08,1043283008,5,8,0,108
11,69,134,522,5,15,0,5,1.5769230769230769,74,157,2,76,40,39,2,0,0,0,0,10,74,157,2,76,40,39,2,0,0,0,0,2,358,294,64,25,121,172,65,178,0,13,1,0.12452107279693486,3,2003-01-23 00:55:08,1043283308,5,8,1,34
12,184,360,1132,7,13,0,18,3.0205580029368577,60,108,16,135,106,119,121,8,0,0,8,10,60,108,16,135,106,119,121,8,0,0,8,8,572,540,32,83,442,589,105,250,0,24,41,0.09275618374558305,2,2003-01-23 01:00:08,1043283608,7,10,0,433
13,193,439,1246,5,13,0,11,1.9787946428571428,197,148,0,291,131,16,103,5,2,0,3,9,197,148,0,291,131,16,103,5,2,0,3,130,619,566,53,136,65,524,34,237,0,13,20,0.027287319422150885,2,2003-01-23 01:05:08,1043283908,5,8,12,259
14,256,326,1028,5,14,0,4,2.714114832535885,77,169,4,177,180,32,172,7,12,2,4,10,77,169,4,177,180,32,172,7,12,2,4,47,714,697,17,71,152,422,79,292,0,21,3,0.07684824902723736,3,2003-01-23 01:10:08,1043284208,5,10,63,192
15,143,248,820,9,11,0,4,2.1723646723646723,229,126,0,100,32,21,168,10,13,1,1,11,229,126,0,100,32,21,168,10,13,1,1,132,534,441,93,32,110,359,38,194,4,17,14,0.046341463414634146,2,2003-01-23 01:15:08,1043284508,7,10,0,150
16,96,96,428,4,13,0,3,2.127659574468085,40,131,0,58,32,31,10,15,6,5,0,11,40,131,0,58,32,31,10,15,6,5,0,20,235,225,10,71,91,182,18,162,0,12,31,0.04205607476635514,2,2003-01-23 01:20:08,1043284808,4,10,7,156
17,258,217,896,6,18,0,19,2.3045622688039455,273,91,10,107,68,76,169,14,2,0,0,13,273,91,10,107,68,76,169,14,2,0,0,152,590,490,100,50,58,324,31,211,0,20,5,0.03459821428571429,2,2003-01-23 01:25:08,1043285108,6,11,30,293
18,206,154,715,7,18,0,5,2.183306055646481,183,126,0,66,46,18,166,6,0,0,0,6,183,126,0,66,46,18,166,6,0,0,0,119,386,345,41,101,104,313,19,120,0,17,30,0.026573426573426574,3,2003-01-23 01:30:08,1043285408,7,8,0,133
19,354,397,1005,6,10,0,23,2.4314928425357873,158,146,0,242,187,64,169,8,2,0,0,13,158,146,0,242,187,64,169,8,2,0,0,39,762,681,81,154,26,497,22,215,0,22,25,0.021890547263681594,3,2003-01-23 01:35:08,1043285708,6,8,185,512
20,233,444,1177,4,12,0,8,1.3591800356506238,352,412,1,166,93,9,82,5,0,2,0,10,352,412,1,166,93,9,82,5,0,2,0,253,731,643,88,130,52,472,31,199,0,12,23,0.026338147833474938,2,2003-01-23 01:40:08,1043286008,4,8,3,55
21,532,223,1062,5,12,0,13,1.9370558375634517,172,195,0,333,153,106,4,12,8,2,0,8,172,195,0,333,153,106,4,12,8,2,0,20,923,789,134,29,71,460,52,237,0,9,22,0.04896421845574388,2,2003-01-23 01:45:08,1043286308,5,9,1,405
22,89,103,401,5,11,0,30,1.6355421686746987,55,106,0,113,39,11,2,2,4,0,0,7,55,106,0,113,39,11,2,2,4,0,0,13,256,248,8,33,59,176,63,147,0,6,1,0.1571072319201995,4,2003-01-23 01:50:08,1043286608,5,11,0,166
23,70,97,310,5,16,0,10,1.9816176470588236,36,97,0,76,23,13,11,10,2,2,0,12,36,97,0,76,23,13,11,10,2,2,0,12,229,223,6,21,31,156,39,157,0,19,3,0.12580645161290321,2,2003-01-23 01:55:08,1043286908,5,9,1,49
24,339,578,1722,6,12,0,16,1.6279357231149567,558,234,0,390,279,34,99,18,4,2,0,8,558,234,0,390,279,34,99,18,4,2,0,431,954,863,91,217,95,705,22,328,2,34,94,0.012775842044134728,2,2003-01-23 02:00:08,1043287208,6,9,5,291
25,276,208,791,3,9,0,13,1.7178807947019867,165,264,0,123,78,86,27,10,2,0,0,7,165,264,0,123,78,86,27,10,2,0,0,38,585,491,94,119,27,201,23,241,0,11,1,0.029077117572692796,2,2003-01-23 02:05:08,1043287508,3,9,0,213
26,64,178,577,6,9,0,32,1.1963470319634704,153,150,0,72,30,26,6,1,0,0,0,6,153,150,0,72,30,26,6,1,0,0,0,6,231,153,78,169,123,205,67,212,1,7,2,0.11611785095320624,3,2003-01-23 02:10:08,1043287808,6,8,0,92
27,104,78,479,8,17,0,8,1.587467362924282,62,164,0,90,28,20,14,5,0,0,0,6,62,164,0,90,28,20,14,5,0,0,0,25,298,278,20,52,95,226,76,238,1,13,3,0.15866388308977036,3,2003-01-23 02:15:08,1043288108,7,9,3,137
28,84,137,944,4,17,0,11,1.7786624203821657,64,266,2,193,59,16,6,2,10,5,2,12,64,266,2,193,59,16,6,2,10,5,2,31,501,487,14,85,263,372,173,441,1,20,4,0.1832627118644068,4,2003-01-23 02:20:08,1043288408,4,9,23,216
29,134,121,551,10,20,0,10,2.20625,53,224,0,99,22,4,17,4,42,0,11,17,53,224,0,99,22,4,17,4,42,0,11,20,370,354,16,80,65,178,30,211,0,24,15,0.0544464609800363,2,2003-01-23 02:25:08,1043288708,6,10,4,122
30,53,99,330,7,14,0,5,1.9387755102040816,39,90,1,49,19,22,21,1,3,0,0,10,39,90,1,49,19,22,21,1,3,0,0,7,206,187,19,27,84,139,57,163,0,10,4,0.17272727272727273,2,2003-01-23 02:30:08,1043289008,7,9,2,82
31,124,66,435,6,10,0,6,1.2551546391752577,71,235,0,39,13,19,7,4,0,0,0,6,71,235,0,39,13,19,7,4,0,0,0,34,321,296,25,27,30,135,24,172,0,1,0,0.05517241379310345,2,2003-01-23 02:35:08,1043289308,4,9,15,138
32,52,78,289,4,15,0,8,1.376984126984127,68,87,0,66,14,10,3,2,1,0,0,12,68,87,0,66,14,10,3,2,1,0,0,24,146,124,22,74,32,117,27,123,0,11,0,0.09342560553633218,2,2003-01-23 02:40:08,1043289608,4,9,0,74
33,38,60,276,8,12,0,11,1.528301886792453,61,69,0,41,21,9,3,4,1,2,0,12,61,69,0,41,21,9,3,4,1,2,0,10,153,118,35,38,58,107,45,109,0,18,4,0.16304347826086957,2,2003-01-23 02:45:08,1043289908,6,7,0,34
34,38,189,617,4,11,0,14,2.141472868217054,101,151,3,106,55,40,17,13,23,4,1,11,101,151,3,106,55,40,17,13,23,4,1,49,303,294,9,150,36,181,31,323,6,18,1,0.050243111831442464,3,2003-01-23 02:50:08,1043290208,4,8,0,20
35,52,157,459,4,12,0,6,1.569482288828338,82,123,0,89,44,21,0,2,2,3,1,9,82,123,0,89,44,21,0,2,2,3,1,41,241,215,26,79,64,147,17,180,0,4,2,0.037037037037037035,2,2003-01-23 02:55:08,1043290508,4,9,2,34
36,81,119,397,4,20,0,2,1.6482084690553747,46,160,0,51,16,13,10,7,0,0,2,17,46,160,0,51,16,13,10,7,0,0,2,6,239,211,28,60,82,158,56,127,0,18,2,0.14105793450881612,3,2003-01-23 03:00:08,1043290808,4,9,2,131
37,69,168,463,7,19,0,18,2.1769230769230767,68,90,0,127,42,10,18,19,0,15,0,15,68,90,0,127,42,10,18,19,0,15,0,27,228,208,20,117,69,224,38,167,0,11,2,0.08207343412526998,2,2003-01-23 03:05:08,1043291108,7,8,1,76
38,104,39,338,4,9,0,27,1.2895622895622896,85,88,0,101,13,3,0,7,0,0,0,6,85,88,0,101,13,3,0,7,0,0,0,8,184,136,48,78,37,124,33,109,0,18,3,0.09763313609467456,3,2003-01-23 03:10:08,1043291408,4,7,0,64
39,83,84,501,3,16,0,5,1.533175355450237,90,194,0,68,36,13,6,8,0,0,0,12,90,194,0,68,36,13,6,8,0,0,0,22,337,295,42,58,57,143,39,176,0,18,3,0.07784431137724551,2,2003-01-23 03:15:08,1043291708,3,7,2,113
40,24,32,239,5,12,0,2,1.7357142857142858,15,64,0,32,14,9,3,1,0,2,0,8,15,64,0,32,14,9,3,1,0,2,0,8,112,109,3,18,91,100,31,112,0,3,0,0.1297071129707113,2,2003-01-23 03:20:08,1043292008,5,6,0,71
41,78,55,282,6,16,0,10,1.505791505791506,50,128,0,25,37,12,2,2,1,0,0,12,50,128,0,25,37,12,2,2,1,0,0,20,206,191,15,23,23,121,32,112,0,13,1,0.11347517730496454,3,2003-01-23 03:25:08,1043292308,3,9,7,59
42,91,115,446,3,11,0,6,1.8971428571428572,32,162,0,75,28,23,10,14,6,0,0,7,32,162,0,75,28,23,10,14,6,0,0,11,299,285,14,34,96,153,46,183,0,6,3,0.1031390134529148,3,2003-01-23 03:30:08,1043292608,3,8,0,35
43,56,53,199,5,12,0,1,2.2429378531073447,26,68,0,32,15,4,11,18,1,0,0,17,26,68,0,32,15,4,11,18,1,0,0,9,152,141,11,15,18,64,9,89,0,10,3,0.04522613065326633,1,2003-01-23 03:35:08,1043292908,5,8,0,58
44,343,259,1068,7,15,0,83,2.2510162601626016,116,353,4,203,154,43,21,15,41,22,7,13,116,353,4,203,154,43,21,15,41,22,7,4,703,678,25,194,78,196,60,420,0,23,14,0.056179775280898875,3,2003-01-23 03:40:08,1043293208,6,10,8,185
45,336,195,1322,5,17,0,52,2.0055710306406684,194,311,4,334,104,75,10,4,4,7,4,13,194,311,4,334,104,75,10,4,4,7,4,17,954,834,120,54,223,382,39,356,0,45,54,0.029500756429652043,2,2003-01-23 03:45:08,1043293508,5,9,2,263
46,127,330,1224,8,17,0,5,1.7967770814682185,159,355,1,374,106,72,24,18,7,0,0,11,159,355,1,374,106,72,24,18,7,0,0,70,838,774,64,204,105,445,37,375,1,26,46,0.03022875816993464,2,2003-01-23 03:50:08,1043293808,5,9,0,190
47,402,200,1269,3,16,0,89,1.8441033925686592,227,286,1,389,229,59,20,6,19,1,1,10,227,286,1,389,229,59,20,6,19,1,1,9,1036,927,109,104,26,440,38,496,2,20,1,0.029944838455476755,2,2003-01-23 03:55:08,1043294108,3,8,7,155
48,48,419,970,6,13,0,10,1.7894736842105263,162,276,1,288,41,69,25,16,10,3,1,13,162,276,1,288,41,69,25,16,10,3,1,11,705,616,89,167,62,363,55,481,4,12,1,0.05670103092783505,3,2003-01-23 04:00:08,1043294408,6,8,1,128
49,91,72,2400,4,14,0,6,1.2319749216300941,361,661,2,130,43,13,12,17,13,21,2,11,361,661,2,130,43,13,12,17,13,21,2,13,1192,860,332,65,1110,1153,428,546,0,50,2,0.17833333333333334,3,2003-01-23 04:05:08,1043294708,4,9,1,247
50,116,102,454,4,12,0,4,1.8862433862433863,70,99,0,132,15,30,24,4,0,1,2,15,70,99,0,132,15,30,24,4,0,1,2,12,262,211,51,100,74,162,18,134,0,20,0,0.039647577092511016,3,2003-01-23 04:10:08,1043295008,4,9,1,122
51,59,47,347,9,20,0,2,1.925531914893617,49,58,2,119,34,9,1,6,2,0,0,17,49,58,2,119,34,9,1,6,2,0,0,30,230,220,10,20,54,168,23,162,0,8,6,0.06628242074927954,3,2003-01-23 04:15:08,1043295308,6,9,7,82
52,26,65,246,7,20,0,8,1.477832512315271,39,76,0,59,16,8,4,1,0,0,0,6,39,76,0,59,16,8,4,1,0,0,0,11,169,153,16,15,41,141,19,131,0,5,6,0.07723577235772358,3,2003-01-23 04:20:08,1043295608,7,10,1,40
53,103,216,696,11,21,0,17,2.1398496240601506,92,210,3,169,72,54,13,32,13,4,0,11,92,210,3,169,72,54,13,32,13,4,0,6,435,392,43,207,20,172,17,335,9,8,15,0.02442528735632184,2,2003-01-23 04:25:08,1043295908,7,9,2,138
54,227,95,620,6,19,0,5,2.5920826161790016,83,214,15,63,67,51,9,27,29,12,10,15,83,214,15,63,67,51,9,27,29,12,10,27,507,463,44,42,28,178,16,215,0,16,16,0.025806451612903226,2,2003-01-23 04:30:08,1043296208,5,10,12,150
55,209,241,1061,5,17,0,13,2.7835497835497836,52,280,12,112,26,12,133,8,5,46,7,10,52,280,12,112,26,12,133,8,5,46,7,10,599,573,26,71,354,290,38,223,0,9,3,0.03581526861451461,5,2003-01-23 04:35:08,1043296508,5,11,7,75
56,69,137,421,6,16,0,9,2.5899470899470898,81,97,6,65,49,14,7,8,22,17,9,12,81,97,6,65,49,14,7,8,22,17,9,27,271,233,38,71,40,137,19,195,0,6,0,0.04513064133016627,5,2003-01-23 04:40:08,1043296808,6,11,0,83
57,140,115,462,8,15,0,6,2.072599531615925,74,138,0,72,56,39,28,11,0,8,1,9,74,138,0,72,56,39,28,11,0,8,1,33,337,309,28,51,30,126,19,231,0,1,1,0.04112554112554113,3,2003-01-23 04:45:08,1043297108,6,9,3,120
58,128,109,475,7,12,0,4,2.2863741339491916,62,57,4,181,62,18,39,4,0,0,6,10,62,57,4,181,62,18,39,4,0,0,6,19,341,310,31,69,36,146,14,188,3,12,4,0.029473684210526315,3,2003-01-23 04:50:08,1043297408,6,8,1,93
59,45,143,500,5,16,0,28,1.646153846153846,131,69,0,163,52,20,14,1,2,2,0,12,131,69,0,163,52,20,14,1,2,2,0,37,319,263,56,71,43,159,17,224,7,16,3,0.034,2,2003-01-23 04:55:08,1043297708,5,9,1,89
60,93,143,438,7,14,0,7,2.7759740259740258,42,88,10,61,29,32,20,6,2,1,13,17,42,88,10,61,29,32,20,6,2,1,13,7,254,237,17,40,84,137,29,207,0,7,3,0.06621004566210045,2,2003-01-23 05:00:08,1043298008,6,9,0,62
61,42,121,549,7,21,0,23,1.8351893095768375,62,224,0,80,18,28,12,7,2,2,11,17,62,224,0,80,18,28,12,7,2,2,11,12,377,352,25,37,100,286,49,184,0,11,2,0.08925318761384335,3,2003-01-23 05:05:08,1043298308,7,10,0,61
62,135,92,683,11,19,0,46,2.3284823284823286,79,145,3,115,45,26,21,24,3,2,10,15,79,145,3,115,45,26,21,24,3,2,10,9,373,357,16,53,171,227,48,288,0,39,10,0.07027818448023426,4,2003-01-23 05:10:08,1043298608,7,10,18,303
63,128,321,819,5,21,0,46,3.3550724637681157,130,109,6,85,68,94,64,30,16,53,21,14,130,109,6,85,68,94,64,30,16,53,21,35,439,399,40,170,92,244,48,338,0,31,19,0.05860805860805861,3,2003-01-23 05:15:08,1043298908,5,10,3,53
64,162,197,595,3,17,0,13,2.3844621513944224,66,166,0,143,23,31,18,12,21,3,5,16,66,166,0,143,23,31,18,12,21,3,5,12,391,374,17,86,90,189,15,205,0,12,18,0.025210084033613446,2,2003-01-23 05:20:08,1043299208,3,9,0,104
65,95,119,437,6,14,0,15,1.794871794871795,43,193,1,75,32,18,16,1,5,2,3,15,43,193,1,75,32,18,16,1,5,2,3,5,329,309,20,41,47,148,15,187,0,10,1,0.034324942791762014,2,2003-01-23 05:25:08,1043299508,6,8,0,45
