,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,38,39,395,2,15,0,30,1.5052083333333333,46,55,0,58,26,2,3,1,0,0,0,11,46,55,0,58,26,2,3,1,0,0,0,7,132,123,9,23,181,131,0,186,0,27,11,0.0,0,2001-07-21 00:06:35,995673995,2,9,1,109
1,52,115,567,3,14,0,46,1.3156342182890854,100,100,1,107,21,1,4,3,0,1,1,10,100,100,1,107,21,1,4,3,0,1,1,32,229,208,21,32,191,178,0,225,0,36,3,0.0,0,2001-07-21 00:11:35,995674295,3,11,10,99
2,87,60,451,5,9,0,51,1.535928143712575,90,77,0,110,24,27,3,1,1,1,0,8,90,77,0,110,24,27,3,1,1,1,0,14,226,202,24,43,109,130,44,200,0,51,12,0.10628019323671498,3,2001-07-21 00:16:35,995674595,5,9,22,155
3,64,66,390,4,11,0,26,1.5818181818181818,61,60,0,114,23,9,6,2,0,0,0,6,61,60,0,114,23,9,6,2,0,0,0,25,193,183,10,31,89,112,43,186,0,37,7,0.11025641025641025,3,2001-07-21 00:21:35,995674895,4,8,3,76
4,51,40,293,4,13,0,28,1.3076923076923077,86,41,0,43,25,3,7,1,0,1,1,9,86,41,0,43,25,3,7,1,0,1,1,32,129,105,24,19,69,119,29,167,0,25,2,0.09897610921501707,3,2001-07-21 00:26:35,995675195,4,9,1,82
5,67,77,358,5,11,0,17,1.6525096525096525,41,84,0,94,18,15,4,1,0,2,0,8,41,84,0,94,18,15,4,1,0,2,0,19,185,182,3,38,89,120,35,154,0,45,4,0.09776536312849161,5,2001-07-21 00:31:35,995675495,5,8,2,69
6,69,73,294,4,13,0,24,1.6303501945525292,61,59,0,87,27,18,1,2,1,0,1,9,61,59,0,87,27,18,1,2,1,0,1,34,191,189,2,8,28,96,26,157,0,17,6,0.08843537414965986,4,2001-07-21 00:36:35,995675795,4,10,1,76
7,83,82,387,6,11,0,15,1.520123839009288,75,94,0,104,25,15,6,4,0,0,0,6,75,94,0,104,25,15,6,4,0,0,0,46,245,235,10,17,60,125,43,182,0,21,3,0.1111111111111111,4,2001-07-21 00:41:35,995676095,6,8,17,56
8,78,38,302,4,15,0,19,2.075221238938053,56,34,0,72,15,21,19,4,1,3,0,12,56,34,0,72,15,21,19,4,1,3,0,26,150,140,10,31,64,103,71,190,0,32,11,0.23509933774834438,3,2001-07-21 00:46:35,995676395,4,13,5,96
9,195,93,895,9,15,0,34,2.2434210526315788,95,58,1,147,61,19,62,4,4,5,0,10,95,58,1,147,61,19,62,4,4,5,0,43,347,329,18,32,417,409,155,319,0,37,6,0.17318435754189945,4,2001-07-21 00:51:35,995676695,9,11,0,286
