,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,1054,15,16,361,371,461,0,2001-09-20 00:10:10,1000944610,10,155
1,44510,18,166,1391,41788,14476,23,2001-09-20 00:15:10,1000944910,139,854
2,3008,15,81,2459,2108,938,2,2001-09-20 00:20:10,1000945210,21,189
3,13510,15,797,11726,11102,3130,7,2001-09-20 00:25:10,1000945510,17,253
4,11198,14,160,10290,10196,3383,0,2001-09-20 00:30:10,1000945810,19,177
5,4774,15,391,3952,3380,1829,0,2001-09-20 00:35:10,1000946110,31,279
6,1343,13,93,797,312,423,0,2001-09-20 00:40:10,1000946410,6,94
7,941,14,55,548,266,408,0,2001-09-20 00:45:10,1000946710,67,299
8,3411,12,211,1817,1213,990,0,2001-09-20 00:50:10,1000947010,76,274
9,1796,15,57,1074,666,535,0,2001-09-20 00:55:10,1000947310,20,224
10,1859,12,152,885,731,642,0,2001-09-20 01:00:10,1000947610,36,315
11,2201,14,143,1252,590,670,0,2001-09-20 01:05:10,1000947910,28,380
12,1363,13,74,824,409,507,0,2001-09-20 01:10:10,1000948210,43,256
13,1332,15,140,836,412,536,0,2001-09-20 01:15:10,1000948510,32,243
14,1986,16,116,1061,770,624,0,2001-09-20 01:20:10,1000948810,34,248
15,1262,16,102,728,331,567,0,2001-09-20 01:25:10,1000949110,53,268
16,1809,15,119,1103,367,461,0,2001-09-20 01:30:10,1000949410,12,365
17,1102,15,119,556,270,395,4,2001-09-20 01:35:10,1000949710,18,182
18,1593,16,56,951,378,481,0,2001-09-20 01:40:10,1000950010,70,490
19,1640,17,140,1066,361,644,0,2001-09-20 01:45:10,1000950310,32,345
20,1697,11,124,928,458,587,0,2001-09-20 01:50:10,1000950610,47,239
21,1300,14,97,874,352,565,0,2001-09-20 01:55:10,1000950910,42,246
22,1341,15,60,842,391,576,0,2001-09-20 02:00:10,1000951210,16,211
23,4474,14,103,916,3246,902,0,2001-09-20 02:05:10,1000951510,102,607
24,982,15,82,456,283,334,0,2001-09-20 02:10:10,1000951810,13,184
25,1350,13,84,846,413,398,0,2001-09-20 02:15:10,1000952110,42,194
26,3056,16,320,1692,1106,752,0,2001-09-20 02:20:10,1000952410,19,543
27,1772,14,55,1113,692,561,0,2001-09-20 02:25:10,1000952710,29,164
28,1253,15,29,819,469,504,0,2001-09-20 02:30:10,1000953010,14,172
29,1067,15,120,637,293,397,0,2001-09-20 02:35:10,1000953310,19,130
30,751,15,106,503,281,344,0,2001-09-20 02:40:10,1000953610,11,94
31,1589,15,50,1112,441,563,0,2001-09-20 02:45:10,1000953910,14,229
32,1935,14,73,980,974,658,0,2001-09-20 02:50:10,1000954210,49,219
33,1855,14,139,1017,411,776,0,2001-09-20 02:55:10,1000954510,11,298
34,2807,19,254,1569,625,515,0,2001-09-20 03:00:10,1000954810,31,706
35,3011,16,166,1969,1110,974,0,2001-09-20 03:05:10,1000955110,56,840
36,1098,14,86,764,296,397,0,2001-09-20 03:10:10,1000955410,27,137
37,3717,15,218,2095,991,731,0,2001-09-20 03:15:10,1000955710,67,423
38,2496,18,151,1616,991,623,0,2001-09-20 03:20:10,1000956010,83,293
39,1740,15,115,1172,643,510,0,2001-09-20 03:25:10,1000956310,233,624
40,2252,16,254,1115,560,463,0,2001-09-20 03:30:10,1000956610,27,158
41,2286,14,151,1577,603,713,0,2001-09-20 03:35:10,1000956910,52,566
42,1755,14,131,1231,466,631,0,2001-09-20 03:40:10,1000957210,31,224
43,2900,18,254,2036,917,950,0,2001-09-20 03:45:10,1000957510,98,555
44,1245,16,100,710,450,508,0,2001-09-20 03:50:10,1000957810,33,221
45,974,15,83,602,276,451,0,2001-09-20 03:55:10,1000958110,13,132
46,1692,16,111,916,638,639,0,2001-09-20 04:00:10,1000958410,63,337
47,2741,12,240,1693,715,696,0,2001-09-20 04:05:10,1000958710,76,386
48,2063,16,107,1422,811,737,0,2001-09-20 04:10:10,1000959010,26,721
49,1274,15,68,779,669,527,0,2001-09-20 04:15:10,1000959310,17,178
50,1893,15,117,1032,845,608,0,2001-09-20 04:20:10,1000959610,39,229
51,2676,15,102,2011,1093,970,0,2001-09-20 04:25:10,1000959910,187,852
52,1933,18,81,971,857,612,0,2001-09-20 04:30:10,1000960210,21,340
53,2882,17,334,1792,757,843,0,2001-09-20 04:35:10,1000960510,30,250
54,2252,17,87,1671,599,607,0,2001-09-20 04:40:10,1000960810,36,290
55,2729,12,130,1707,961,633,0,2001-09-20 04:45:10,1000961110,198,596
56,1471,18,108,809,432,580,0,2001-09-20 04:50:10,1000961410,45,282
57,2014,17,143,1366,663,634,4,2001-09-20 04:55:10,1000961710,21,266
58,3211,15,190,2448,1151,973,0,2001-09-20 05:00:10,1000962010,239,694
59,4141,17,675,2247,1354,1321,0,2001-09-20 05:05:10,1000962310,52,365
60,3007,16,91,2094,1217,811,0,2001-09-20 05:10:10,1000962610,20,259
61,2054,17,235,1511,543,770,0,2001-09-20 05:15:10,1000962910,20,286
62,1945,15,112,1268,556,642,0,2001-09-20 05:20:10,1000963210,37,407
63,2261,18,136,1614,975,768,0,2001-09-20 05:25:10,1000963510,205,430
64,1733,18,102,1274,656,656,0,2001-09-20 05:30:10,1000963810,17,204
65,2164,15,109,1564,779,748,0,2001-09-20 05:35:10,1000964110,34,436
66,2529,17,174,1373,1078,676,0,2001-09-20 05:40:10,1000964410,34,242
67,2459,15,167,1920,980,767,0,2001-09-20 05:45:10,1000964710,62,309
68,1956,19,89,1452,721,732,0,2001-09-20 05:50:10,1000965010,20,247
69,1561,16,110,918,512,614,0,2001-09-20 05:55:10,1000965310,46,337
70,2221,19,67,1516,583,721,0,2001-09-20 06:00:10,1000965610,126,415
71,1594,16,82,1168,463,634,0,2001-09-20 06:05:10,1000965910,54,506
72,2548,15,116,1815,673,812,0,2001-09-20 06:10:10,1000966210,33,232
73,1618,16,110,1083,483,710,0,2001-09-20 06:15:10,1000966510,208,598
74,1707,15,118,1151,503,615,0,2001-09-20 06:20:10,1000966810,19,304
75,3299,15,312,1115,2189,1018,0,2001-09-20 06:25:10,1000967110,18,209
76,2261,15,188,1713,801,693,0,2001-09-20 06:30:10,1000967410,18,164
77,4102,15,721,2296,2197,1088,0,2001-09-20 06:35:10,1000967710,55,684
78,2367,15,185,1618,610,784,0,2001-09-20 06:40:10,1000968010,22,182
79,1297,19,72,817,374,499,0,2001-09-20 06:45:10,1000968310,29,233
80,1019,19,82,704,359,407,2,2001-09-20 06:50:10,1000968610,14,117
81,1764,14,454,981,732,598,0,2001-09-20 06:55:10,1000968910,13,175
82,2787,19,213,1603,787,683,4,2001-09-20 07:00:10,1000969210,80,483
83,3704,15,243,2430,931,1037,1,2001-09-20 07:05:10,1000969510,38,559
84,3443,17,217,2018,1221,880,0,2001-09-20 07:10:10,1000969810,42,481
85,2844,14,195,1946,881,935,0,2001-09-20 07:15:10,1000970110,49,327
86,3289,12,132,2042,913,749,0,2001-09-20 07:20:10,1000970410,33,243
87,2280,13,138,1472,753,851,0,2001-09-20 07:25:10,1000970710,35,305
88,1730,13,81,1055,626,654,0,2001-09-20 07:30:10,1000971010,39,327
89,1962,14,175,1283,513,752,0,2001-09-20 07:35:10,1000971310,35,199
90,2782,13,346,1562,694,863,18,2001-09-20 07:40:10,1000971610,57,679
91,2417,15,331,1482,728,921,1,2001-09-20 07:45:10,1000971910,97,417
92,3182,14,104,2035,1190,883,2,2001-09-20 07:50:10,1000972210,42,410
93,2356,17,114,1642,975,781,0,2001-09-20 07:55:10,1000972510,252,788
94,2159,14,244,1600,522,648,0,2001-09-20 08:00:10,1000972810,72,365
95,3656,15,557,1890,1537,985,15,2001-09-20 08:05:10,1000973110,64,926
96,2356,14,306,1548,986,757,8,2001-09-20 08:10:10,1000973410,39,196
97,1751,19,94,1150,583,572,6,2001-09-20 08:15:10,1000973710,295,518
98,4915,19,196,2560,2451,1229,2,2001-09-20 08:20:10,1000974010,58,311
99,3179,14,192,2199,1473,1116,12,2001-09-20 08:25:10,1000974310,78,550
100,2798,11,697,1620,1433,1017,7,2001-09-20 08:30:10,1000974610,22,209
101,3482,16,247,2736,1015,1269,0,2001-09-20 08:35:10,1000974910,419,1046
102,4115,14,143,1844,2781,1259,2,2001-09-20 08:40:10,1000975210,540,1057
103,7454,15,516,5276,3360,1673,3,2001-09-20 08:45:10,1000975510,56,876
104,24520,21,457,5868,20227,5900,4,2001-09-20 08:50:10,1000975810,32,386
105,15837,18,198,12639,12985,4611,26,2001-09-20 08:55:10,1000976110,210,603
106,12487,17,92,11388,9885,3579,3,2001-09-20 09:00:10,1000976410,87,496
107,1634,13,92,1161,748,582,0,2001-09-20 09:05:10,1000976710,14,326
108,2824,13,139,1965,1257,994,27,2001-09-20 09:10:10,1000977010,62,296
109,1354,13,76,928,408,538,0,2001-09-20 09:15:10,1000977310,16,218
110,3583,14,201,2906,1606,1133,0,2001-09-20 09:20:10,1000977610,67,420
111,3696,14,548,2574,2002,1198,0,2001-09-20 09:25:10,1000977910,37,260
112,2313,12,273,1602,984,687,0,2001-09-20 09:30:10,1000978210,195,655
113,3447,14,473,1788,1526,902,5,2001-09-20 09:35:10,1000978510,75,540
114,2136,15,139,1444,694,800,8,2001-09-20 09:40:10,1000978810,58,570
115,1909,13,449,1011,842,543,0,2001-09-20 09:45:10,1000979110,116,360
116,2226,14,233,1434,644,686,0,2001-09-20 09:50:10,1000979410,242,688
117,1561,13,82,1000,528,525,0,2001-09-20 09:55:10,1000979710,23,254
118,3459,15,459,2156,1218,675,0,2001-09-20 10:00:10,1000980010,19,232
119,1922,15,317,1144,683,712,0,2001-09-20 10:05:10,1000980310,38,295
