,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,76,143,1481,4,16,0,63,1.434782608695652,118,176,0,96,70,12,4,2,5,0,0,7,118,176,0,96,70,12,4,2,5,0,0,7,377,333,44,36,922,727,0,550,0,63,12,0.0,0,2001-09-19 00:14:00,1000858440,4,10,2,193
1,214,257,1244,4,21,0,36,2.0998735777496838,98,278,2,154,134,47,47,11,12,0,4,11,98,278,2,154,134,47,47,11,12,0,4,21,676,641,35,58,412,391,0,479,2,42,10,0.0,0,2001-09-19 00:19:00,1000858740,4,13,3,243
2,1297,3519,98271,6,21,0,398,1.687204338294681,2695,960,16,3232,737,547,334,95,29,12,5,12,2695,960,16,3232,737,547,334,95,29,12,5,2081,2548,2421,127,3640,20636,88738,185,29251,65,2453,30,0.0018825301204819277,4,2001-09-19 00:24:00,1000859040,6,12,26,69867
3,641,988,3516,6,20,0,124,2.807366482504604,371,564,22,691,266,229,138,286,35,28,51,13,371,564,22,691,266,229,138,286,35,28,51,182,2029,1993,36,380,634,1179,0,1095,0,103,33,0.0,0,2001-09-19 00:29:00,1000859340,6,11,41,466
4,706,47134,91623,4,20,0,225,1.3412939261995867,528,70675,59,14890,1861,1451,717,193,86,324,117,14,528,70675,59,14890,1861,1451,717,193,86,324,117,77,26861,26700,161,63785,531,88498,18,26029,47,2170,175,0.00019645507727233038,3,2001-09-19 00:34:00,1000859640,4,12,29,981
5,680,717,3383,3,20,0,127,1.8117182356813692,572,1438,37,240,431,53,90,94,27,6,45,11,572,1438,37,240,431,53,90,94,27,6,45,117,2602,2283,319,192,256,1384,4,938,0,115,35,0.001182033096926714,1,2001-09-19 00:39:00,1000859940,3,11,19,422
6,802,614,2483,5,20,0,69,1.6980965028773793,409,952,3,413,254,48,59,94,11,10,4,11,409,952,3,413,254,48,59,94,11,10,4,89,1901,1655,246,200,138,914,6,776,0,101,25,0.0024164317358034634,1,2001-09-19 00:44:00,1000860240,5,9,31,410
7,744,875,2401,8,14,0,70,2.071748878923767,210,1000,9,386,310,79,50,129,9,7,41,10,210,1000,9,386,310,79,50,129,9,7,41,73,1850,1796,54,237,88,773,8,791,0,77,57,0.003331945022907122,3,2001-09-19 00:49:00,1000860540,5,11,36,495
8,1638,1732,9534,7,17,0,355,1.5683867463335144,535,5908,2,1171,810,483,114,126,10,5,41,10,535,5908,2,1171,810,483,114,126,10,5,41,133,8555,8519,36,162,309,4178,3,2662,0,190,27,0.00031466331025802394,1,2001-09-19 00:54:00,1000860840,5,12,26,266
9,750,687,2645,3,20,0,130,2.1442762535477766,391,733,14,395,189,132,43,107,33,22,49,12,391,733,14,395,189,132,43,107,33,22,49,183,1629,1585,44,172,501,1094,2,675,0,115,31,0.0007561436672967864,1,2001-09-19 00:59:00,1000861140,3,11,18,462
10,450,254,1641,6,20,0,111,1.5853829936753339,470,307,7,330,153,83,39,16,11,3,4,10,470,307,7,330,153,83,39,16,11,3,4,55,1162,863,299,95,189,482,3,472,0,73,29,0.0018270401948842874,1,2001-09-19 01:04:00,1000861440,5,10,11,183
11,638,698,2322,2,16,0,160,2.1207798383262007,288,804,0,429,196,107,86,103,27,48,6,12,288,804,0,429,196,107,86,103,27,48,6,77,1691,1645,46,175,181,882,5,710,0,65,22,0.002152389151958674,1,2001-09-19 01:09:00,1000861740,2,9,8,414
12,1117,1013,3667,4,20,0,315,2.0093457943925235,871,1093,4,405,500,164,59,154,55,50,7,12,871,1093,4,405,500,164,59,154,55,50,7,187,2526,2179,347,396,149,966,3,924,0,94,28,0.0008181074447777475,1,2001-09-19 01:14:00,1000862040,4,11,48,557
13,700,704,2578,8,20,0,154,1.985933503836317,407,811,2,430,398,78,59,80,27,27,16,14,407,811,2,430,398,78,59,80,27,27,16,187,1862,1801,61,143,203,856,4,689,1,97,68,0.0015509887553315238,2,2001-09-19 01:19:00,1000862340,6,12,62,600
14,1149,631,2680,3,17,0,148,2.770616493194556,355,632,2,376,448,278,48,101,77,13,142,12,355,632,2,376,448,278,48,101,77,13,142,153,1888,1839,49,309,144,1165,7,773,9,93,57,0.0026119402985074628,2,2001-09-19 01:24:00,1000862640,3,10,30,542
15,505,636,1810,5,20,0,52,2.660233918128655,202,614,32,254,217,82,57,114,40,9,87,12,202,614,32,254,217,82,57,114,40,9,87,98,1373,1329,44,187,70,850,5,644,0,74,37,0.0027624309392265192,2,2001-09-19 01:29:00,1000862940,5,10,17,288
16,756,484,2059,6,19,0,130,1.8084656084656086,274,945,10,193,233,58,74,70,14,3,16,10,274,945,10,193,233,58,74,70,14,3,16,93,1556,1519,37,111,129,772,3,661,0,90,17,0.0014570179698882952,2,2001-09-19 01:34:00,1000863240,6,11,15,286
17,909,1012,2621,9,20,0,89,1.8165869218500796,342,1270,0,264,303,57,104,132,6,13,14,13,342,1270,0,264,303,57,104,132,6,13,14,161,2068,1984,84,190,56,754,2,830,0,86,28,0.0007630675314765357,1,2001-09-19 01:39:00,1000863540,9,10,25,429
18,656,357,1727,3,14,0,84,2.0176933158584536,247,558,9,317,179,73,31,58,14,21,5,11,247,558,9,317,179,73,31,58,14,21,5,133,1152,1128,24,157,138,741,7,605,0,99,36,0.004053271569195136,1,2001-09-19 01:44:00,1000863840,3,12,68,486
19,977,781,2469,4,21,0,94,2.067186822713481,293,1001,13,305,337,90,97,114,20,9,20,13,293,1001,13,305,337,90,97,114,20,9,20,129,1797,1734,63,287,143,946,4,809,0,51,27,0.0016083634901487736,1,2001-09-19 01:49:00,1000864140,4,12,11,523
20,767,885,2655,6,21,0,138,2.4573863636363638,389,716,5,484,326,109,96,189,31,31,73,13,389,716,5,484,326,109,96,189,31,31,73,181,1875,1819,56,270,151,876,7,837,0,88,43,0.002619760479041916,1,2001-09-19 01:54:00,1000864440,6,12,1,311
21,305,391,4702,5,20,0,76,1.380877248343326,299,2229,14,329,117,70,41,36,18,1,3,12,299,2229,14,329,117,70,41,36,18,1,3,129,2832,2743,89,132,1506,2253,0,563,0,86,18,0.0,0,2001-09-19 01:59:00,1000864740,4,10,2,310
22,365,264,1076,3,14,0,32,1.7702845100105373,141,266,0,376,101,25,17,8,9,1,1,12,141,266,0,376,101,25,17,8,9,1,1,66,726,688,38,125,84,408,1,424,0,44,10,0.0009293680297397769,1,2001-09-19 02:04:00,1000865040,3,10,8,286
