,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,142,129,1149,5,12,0,18,1.6116700201207244,91,223,0,95,26,14,37,9,1,1,0,8,91,223,0,95,26,14,37,9,1,1,0,10,420,392,28,49,572,382,18,343,0,39,3,0.12,5,2003-01-26 00:00:04,1043539204,5,9,2,278
1,160,140,891,10,12,0,17,1.7234782608695651,109,163,0,167,98,18,4,4,12,0,0,7,109,163,0,167,98,18,4,4,12,0,0,44,445,406,39,69,251,257,93,319,0,51,80,0.10437710437710437,5,2003-01-26 00:05:04,1043539504,8,9,29,254
2,176,201,1151,5,17,0,33,1.607565011820331,206,383,1,75,69,71,8,7,5,8,5,13,206,383,1,75,69,71,8,7,5,8,5,60,585,496,89,168,258,397,132,321,0,59,38,0.11468288444830582,4,2003-01-26 00:10:04,1043539804,5,10,6,191
3,128,116,622,2,13,0,19,1.365180467091295,149,179,0,71,32,13,5,10,7,5,0,8,149,179,0,71,32,13,5,10,7,5,0,47,335,271,64,70,131,238,86,259,0,60,22,0.1382636655948553,5,2003-01-26 00:15:04,1043540104,2,9,23,205
4,141,145,622,7,13,0,13,1.3832684824902723,124,227,0,86,34,23,10,4,4,2,0,8,124,227,0,86,34,23,10,4,4,2,0,59,343,304,39,99,94,210,74,286,0,24,10,0.1189710610932476,3,2003-01-26 00:20:04,1043540404,4,9,5,205
5,187,184,741,5,11,0,17,1.352760736196319,183,272,0,113,35,12,7,15,14,1,0,8,183,272,0,113,35,12,7,15,14,1,0,73,432,362,70,130,80,227,38,269,0,52,66,0.05128205128205128,3,2003-01-26 00:25:04,1043540704,5,9,5,255
6,136,142,543,3,13,0,11,1.3514739229024944,107,211,1,58,28,18,14,1,1,0,1,11,107,211,1,58,28,18,14,1,1,0,1,22,313,257,56,95,84,178,93,242,0,39,44,0.1712707182320442,3,2003-01-26 00:30:04,1043541004,3,9,0,113
7,141,113,751,12,13,0,21,1.6311787072243347,131,181,2,78,72,39,18,2,1,0,1,11,131,181,2,78,72,39,18,2,1,0,1,29,367,301,66,109,204,295,145,324,0,30,15,0.19307589880159787,4,2003-01-26 00:35:04,1043541304,7,11,2,189
8,130,113,713,8,20,0,27,1.3747572815533982,180,166,3,88,41,21,8,1,2,0,1,17,180,166,3,88,41,21,8,1,2,0,1,52,358,287,71,78,197,297,59,246,0,43,37,0.08274894810659186,2,2003-01-26 00:40:04,1043541604,7,11,0,250
9,208,294,1151,6,12,0,15,1.412972972972973,234,404,0,114,69,69,27,1,5,2,0,8,234,404,0,114,69,69,27,1,5,2,0,77,701,589,112,132,129,348,55,397,0,30,30,0.04778453518679409,3,2003-01-26 00:45:04,1043541904,6,10,3,245
