,announcements,as_path_max,class,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,694,13,0,31,297,193,243,0,2003-01-23 00:00:08,1043280008,24,170
1,542,12,0,4,269,201,196,0,2003-01-23 00:05:08,1043280308,0,101
2,186,12,0,12,101,80,128,0,2003-01-23 00:10:08,1043280608,2,34
3,307,12,0,7,138,110,149,0,2003-01-23 00:15:08,1043280908,0,79
4,381,16,0,10,210,143,224,0,2003-01-23 00:20:08,1043281208,2,60
5,428,19,0,11,194,173,184,0,2003-01-23 00:25:08,1043281508,0,49
6,361,12,0,3,240,106,145,0,2003-01-23 00:30:08,1043281808,1,130
7,272,14,0,2,164,107,135,0,2003-01-23 00:35:08,1043282108,2,32
8,749,14,0,7,376,224,197,0,2003-01-23 00:40:08,1043282408,1,214
9,617,15,0,5,414,201,147,0,2003-01-23 00:45:08,1043282708,111,264
10,774,16,0,10,496,317,212,0,2003-01-23 00:50:08,1043283008,0,108
11,522,15,0,5,358,172,178,0,2003-01-23 00:55:08,1043283308,1,34
12,1132,13,0,18,572,589,250,0,2003-01-23 01:00:08,1043283608,0,433
13,1246,13,0,11,619,524,237,0,2003-01-23 01:05:08,1043283908,12,259
14,1028,14,0,4,714,422,292,0,2003-01-23 01:10:08,1043284208,63,192
15,820,11,0,4,534,359,194,4,2003-01-23 01:15:08,1043284508,0,150
16,428,13,0,3,235,182,162,0,2003-01-23 01:20:08,1043284808,7,156
17,896,18,0,19,590,324,211,0,2003-01-23 01:25:08,1043285108,30,293
18,715,18,0,5,386,313,120,0,2003-01-23 01:30:08,1043285408,0,133
19,1005,10,0,23,762,497,215,0,2003-01-23 01:35:08,1043285708,185,512
20,1177,12,0,8,731,472,199,0,2003-01-23 01:40:08,1043286008,3,55
21,1062,12,0,13,923,460,237,0,2003-01-23 01:45:08,1043286308,1,405
22,401,11,0,30,256,176,147,0,2003-01-23 01:50:08,1043286608,0,166
23,310,16,0,10,229,156,157,0,2003-01-23 01:55:08,1043286908,1,49
24,1722,12,0,16,954,705,328,2,2003-01-23 02:00:08,1043287208,5,291
25,791,9,0,13,585,201,241,0,2003-01-23 02:05:08,1043287508,0,213
26,577,9,0,32,231,205,212,1,2003-01-23 02:10:08,1043287808,0,92
27,479,17,0,8,298,226,238,1,2003-01-23 02:15:08,1043288108,3,137
28,944,17,0,11,501,372,441,1,2003-01-23 02:20:08,1043288408,23,216
29,551,20,0,10,370,178,211,0,2003-01-23 02:25:08,1043288708,4,122
30,330,14,0,5,206,139,163,0,2003-01-23 02:30:08,1043289008,2,82
31,435,10,0,6,321,135,172,0,2003-01-23 02:35:08,1043289308,15,138
32,289,15,0,8,146,117,123,0,2003-01-23 02:40:08,1043289608,0,74
33,276,12,0,11,153,107,109,0,2003-01-23 02:45:08,1043289908,0,34
34,617,11,0,14,303,181,323,6,2003-01-23 02:50:08,1043290208,0,20
35,459,12,0,6,241,147,180,0,2003-01-23 02:55:08,1043290508,2,34
36,397,20,0,2,239,158,127,0,2003-01-23 03:00:08,1043290808,2,131
37,463,19,0,18,228,224,167,0,2003-01-23 03:05:08,1043291108,1,76
38,338,9,0,27,184,124,109,0,2003-01-23 03:10:08,1043291408,0,64
39,501,16,0,5,337,143,176,0,2003-01-23 03:15:08,1043291708,2,113
40,239,12,0,2,112,100,112,0,2003-01-23 03:20:08,1043292008,0,71
41,282,16,0,10,206,121,112,0,2003-01-23 03:25:08,1043292308,7,59
42,446,11,0,6,299,153,183,0,2003-01-23 03:30:08,1043292608,0,35
43,199,12,0,1,152,64,89,0,2003-01-23 03:35:08,1043292908,0,58
44,1068,15,0,83,703,196,420,0,2003-01-23 03:40:08,1043293208,8,185
45,1322,17,0,52,954,382,356,0,2003-01-23 03:45:08,1043293508,2,263
46,1224,17,0,5,838,445,375,1,2003-01-23 03:50:08,1043293808,0,190
47,1269,16,0,89,1036,440,496,2,2003-01-23 03:55:08,1043294108,7,155
48,970,13,0,10,705,363,481,4,2003-01-23 04:00:08,1043294408,1,128
49,2400,14,0,6,1192,1153,546,0,2003-01-23 04:05:08,1043294708,1,247
50,454,12,0,4,262,162,134,0,2003-01-23 04:10:08,1043295008,1,122
51,347,20,0,2,230,168,162,0,2003-01-23 04:15:08,1043295308,7,82
52,246,20,0,8,169,141,131,0,2003-01-23 04:20:08,1043295608,1,40
53,696,21,0,17,435,172,335,9,2003-01-23 04:25:08,1043295908,2,138
54,620,19,0,5,507,178,215,0,2003-01-23 04:30:08,1043296208,12,150
55,1061,17,0,13,599,290,223,0,2003-01-23 04:35:08,1043296508,7,75
56,421,16,0,9,271,137,195,0,2003-01-23 04:40:08,1043296808,0,83
57,462,15,0,6,337,126,231,0,2003-01-23 04:45:08,1043297108,3,120
58,475,12,0,4,341,146,188,3,2003-01-23 04:50:08,1043297408,1,93
59,500,16,0,28,319,159,224,7,2003-01-23 04:55:08,1043297708,1,89
60,438,14,0,7,254,137,207,0,2003-01-23 05:00:08,1043298008,0,62
61,549,21,0,23,377,286,184,0,2003-01-23 05:05:08,1043298308,0,61
62,683,19,0,46,373,227,288,0,2003-01-23 05:10:08,1043298608,18,303
63,819,21,0,46,439,244,338,0,2003-01-23 05:15:08,1043298908,3,53
64,595,17,0,13,391,189,205,0,2003-01-23 05:20:08,1043299208,0,104
65,437,14,0,15,329,148,187,0,2003-01-23 05:25:08,1043299508,0,45
66,406,10,0,4,213,131,161,0,2003-01-23 05:30:08,1043299808,1,69
67,605,13,0,19,438,207,234,0,2003-01-23 05:35:08,1043300108,2,80
68,631,15,0,3,409,221,188,1,2003-01-23 05:40:08,1043300408,0,140
69,1452,17,0,10,989,335,753,5,2003-01-23 05:45:08,1043300708,0,148
70,461,14,0,23,285,148,195,0,2003-01-23 05:50:08,1043301008,0,59
71,629,11,0,15,406,213,194,0,2003-01-23 05:55:08,1043301308,1,156
72,659,14,0,7,406,238,270,0,2003-01-23 06:00:08,1043301608,0,93
