,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,34,33,298,6,12,0,24,1.7236842105263157,50,2,0,67,14,15,0,4,0,0,0,6,50,2,0,67,14,15,0,4,0,0,0,7,117,98,19,4,137,146,0,133,0,33,4,0.0,0,2001-07-17 00:05:52,995328352,6,10,0,28
1,410,433,1281,6,13,0,86,1.7850746268656716,139,4,0,831,12,13,2,0,3,0,1,9,139,4,0,831,12,13,2,0,3,0,1,38,865,853,12,16,271,313,0,150,0,59,4,0.0,0,2001-07-17 00:20:52,995329252,6,10,0,82
2,250,263,754,5,14,0,66,1.8360175695461203,105,1,0,528,24,16,2,2,1,4,0,8,105,1,0,528,24,16,2,2,1,4,0,28,561,551,10,28,45,242,6,132,0,48,0,0.007957559681697613,4,2001-07-17 00:35:52,995330152,5,9,1,65
3,62,61,496,6,17,0,106,1.4058355437665782,194,14,0,90,42,16,0,1,20,0,0,7,194,14,0,90,42,16,0,1,20,0,0,31,226,169,57,14,105,156,54,199,0,47,9,0.10887096774193547,4,2001-07-17 00:50:52,995331052,6,14,4,92
4,77,64,506,4,11,0,60,1.8636363636363635,83,17,0,220,21,14,1,13,2,3,0,8,83,17,0,220,21,14,1,13,2,3,0,13,264,257,7,37,130,192,18,139,0,37,4,0.03557312252964427,3,2001-07-17 01:05:52,995331952,4,9,0,59
5,80,81,405,9,11,0,62,1.7548746518105849,122,6,0,153,36,26,6,2,0,8,0,8,122,6,0,153,36,26,6,2,0,8,0,44,235,220,15,18,44,142,25,152,0,47,0,0.061728395061728385,3,2001-07-17 01:20:52,995332852,6,9,0,62
6,173,251,705,4,13,0,32,2.09660107334526,73,2,0,379,60,25,5,5,5,3,2,9,73,2,0,379,60,25,5,5,5,3,2,28,465,456,9,34,145,325,57,215,0,46,3,0.08085106382978724,6,2001-07-17 01:35:52,995333752,4,11,0,77
7,79,89,472,4,13,0,112,1.7217847769028871,155,4,1,98,91,19,2,2,2,4,2,11,155,4,1,98,91,19,2,2,2,4,2,17,211,186,25,41,87,183,25,175,0,32,1,0.05296610169491525,2,2001-07-17 01:50:52,995334652,4,12,0,84
8,36,47,196,4,14,0,48,1.7333333333333334,69,5,0,49,27,28,0,0,0,2,0,8,69,5,0,49,27,28,0,0,0,2,0,8,101,88,13,23,9,57,7,80,0,36,1,0.03571428571428571,2,2001-07-17 02:05:52,995335552,4,9,0,43
9,107,126,600,4,15,0,30,1.7374301675977657,78,4,0,242,13,15,1,5,0,0,0,6,78,4,0,242,13,15,1,5,0,0,0,15,290,257,33,23,229,382,46,136,0,40,2,0.07666666666666666,3,2001-07-17 02:20:52,995336452,4,12,0,57
10,231,433,819,6,13,0,32,2.7906976744186047,86,4,0,59,532,69,5,2,7,10,0,8,86,4,0,59,532,69,5,2,7,10,0,22,695,669,26,25,44,297,18,252,0,30,0,0.02197802197802198,3,2001-07-17 02:35:52,995337352,6,9,1,37
11,199,176,648,6,12,0,67,2.1646655231560894,111,22,0,297,54,42,43,3,5,6,0,8,111,22,0,297,54,42,43,3,5,6,0,13,464,433,31,39,60,151,19,223,0,60,22,0.029320987654320983,3,2001-07-17 02:50:52,995338252,6,12,0,72
12,445,454,1222,4,14,0,24,1.626890756302521,256,5,0,884,24,18,1,1,0,1,0,8,256,5,0,884,24,18,1,1,0,1,0,41,1111,922,189,14,25,307,21,150,0,66,3,0.01718494271685761,2,2001-07-17 03:05:52,995339152,4,9,8,72
