,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,45,45,258,7,19,0,0,2.879120879120879,14,68,1,30,14,9,8,10,23,0,4,11,14,68,1,30,14,9,8,10,23,0,4,8,165,159,6,9,70,76,0,123,0,24,3,0.0,0,2005-05-23 00:00:09,1116806409,5,8,2,27
1,64,62,356,7,21,0,0,2.1655172413793102,50,93,0,48,48,32,0,4,0,11,0,14,50,93,0,48,48,32,0,4,0,11,0,19,225,213,12,46,39,74,0,114,0,8,1,0.0,0,2005-05-23 00:05:09,1116806709,6,10,2,78
2,77,83,349,14,19,0,0,1.4984423676012462,84,119,0,61,40,1,2,0,6,8,0,8,84,119,0,61,40,1,2,0,6,8,0,23,257,202,55,41,26,73,0,99,0,9,0,0.0,0,2005-05-23 00:10:09,1116807009,8,8,0,77
3,51,88,294,5,19,0,0,1.5830115830115832,42,108,0,69,22,10,1,2,0,4,1,9,42,108,0,69,22,10,1,2,0,4,1,13,220,192,28,26,34,66,15,118,0,17,0,0.05813953488372092,2,2005-05-23 00:15:09,1116807309,5,8,0,30
4,115,153,565,8,19,0,0,1.6266416510318948,57,187,0,211,68,2,2,6,0,0,0,6,57,187,0,211,68,2,2,6,0,0,0,15,440,398,42,78,27,76,14,135,0,35,0,0.024778761061946902,2,2005-05-23 00:20:09,1116807609,8,8,0,93
5,21,22,85,3,19,0,0,1.8888888888888888,7,25,0,25,7,5,1,1,0,0,1,9,7,25,0,25,7,5,1,1,0,0,1,4,61,59,2,7,12,25,16,63,0,10,0,0.18823529411764706,3,2005-05-23 00:25:09,1116807909,3,9,0,12
6,15,15,84,4,19,0,0,2.2413793103448274,11,20,0,15,6,1,0,1,0,0,0,14,11,20,0,15,6,1,0,1,0,0,0,2,48,39,9,8,25,36,13,53,0,6,0,0.15476190476190474,2,2005-05-23 00:30:09,1116808209,4,8,0,12
7,46,49,212,4,19,0,0,1.7253886010362691,37,50,0,64,31,7,1,1,0,0,0,12,37,50,0,64,31,7,1,1,0,0,0,4,157,125,32,32,16,40,39,114,0,7,2,0.18396226415094336,4,2005-05-23 00:35:09,1116808509,4,8,0,35
8,50,48,252,4,19,0,0,1.6943231441048034,33,111,0,43,12,9,12,7,0,1,1,9,33,111,0,43,12,9,12,7,0,1,1,13,188,168,20,28,21,46,40,124,0,18,1,0.15873015873015872,3,2005-05-23 00:40:09,1116808809,4,7,0,52
9,47,50,221,8,19,0,0,2.269662921348315,20,70,1,38,20,9,4,2,4,3,5,12,20,70,1,38,20,9,4,2,4,3,5,7,142,130,12,29,34,64,51,144,0,5,0,0.2307692307692308,4,2005-05-23 00:45:09,1116809109,5,8,1,39
