,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,169,233,1165,8,17,0,80,1.6937573616018846,394,59,2,164,41,135,13,3,29,1,7,11,394,59,2,164,41,135,13,3,29,1,7,258,470,418,52,41,206,316,29,330,0,71,0,0.1746987951807229,4,2001-09-16 00:13:19,1000599199,6,12,5,377
1,176,200,748,5,17,0,75,2.208722741433022,179,14,0,293,53,15,10,3,70,4,1,9,179,14,0,293,53,15,10,3,70,4,1,42,439,378,61,86,93,169,84,334,0,78,12,0.11214953271028036,3,2001-09-16 01:13:19,1000602799,5,11,4,157
2,323,336,1243,2,19,0,90,2.465004793863854,205,25,0,469,96,114,7,75,47,3,0,14,205,25,0,469,96,114,7,75,47,3,0,37,860,782,78,56,186,274,70,391,0,70,7,0.05631536604987932,4,2001-09-16 02:13:19,1000606399,2,11,1,175
3,294,285,1293,8,17,0,101,2.366355140186916,230,98,3,389,169,60,11,23,67,4,2,15,230,98,3,389,169,60,11,23,67,4,2,48,805,734,71,116,216,366,92,571,1,83,4,0.0711523588553751,3,2001-09-16 03:13:19,1000609999,7,10,1,242
4,346,386,1620,7,16,0,198,1.5704560925799864,534,51,0,632,181,12,5,21,15,17,1,9,534,51,0,632,181,12,5,21,15,17,1,121,944,797,147,206,123,458,45,565,0,66,3,0.027777777777777776,3,2001-09-16 04:13:19,1000613599,6,13,0,479
5,319,322,1178,5,16,0,99,1.8874501992031876,251,37,2,573,44,54,1,11,9,2,14,13,251,37,2,573,44,54,1,11,9,2,14,74,585,534,51,246,150,396,38,414,0,86,5,0.03225806451612903,2,2001-09-16 05:13:19,1000617199,5,11,17,275
6,147,249,2425,11,16,0,57,1.0567423230974633,965,43,0,283,78,13,83,8,8,6,3,13,965,43,0,283,78,13,83,8,8,6,3,711,569,452,117,161,881,1066,69,461,0,78,5,0.02845360824742268,3,2001-09-16 06:13:19,1000620799,7,12,24,1566
7,283,242,1687,4,16,0,403,1.5307984790874525,592,60,8,452,68,35,24,49,12,11,3,12,592,60,8,452,68,35,24,49,12,11,3,80,705,606,99,127,359,586,94,683,0,112,8,0.05572021339656195,2,2001-09-16 07:13:19,1000624399,4,9,2,308
8,280,352,1423,6,16,0,78,2.1478758169934644,344,39,1,437,81,213,77,14,5,10,3,10,344,39,1,437,81,213,77,14,5,10,3,95,910,775,135,141,183,442,46,563,0,89,2,0.03232607167955025,3,2001-09-16 08:13:19,1000627999,6,11,3,252
9,351,402,1293,5,16,0,92,2.0052447552447554,285,44,1,527,50,210,4,6,9,4,1,13,285,44,1,527,50,210,4,6,9,4,1,95,853,765,88,104,100,374,48,438,0,145,2,0.037122969837587005,4,2001-09-16 09:13:19,1000631599,5,11,14,301
