,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,667,618,3124,6,17,0,157,1.824021117465904,261,841,4,683,250,133,47,25,14,8,4,12,261,841,4,683,250,133,47,25,14,8,4,64,1745,1710,35,307,816,851,191,1301,0,173,82,0.08988235294117647,5,2001-07-21 00:06:35,995673995,6,13,6,472
1,1326,1063,4705,11,16,0,110,2.689518263631551,216,870,16,966,779,311,373,80,110,28,20,11,216,870,16,966,779,311,373,80,110,28,20,80,3004,2979,25,584,890,1140,249,1628,1,224,105,0.05292242295430393,3,2001-07-21 01:06:35,995677595,4,13,2,702
2,780,856,2994,5,16,0,182,1.938225383751404,409,708,9,885,335,194,40,43,32,3,11,12,409,708,9,885,335,194,40,43,32,3,11,146,1936,1874,62,407,271,728,110,1269,3,154,117,0.03674014696058784,3,2001-07-21 02:06:35,995681195,5,11,2,618
3,684,634,2478,4,16,0,103,1.909635776855694,260,756,2,655,262,105,53,26,22,6,10,12,260,756,2,655,262,105,53,26,22,6,10,106,1613,1565,48,347,283,573,87,1238,0,137,82,0.035108958837772396,3,2001-07-21 03:06:35,995684795,4,9,4,463
4,697,691,2520,4,17,0,99,2.217569412835685,225,714,13,644,282,171,38,28,16,3,17,14,225,714,13,644,282,171,38,28,16,3,17,58,1679,1616,63,361,303,646,84,1106,0,165,103,0.03333333333333333,2,2001-07-21 04:06:35,995688395,4,10,1,418
5,1609,2124,25110,5,16,0,2952,1.1410783215041713,3273,9485,16,2231,523,260,148,86,8,4,23,13,3273,9485,16,2231,523,260,148,86,8,4,23,78,12355,12117,238,677,8895,9768,810,7553,13,602,222,0.03225806451612903,3,2001-07-21 05:06:35,995691995,4,10,3,871
6,886,799,2824,6,16,0,127,1.8821138211382114,283,821,4,675,440,146,61,14,9,3,3,12,283,821,4,675,440,146,61,14,9,3,3,51,2001,1898,103,281,338,694,127,1129,0,135,87,0.044971671388101986,3,2001-07-21 06:06:35,995695595,6,10,0,261
7,430,427,2003,4,18,0,94,1.864218141346689,151,849,4,454,131,68,53,34,22,14,17,10,151,849,4,454,131,68,53,34,22,14,17,33,1430,1406,24,240,205,617,127,961,0,116,86,0.06340489266100849,3,2001-07-21 07:06:35,995699195,4,10,0,265
8,641,682,2650,5,18,0,139,2.5678620063549706,246,578,7,464,366,224,124,67,65,7,38,15,246,578,7,464,366,224,124,67,65,7,38,64,1777,1734,43,223,415,750,215,1111,4,152,59,0.08113207547169811,3,2001-07-21 08:06:35,995702795,5,12,1,364
9,619,503,2066,4,14,0,157,2.10989010989011,248,678,4,462,150,89,54,24,11,22,72,13,248,678,4,462,150,89,54,24,11,22,72,48,1325,1284,41,290,231,601,82,943,1,154,72,0.03969022265246854,3,2001-07-21 09:06:35,995706395,4,11,1,341
