,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,301,344,2451,4,22,0,147,1.7147435897435896,348,581,3,313,155,77,16,19,11,1,23,20,348,581,3,313,155,77,16,19,11,1,23,94,1138,1055,83,181,782,891,140,940,0,116,2,0.09635237439779766,5,2001-09-17 00:13:33,1000685613,4,9,20,428
1,301,438,2832,3,15,0,163,1.7877795962902345,435,444,3,646,132,56,36,27,5,5,8,12,435,444,3,646,132,56,36,27,5,5,8,214,1282,1245,37,174,782,1217,303,1016,0,123,30,0.10699152542372882,4,2001-09-17 01:13:33,1000689213,3,11,55,575
2,482,733,2650,4,15,0,158,2.148471615720524,386,494,1,446,115,501,66,14,35,3,0,10,386,494,1,446,115,501,66,14,35,3,0,177,1568,1547,21,158,477,772,125,860,1,120,11,0.04716981132075472,3,2001-09-17 02:13:33,1000692813,4,10,19,420
3,348,398,2251,6,15,0,195,1.675746464117339,551,601,0,304,198,130,27,44,18,17,3,12,551,601,0,304,198,130,27,44,18,17,3,298,1212,1183,29,204,229,597,100,895,2,95,7,0.0444247001332741,4,2001-09-17 03:13:33,1000696413,6,9,15,605
4,319,548,4479,5,15,0,244,1.4635539133355728,564,1510,6,465,143,123,98,45,16,1,5,11,564,1510,6,465,143,123,98,45,16,1,5,224,2247,2177,70,262,1385,1851,337,1444,1,162,21,0.07524000893056486,5,2001-09-17 04:13:33,1000700013,5,11,23,624
5,518,778,4764,5,24,0,291,1.4866234863418755,782,1498,0,773,143,225,41,21,16,45,1,21,782,1498,0,773,143,225,41,21,16,45,1,387,2394,2319,75,479,822,1863,191,1242,11,248,60,0.04009235936188077,3,2001-09-17 05:13:33,1000703613,5,10,42,1275
6,898,1043,4475,4,20,0,353,1.9975020815986677,788,995,23,875,274,292,143,92,84,18,3,18,788,995,23,875,274,292,143,92,84,18,3,319,2575,2500,75,356,656,1377,152,1513,0,297,44,0.03396648044692738,6,2001-09-17 06:13:33,1000707213,4,12,52,803
7,512,721,3158,3,16,0,196,1.8626459143968872,626,580,23,901,130,107,49,91,29,15,0,14,626,580,23,901,130,107,49,91,29,15,0,346,1788,1746,42,240,417,1193,154,1123,0,237,6,0.04876504116529449,3,2001-09-17 07:13:33,1000710813,3,14,13,743
8,598,673,4655,6,15,0,291,1.3796653796653797,1432,1155,11,728,163,106,145,92,33,4,3,13,1432,1155,11,728,163,106,145,92,33,4,3,548,2752,2182,570,294,586,1402,145,1444,4,211,20,0.03113592441485935,4,2001-09-17 08:13:33,1000714413,5,9,74,1210
9,768,857,4278,9,19,0,197,1.7614325068870524,857,1077,3,942,338,108,106,112,21,41,8,14,857,1077,3,942,338,108,106,112,21,41,8,508,2509,2423,86,416,424,1351,119,1424,0,216,18,0.027816736792893877,3,2001-09-17 09:13:33,1000718013,5,13,128,1218
10,722,830,4045,9,15,0,316,1.795669072737368,890,1012,5,920,303,114,104,175,37,21,16,12,890,1012,5,920,303,114,104,175,37,21,16,514,2498,2470,28,274,264,1419,150,1485,2,245,29,0.037082818294190356,3,2001-09-17 10:13:33,1000721613,6,13,43,723
11,600,751,3365,4,18,0,180,1.7321428571428572,715,786,5,946,241,118,57,85,48,23,0,10,715,786,5,946,241,118,57,85,48,23,0,421,2182,2119,63,241,254,1159,97,1352,0,246,12,0.028826151560178308,3,2001-09-17 11:13:33,1000725213,4,13,31,590
