,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,0,1,23,4,7,0,1,0.6666666666666666,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2.0,2,0,0,13,20,0,19,0,0,0,0.0,0,2003-01-24 00:00:09,1043366409,4,6,0,9
1,1,3,37,3,14,0,3,1.0769230769230769,9,1,0,2,0,0,0,0,0,0,1,9,9,1,0,2,0,0,0,0,0,0,1,1,5.0,3,2,4,17,29,0,17,0,1,0,0.0,0,2003-01-24 00:05:09,1043366709,3,8,2,19
2,6,0,40,4,14,0,0,1.75,6,0,0,3,2,0,0,0,0,0,1,9,6,0,0,3,2,0,0,0,0,0,1,2,8.0,4,4,2,15,34,0,17,0,1,0,0.0,0,2003-01-24 00:10:09,1043367009,4,8,14,36
3,4,5,23,6,11,0,0,2.1052631578947367,9,1,0,3,2,0,0,3,0,0,1,9,9,1,0,3,2,0,0,3,0,0,1,8,5.0,4,1,6,2,22,0,14,0,1,0,0.0,0,2003-01-24 00:15:09,1043367309,4,9,6,15
4,2,5,23,5,8,0,0,2.3333333333333335,4,0,0,9,2,0,0,3,0,0,0,6,4,0,0,9,2,0,0,3,0,0,0,4,6.0,6,0,8,5,16,0,14,0,0,0,0.0,0,2003-01-24 00:20:09,1043367609,5,8,0,9
5,1,0,30,7,7,0,2,0.2222222222222222,8,0,0,1,0,0,0,0,0,0,0,2,8,0,0,1,0,0,0,0,0,0,0,3,4.0,1,3,0,10,25,0,14,0,1,0,0.0,0,2003-01-24 00:25:09,1043367909,7,7,1,18
6,4,2,44,5,14,0,1,1.7333333333333334,9,0,0,3,0,1,1,0,0,0,0,11,9,0,0,3,0,1,1,0,0,0,0,8,3.0,3,0,3,0,42,0,13,0,1,0,0.0,0,2003-01-24 00:30:09,1043368209,5,7,0,41
7,5,4,21,7,11,0,0,2.3684210526315788,3,1,0,10,3,1,0,0,0,0,0,11,3,1,0,10,3,1,0,0,0,0,0,3,9.0,9,0,7,0,14,0,11,0,1,0,0.0,0,2003-01-24 00:35:09,1043368509,7,8,1,15
8,1,1,6,9,8,0,0,1.6666666666666667,2,1,0,2,0,0,1,0,0,0,0,5,2,1,0,2,0,0,1,0,0,0,0,2,2.0,2,0,2,0,3,0,6,0,0,0,0.0,0,2003-01-24 00:40:09,1043368809,9,8,0,3
9,13,2,22,3,12,0,0,5.9411764705882355,2,1,0,2,2,0,0,0,0,0,10,9,2,1,0,2,2,0,0,0,0,0,10,2,13.0,13,0,2,3,20,0,11,0,0,0,0.0,0,2003-01-24 00:45:09,1043369109,3,7,0,2
10,1,1,11,6,11,0,0,0.375,6,1,0,1,0,0,0,0,0,0,0,2,6,1,0,1,0,0,0,0,0,0,0,4,3.0,1,2,1,2,9,0,8,0,0,0,0.0,0,2003-01-24 00:50:09,1043369409,6,6,2,18
11,0,6,26,3,7,0,0,1.4736842105263157,13,0,0,2,1,0,1,0,0,2,0,8,13,0,0,2,1,0,1,0,0,2,0,3,3.0,3,0,13,0,26,0,8,0,0,0,0.0,0,2003-01-24 00:55:09,1043369709,3,6,0,4
12,0,2,8,4,7,0,0,1.1666666666666667,4,0,0,1,0,0,1,0,0,0,0,5,4,0,0,1,0,0,1,0,0,0,0,3,2.0,1,1,1,2,6,0,5,0,2,0,0.0,0,2003-01-24 01:00:09,1043370009,4,5,1,1
